EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	الأرنب الراعي
1	1	660	الأرنب القائد
2	0	661	طائر تريكس بري
2	1	662	طائر تريكس دغلي
3	0	663	فلاترفلاي كوبالت
3	1	664	فلاترفلاي الشبح
4	0	665	مجثم التسلق
5	0	666	غيكو الغابة
5	1	667	غيكو الهياكل الشرسة
5	2	668	غيكو الظلام
5	3	669	غيكو القمر
6	0	670	فابرونويد
6	1	671	سكافانتولا
7	0	672	النسر
7	1	673	بليزبيل
7	2	1792	منقار حجري
8	0	674	أومينفلاي
8	1	675	أوغرفلاي
9	0	676	سكايلبات
9	1	945	سكايلبات ذهبي
10	0	677	خنفساء الروث
10	1	678	خنفساء متفجرة
10	2	1793	خنفساء متجمدة
11	0	679	باريكساس وردية
11	1	680	باريكساس وردية عظيمة
12	0	681	أروانا متفجرة
12	1	682	أروانا مفجِرة
12	2	683	أروانا متفجرة ضخمة
12	3	684	أروانا مفجِرة عظيمة
13	0	685	طائر مرجاني أنيق
13	1	686	طائر مرجاني متأنق
14	0	687	أندانغلر
15	0	688	كراك ناعم
15	1	689	كراك شائك
16	0	690	هوغبوبي
17	0	691	بيتريكانس
18	0	692	علجوم الشلل
18	1	693	علجوم النوم
18	2	694	علجوم نيتروجيني
19	0	695	دودة ضخمة
19	1	696	ملكة الدود الضخم
20	0	697	نحلة الحيوية
20	1	698	نحلة الحيوية العملاقة
21	0	699	الميدوسو الطائرة
22	0	700	النملة الناقلة
23	0	701	هيركودروم
23	1	702	هيركودروم ذهبية
23	2	703	هيركودروم منشورية
24	0	704	النطاط الإمبراطور
24	1	705	النطاط المستبد
25	0	706	الذبابة الوامضة
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	المانتاغريل الجد
31	0	708	السلطعون الحديدي
31	1	709	سلطعون جندي
31	2	710	سلطعون زمردي
31	3	946	السلطعون الذهبي
31	4	947	السلطعون الذهبي البرّاق
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	سمكة وِت
33	1	712	سمكة وِت ضخمة
34	0	713	تونة ذواقة
34	1	714	تونة ذواقة ضخمة
35	0	715	الملك مارلين
35	1	716	الملك مارلين العظيم
36	0	-1	楔虫
37	0	717	السمكة الذهبية
37	1	718	سمكة بلاتينية
37	2	719	سمكة ذهبية ضخمة
37	3	720	سمكة بلاتينية ضخمة
38	0	721	سمكة قشور ذهبية
38	1	722	سمكة قشور ذهبية ضخمة
39	0	723	سمك سوشي
39	1	724	سمكة سوشي ضخمة
40	0	725	سمكة بارود
40	1	726	سمكة بارود ضخمة
41	0	948	كالابا النحاسية
41	1	949	كالابا الذهبية
42	0	950	تسوشينوكو
43	0	968	الصبار
43	1	951	تقطيع الصبار
43	2	967	تقطيع أزهار الصبار
44	0	958	نيكر
50	0	1455	مكّاك ينبوع اللؤلؤ
50	1	1456	مكّاك الينبوع الذهبي
51	0	1458	قريدس تاجيّ
52	0	1459	البزّاقة القمرية
53	0	1460	البطريق المنفوش
54	0	1461	غيكو ذو رأس مدبب
55	0	1462	المغنية الزرقاء
56	0	1463	سمكة سيد بحار ذات نتوء
57	0	1464	سمكة باريكساس الزجاجية
57	1	1473	سمكة باريكساس زجاجية ضخمة
58	0	1465	قراص قمر الشتاء
59	0	1466	مولي
59	1	1467	مولي طحلبية
59	2	1468	مولي صخرية
59	3	1469	مولي ناعمة
59	4	1470	مولي شوكية
59	5	1471	مولي خشنة
59	6	1472	مولي متجمدة
