Equip Type ID	Equip Type	Equip ID	Equip Name	Transmog ID	Defense	Rare	File Path
0	Head	2	عتاد رأس جلدي	1	2	0	pl001_0000
0	Head	15	خوذة حلقية فولاذية	15	2	0	pl014_0000
0	Head	1	عتاد رأس الصيّاد	2	6	0	pl002_0000
0	Head	5	خوذة عظمية	5	6	0	pl003_0000
0	Head	6	خوذة خليط معدني	6	8	1	pl004_0000
0	Head	9	خوذة فيسبويد	9	8	0	pl007_0000
0	Head	4	خوذة جاغراس	4	8	0	pl008_0000
0	Head	10	غطاء رأس كولو	10	10	0	pl009_0000
0	Head	11	قلنسوة بوكي	11	12	1	pl010_0000
0	Head	13	خوذة باروث	13	14	1	pl012_0000
0	Head	12	خوذة جيورا	12	14	1	pl011_0000
0	Head	14	خوذة كاداتشي	14	16	1	pl013_0000
0	Head	25	خوذة معدن قوي	24	18	2	pl025_0000
0	Head	18	خوذة هورنتور	17	18	2	pl017_0000
0	Head	168	نظارات شاموس	161	22	2	pl058_0000
0	Head	3	خوذة أنجا	3	20	2	pl020_0000
0	Head	21	خوذة راثيان	20	22	2	pl021_0000
0	Head	23	عتاد رأس تسيتسي	22	18	2	pl023_0000
0	Head	24	قبعة لومو	23	20	2	pl024_0000
0	Head	22	قناع غيروس	21	20	2	pl022_0000
0	Head	28	خوذة بان	27	24	2	pl028_0000
0	Head	20	رأس الخنفساء الملك	19	22	2	pl019_0000 (Male Only)
0	Head	169	رأس الفراشة	164	22	2	pl019_0000 (Female Only)
0	Head	31	خوذة إنغوت	30	28	3	pl031_0000
0	Head	27	خوذة ليغيانا	26	30	3	pl027_0000
0	Head	29	خوذة أودوغارون	28	30	3	pl029_0000
0	Head	33	خوذة راذالوس	32	30	3	pl033_0000
0	Head	34	خوذة ديابلوس	33	32	3	pl034_0000
0	Head	35	قرن كيرين	34	34	3	pl035_0000
0	Head	26	درع رأس رائحة الموت	25	32	3	pl026_0000
0	Head	36	لوبُس السرية	35	28	3	pl036_0000
0	Head	37	ريش التدمير	36	32	3	pl037_0000
0	Head	39	عتاد رأس جلدي<ICON ALPHA>	37	32	4	pl001_0000
0	Head	40	عتاد رأس جلدي<ICON BETA>	38	32	4	pl001_0000
0	Head	147	خوذة حلقية فولاذية<ICON ALPHA>	39	32	4	pl014_0000
0	Head	148	خوذة حلقية فولاذية<ICON BETA>	40	32	4	pl014_0000
0	Head	41	عتاد رأس الصيّاد<ICON ALPHA>	41	36	4	pl002_0000
0	Head	42	عتاد رأس الصيّاد<ICON BETA>	42	36	4	pl002_0010
0	Head	43	خوذة عظمية<ICON ALPHA>	43	36	4	pl003_0000
0	Head	44	خوذة عظمية<ICON BETA>	44	36	4	pl003_0000
0	Head	45	خوذة خليط معدني<ICON ALPHA>	45	36	4	pl004_0000
0	Head	46	خوذة خليط معدني<ICON BETA>	46	36	4	pl004_0000
0	Head	51	خوذة فيسبويد<ICON ALPHA>	51	38	4	pl007_0000
0	Head	52	خوذة فيسبويد<ICON BETA>	52	38	4	pl007_0000
0	Head	57	خوذة هورنتور<ICON ALPHA>	57	38	4	pl017_0000
0	Head	58	خوذة هورنتور<ICON BETA>	58	38	4	pl017_0000
0	Head	174	نظارات شاموس<ICON ALPHA>	162	40	4	pl058_0000
0	Head	175	نظارات شاموس<ICON BETA>	163	40	4	pl058_0000
0	Head	61	خوذة جاغراس<ICON ALPHA>	61	40	4	pl008_0000
0	Head	62	خوذة جاغراس<ICON BETA>	62	40	4	pl008_0000
0	Head	63	غطاء رأس كولو<ICON ALPHA>	63	40	4	pl009_0000
0	Head	64	غطاء رأس كولو<ICON BETA>	64	40	4	pl009_0000
0	Head	65	قلنسوة بوكي<ICON ALPHA>	65	42	4	pl010_0000
0	Head	66	قلنسوة بوكي<ICON BETA>	66	42	4	pl010_0010
0	Head	69	خوذة باروث<ICON ALPHA>	69	42	4	pl012_0000
0	Head	70	خوذة باروث<ICON BETA>	70	42	4	pl012_0000
0	Head	67	خوذة جيورا<ICON ALPHA>	67	44	4	pl011_0000
0	Head	68	خوذة جيورا<ICON BETA>	68	44	4	pl011_0000
0	Head	71	خوذة كاداتشي<ICON ALPHA>	71	44	4	pl013_0000
0	Head	72	خوذة كاداتشي<ICON BETA>	72	44	4	pl013_0000
0	Head	93	خوذة أنجا<ICON ALPHA>	93	44	4	pl020_0000
0	Head	94	خوذة أنجا<ICON BETA>	94	44	4	pl020_0010
0	Head	73	خوذة راثيان<ICON ALPHA>	73	46	4	pl021_0000
0	Head	74	خوذة راثيان<ICON BETA>	74	46	4	pl021_0010
0	Head	77	عتاد رأس تسيتسي<ICON ALPHA>	77	40	4	pl023_0000
0	Head	78	عتاد رأس تسيتسي<ICON BETA>	78	40	4	pl023_0000
0	Head	79	قبعة لومو<ICON ALPHA>	79	44	4	pl024_0000
0	Head	80	قبعة لومو<ICON BETA>	80	44	4	pl024_0000
0	Head	75	قناع غيروس<ICON ALPHA>	75	40	4	pl022_0000
0	Head	76	قناع غيروس<ICON BETA>	76	40	4	pl022_0000
0	Head	97	خوذة بان<ICON ALPHA>	97	46	5	pl028_0000
0	Head	98	خوذة بان<ICON BETA>	98	46	5	pl028_0010
0	Head	89	خوذة معدن قوي<ICON ALPHA>	89	50	5	pl025_0000
0	Head	90	خوذة معدن قوي<ICON BETA>	90	50	5	pl025_0000
0	Head	91	خوذة إنغوت<ICON ALPHA>	91	50	5	pl031_0000
0	Head	92	خوذة إنغوت<ICON BETA>	92	50	5	pl031_0000
0	Head	166	قرن غاستودون<ICON ALPHA>	53	48	4	pl015_0000
0	Head	167	قرن غاستودون<ICON BETA>	54	48	4	pl015_0000
0	Head	87	خوذة قلب راث<ICON ALPHA>	87	52	5	pl021_0100
0	Head	88	خوذة قلب راث<ICON BETA>	88	52	5	pl021_0110
0	Head	95	خوذة ليغيانا<ICON ALPHA>	95	54	5	pl027_0000
0	Head	96	خوذة ليغيانا<ICON BETA>	96	54	5	pl027_0010
0	Head	81	خوذة أودوغارون<ICON ALPHA>	81	54	5	pl029_0000
0	Head	82	خوذة أودوغارون<ICON BETA>	82	54	5	pl029_0010
0	Head	101	خوذة راذالوس<ICON ALPHA>	101	54	5	pl033_0000
0	Head	102	خوذة راذالوس<ICON BETA>	102	54	5	pl033_0010
0	Head	111	خوذة روح راث<ICON ALPHA>	111	56	6	pl033_0100
0	Head	112	خوذة روح راث<ICON BETA>	112	56	6	pl033_0110
0	Head	103	خوذة ديابلوس<ICON ALPHA>	103	54	5	pl034_0000
0	Head	104	خوذة ديابلوس<ICON BETA>	104	54	5	pl034_0010
0	Head	113	خوذة نيرو ديابلوس<ICON ALPHA>	113	56	6	pl034_0100
0	Head	114	خوذة نيرو ديابلوس<ICON BETA>	114	56	6	pl034_0110
0	Head	83	خوذة دودوغما<ICON ALPHA>	83	48	4	pl039_0000
0	Head	84	خوذة دودوغما<ICON BETA>	84	48	4	pl039_0000
0	Head	85	خوذة لافاسيوث<ICON ALPHA>	85	56	5	pl040_0000
0	Head	86	خوذة لافاسيوث<ICON BETA>	86	56	5	pl040_0010
0	Head	109	خوذة أوراغان<ICON ALPHA>	109	60	6	pl041_0000
0	Head	110	خوذة أوراغان<ICON BETA>	110	60	6	pl041_0010
0	Head	107	خوذة نيرغي<ICON ALPHA>	107	64	7	pl030_0000
0	Head	108	خوذة نيرغي<ICON BETA>	108	64	7	pl030_0010
0	Head	117	رأس الخنفساء الملك<ICON ALPHA>	117	42	4	pl019_0000 (Male Only)
0	Head	118	رأس الخنفساء الملك<ICON BETA>	118	42	4	pl019_0000 (Male Only)
0	Head	170	رأس الفراشة<ICON ALPHA>	165	42	4	pl019_0000 (Female Only)
0	Head	171	رأس الفراشة<ICON BETA>	166	42	4	pl019_0000 (Female Only)
0	Head	119	لوبُس السرية<ICON ALPHA>	119	52	5	pl036_0000
0	Head	120	لوبُس السرية<ICON BETA>	120	52	5	pl036_0000
0	Head	121	خوذة دمشق<ICON ALPHA>	121	60	6	pl043_0000
0	Head	122	خوذة دمشق<ICON BETA>	122	60	6	pl043_0010
0	Head	123	خوذة دوبر<ICON ALPHA>	123	60	6	pl044_0000
0	Head	124	خوذة دوبر<ICON BETA>	124	60	6	pl044_0000
0	Head	129	وهج كوشالا<ICON ALPHA>	129	64	7	pl047_0000
0	Head	130	وهج كوشالا<ICON BETA>	130	64	7	pl047_0010
0	Head	127	تاج القيصر<ICON ALPHA>	127	64	7	pl046_0000
0	Head	128	تاج القيصر<ICON BETA>	128	64	7	pl046_0010
0	Head	105	قرن كيرين<ICON ALPHA>	105	64	7	pl035_0000
0	Head	106	قرن كيرين<ICON BETA>	106	64	7	pl035_0010
0	Head	99	خوذة فال هازاك<ICON ALPHA>	99	64	7	pl032_0000
0	Head	100	خوذة فال هازاك<ICON BETA>	100	64	7	pl032_0010
0	Head	115	خوذة بازيل<ICON ALPHA>	115	58	6	pl042_0000
0	Head	116	خوذة بازيل<ICON BETA>	116	58	6	pl042_0010
0	Head	131	درع رأس رائحة الموت<ICON ALPHA>	133	62	6	pl026_0000
0	Head	132	درع رأس رائحة الموت<ICON BETA>	134	62	6	pl026_0000
0	Head	133	حلقة شكل للنقابة<ICON ALPHA>	135	62	7	pl048_0000
