Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	صاقل فيلاين	يسرّع عادة من وقت الشحذ.
CatSkill001_CAT_SKILL	راكب فيلاين	تسهّل من امتطاء الوحوش.
CatSkill002_CAT_SKILL	أعمال فيلاين البطولية	تزيد من الهجوم بشكل كبير حينتكون الصحة متدنية لدرجة خطيرة.
CatSkill003_CAT_SKILL	نحات فيلاين (مرتفع)	تزيد عادة من عددمرات نحتك.
CatSkill004_CAT_SKILL	نحات فيلاين (منخفض)	تزيد أحيانًا من عددمرات نحتك.
CatSkill005_CAT_SKILL	طبيب فيلاين	تزيد من تعافي الصحة منالعناصر.
CatSkill006_CAT_SKILL	حزام فيلاين الأسود	تقلل استنزاف قوة التحملأثناء التفادي أو الصد أوبعض الحركات الأخرى.
CatSkill007_CAT_SKILL	حراري فيلاين	ترقي البراميل المتفجرة الكبيرةإلى براميل متفجرة هائلة.
CatSkill008_CAT_SKILL	أخصائي فيلاين	تزيد من فعاليةهجمات أوضاع غريبة.
CatSkill009_CAT_SKILL	مدافع فيلاين (مرتفع)	تقلل عادة من الضرر المتلقّى.
CatSkill010_CAT_SKILL	مدافع فيلاين (منخفض)	تقلل أحيانًا من الضررالمتلقّى.
CatSkill011_CAT_SKILL	حاصد فيلاين	تقلل من وقت عودةظهور نقطة التجمع.
CatSkill012_CAT_SKILL	رامي فيلاين	تزيد من قوةالطلقات العادية (ط عادية)والسهام العادية.
CatSkill013_CAT_SKILL	قطة محظوظة	تزيد أحيانًا من عددعناصر المكافأة المستلمةفي نهاية المهمة.
CatSkill014_CAT_SKILL	عاكس فيلاين	يساعد في استعادة شحذسلاحك عند انعكاسالهجمات.
CatSkill015_CAT_SKILL	فنان هروب فيلاين	يقلل من استنزاف قوة التحمّلأثناء الفرار من الوحوش الضخمة.
CatSkill016_CAT_SKILL	عدّاء فيلاين	يستنزف الانطلاق قوة تحمل أقلأثناء نقل عنصر.
CatSkill017_CAT_SKILL	مساعد فيلاين	تمنع الإطاحةأثناء نقل عنصر.
CatSkill018_CAT_SKILL	مُضعف فيلاين	توجد فرصة أكبر لإضعاف الوحوشالضخمة التي تقابلها في المهامأكثر من العادي.
CatSkill019_CAT_SKILL	مبدل فيلاين	تزيد من عدد نقاط البحثالمستلمة في نهاية المهام.
CatSkill020_CAT_SKILL	ناهض فيلاين (مرتفع)	يزيد بشكل كبيرمن مدة المناعةأثناء النهوض.
CatSkill021_CAT_SKILL	ناهض فيلاين (منخفض)	يزيد من مدة المناعةأثناء النهوض.
CatSkill022_CAT_SKILL	مبدل فيلاين	تزيد من ضرر بندقية القوس، ولكنتزيد أيضًا من الانحراف.
CatSkill023_CAT_SKILL	خطاف فيلاين	تقلل من استنزاف قوةالتحمل أثناء التفاديفي الجدران أو اللبلاب.
G_CatSkill024_CAT_SKILL	قابض فيلاين	يمنع بعض الهجمات من إصابتكفي الجدران أو اللبلاب.
CatSkill025_CAT_SKILL	نحات فيلاين الحديدي	يمنع الإطاحة أثناءالنحت.
CatSkill026_CAT_SKILL	هابط فيلاين	يمنع من التعثر أثناء النزولمن أماكن مرتفعة.
CatSkill027_CAT_SKILL	بلدوزر فيلاين	تزيد من قوة الهجومعندما تضرب بعدصد الهجوم مباشرة.
CatSkill028_CAT_SKILL	ناهم فيلاين	تبقى أثر الطعام نشطًاحتى عقب فقدانك الوعي في المعركة.
CatSkill029_CAT_SKILL	ضارب فيلاين	يسهّل من صعق الوحوش.
CatSkill030_CAT_SKILL	قط فيلاين السمين	تزيد من كمية عملاتالزيني المستلمة في نهاية المهمة.
CatSkill031_CAT_SKILL	قاصف فيلاين	تزيد من ضرر المنجنيق والذخيرةاللزجة وقذيفة بندقية الرماح.
CatSkill032_CAT_SKILL	تحمل فيلاين	يمنع فقدان الوعي مرةحين يتعدى الضرر المتلقىالصحة المتبقية.
CatSkill033_CAT_SKILL	فيلاين سيد الروث	تزيد من احتماليةهروب الوحش حينيُضرب بكبسولة الروث.
CatSkill034_CAT_SKILL	غرومر فيلاين	تشطر مدة تأثيرانخفاض الدفاع وتسرّعالتعافي من الوباء.
CatSkill035_CAT_SKILL	غطاء فرو فيلاين	تمنع آثار الأوبئةوالأضرار البيئيةأو تقللها.
CatSkill036_CAT_SKILL	بهلوان فيلاين	تمكّن الصياد من التعافيبسرعة عند الإطاحة به.
DUMMY000000	Unavailable	Unavailable
CatSkill038_CAT_SKILL	مدرب فيلاين	يسرّع من نمو باليكو.
CatSkill039_CAT_SKILL	معزز فيلاين	يزيد بشكل مؤقت من الهجوموالدفاع عند بداية المهام.
CatSkill040_CAT_SKILL	قدم فيلاين	يحميك من الضربعلى ظهرك.
CatSkill041_CAT_SKILL	صياد فيلاين	يزيد من احتمالية التقاطالسمك للطعم أثناء الصيد.
CatSkill042_CAT_SKILL	قطة لطيفة	يمنح تعزيز هجوممؤقت عند استخدامكلحركة الركل الخلفي لوهلة.
CatSkill043_CAT_SKILL	ضمان فيلاين	يمنع مجموعتك منالعقوبة حين يفقدعضو الوعي لأول مرة.
CatSkill044_CAT_SKILL	محرّض فيلاين	يجذب انتباه الوحوش،مما يزيد من احتماليةالاستهداف.
CatSkill045_CAT_SKILL	هدية وداع فيلاين	تستعيد الصحة للحلفاء فيالمنطقة عند فقدان الوعي.
CatSkill046_CAT_SKILL	فيلاين باحث	افتح المزيد من الاستقصاءاتبسهولة خلال البعثات.
CatSkill047_CAT_SKILL	فيلاين طقس مريع	طقس مريع يخيمأثناء المهام غالبًا.
CatSkill048_CAT_SKILL	نعل فيلاين	يمكّن من التحرّك بالسرعة العاديةحتى في التضاريس الخاصة.
CatSkill049_CAT_SKILL	مواءمة فيلاين	تقلل من فترة الخمود قبل إعادةاستخدام الأدوات المخصصة.
CatSkill050_CAT_SKILL	حماية فيلاين	تقي مجموعتك من العقوبة حينيفقدعضو الوعي لأول مرة.
CatSkill051_CAT_SKILL	بستاني فيلاين	يقلل المدة قبل معاودة ظهورالحياة المستوطنة.
CatSkill052_CAT_SKILL	نبّاش فيلاين	يسبب إسقاط حياة مستوطنة معينةلذخيرة نبلة المعصم عند إمساكه.
CatSkill053_CAT_SKILL	سيد حيوانات فيلاين	يزيد من احتمالية ظهورالحياة المستوطنة النادرة.
CatSkill054_CAT_SKILL	عالم أحياء فيلاين	يزيد من احتمالية ظهور الحياةالمستوطنة النادرة أكثر قليلًا.
CatSkill055_CAT_SKILL	عالم كائنات كبيرة فيلاين	يزيد من احتمالية ظهور الحياةالمستوطنة الكبيرة أكثر قليلًا.
