Delivery ID	Delivery Name	Delivery Reward
0	إنماء شجرة عتيقة	المحفز
1	اكبري أيتها النباتات الخضراء، اكبري	السماد العملاق
2	جبل الفطر	ركيزة فطر الاختيار
3	عازف الحشرات المرقطة	هلام المحضِر السميك
4	تحطيم السقف العشبي	المحفز القديم
5	سرير أرضي وثير	تربة ناعمة
6	القيام بالحصاد	ترقية صندوق الحصاد
7	مفتاح مشكلة التخزين	ترقية صندوق الحصاد
8	إقامة معسكر: الغابة العتيقة I	معسكر الشمال الغربي (8)
9	إقامة معسكر: الغابة العتيقة II	معسكر الغابة العتيقة (17)
10	إقامة معسكر: نفايات هياكل شرسة I	المعسكر المركزي (6)
11	إقامة معسكر: نفايات هياكل شرسة II	معسكر شرقي
12	إقامة معسكر: نفايات هياكل شرسة II	معسكر الشمال الشرقي (15)
13	إقامة معسكر: مرتفعات مرجانية	معسكر الشمال الشرقي (12)
14	إقامة معسكر: مخبأ تنين معمِر I	المعسكر الشرقي (8)
15	إقامة معسكر: مخبأ تنين معمِر II	معسكر الشمال الغربي (16)
16	الطريق المختصر للسعادة	رافعة الحبال
17	ب/ت مستودع الأسلحة: التحصين ضد الماء	عباءة مقاومة للماء
18	ب/ت مستودع الأسلحة: التحصين ضد البرد	عباءة مقاومة للثلج
19	الفطر: عطاء الطبيعة برائحة نفاذة	كمأة الملك
20	مأدبة السمك	خيشوم غاجاو
21	القريدس الملكي	القريدس المرجاني
22	خضار بتكلفة مليون زيني	ملفوف المليون طيّة
23	سلطعون يبلغ ألف سنة!؟	السلطعون الألفي
24	طماطم حمراء كالحمم	طماطم دسمة
25	مقاومة اللحم الطري	لحم بقري غني
26	مقاومة اللحم المشوي غير المخلي	لحم ضأن رائع
27	قديم لكن طازج!	الشبوط القديم
28	الخضار محترف التنكر	كرفس عطِر
29	فلفل حلو وهمي!	فلفل حلو منشور
30	نخب القائد	جعة السيد
31	الجعة الحارقة	مشروب راذا
32	عون كبير	لحم مكعب
