Food Code	Food Name	Food Desc
MEAT_00_ID	عظم فخذ التنين المجنح	يساعد هذا اللحم على تنشيط مهارات الشجاعة.طهوه لمدة طويلة في اليخنة يجعله مطاطيًا.
MEAT_01_ID	شريحة لحم التنين المجنح الخارجي	لحم يساعد على تنشيط مهارات طعام الشجاعة.يفضل تقديمه كشرائح رفيعة ومشوي علىالفحم.
MEAT_02_ID	بيض التنين المجنح	لحم يساعد على تنشيط مهارات طعام الشجاعة.إنها غنيمة قيّمة من عش التنين المجنح.
MEAT_03_ID	ذيل التنين المجنح	لحم يساعد على تنشيط مهارات طعام الشجاعة.ذيل تنين مجنح طائر. يستحق التجربةمرة على الأقل.
MEAT_04_ID	رأس التنين المجنح	لحم يساعد على تنشيط مهارات طعام الشجاعة.طبق رئيسي من فن الطبخ الراقي، ويقدّم أحيانًافي الولائم الاحتفالية.
MEAT_05_ID	شريحة لحم التنين المجنح	لحم يساعد على تنشيط مهارات طعام الشجاعة.أفضل قطعة عالية القيمة متوفرة منلحم التنين المجنح.
MEAT_06_ID	لحم صعب المضغ	لحم يساعد على تنشيط مهارات طعام المرونة.مواصلة تناول هذا اللحم سهل المضغتضم ميزة إضافية تتمثل في تقوية فكك.
MEAT_07_ID	لحم شائك	لحم يساعد على تنشيط مهارات طعام المرونة.لا يزال ملتصقًا بالقشور الشائكةالتي قُطع منها، مما يستدعي تناوله ببطء وتأن.
MEAT_08_ID	لحم سبائكي	لحم يساعد على تنشيط مهارات طعام المرونة.باهظ الثمن نوعًا ما، لكن أحيانًافقط عليك أن تمتع نفسك.
MEAT_09_ID	لحم صلب	لحم يساعد على تنشيط مهارات طعام المرونة.صلب بما يكفي لكسر سن، ولكن البروتينوالفيتامينات التي يحتوي عليها تجعل الأمر يستحق.
MEAT_10_ID	دجاجة شرسة	لحم يساعد على تنشيط مهارات طعام المرونة.يفضل الاستمتاع بتناوله بتقطيعه بهمجيةوالتهامه بكل حرية.
MEAT_11_ID	لحم نيء مخلل	لحم يساعد على تنشيط مهارات طعام المرونة.إنه مغموس في وصفة صلصة سرية، بالتالي هذا اللحم النيءمتشبع بالنكهات فعليًا.
MEAT_12_ID	لحم أبتونوث	لحم يساعد على تنشيط مهارات طعام الحيوية. المادةالغذائية الرئيسية في النظام الغذائي لأي صيّاد، ,وتستخدمفي عدد كبير من أطباق اللحم.
MEAT_13_ID	أبسيروست	لحم يساعد على تنشيط مهارات طعام الحيوية.تقريبًا يقدّم دائمًا في جرعات كبيرة، وهو المفضلبين الصيّادين النهمين.
MEAT_14_ID	لحم مكعب	لحم يساعد على تنشيط مهارات طعام الحيوية.لحم من نوعية جيدة نسبيًا، مقطع إلى قطعصغيرة بحجم القضمة.
MEAT_15_ID	لحم خاصرة العملاق	لحم يساعد على تنشيط مهارات طعام الحيوية.شريحة جميلة من لحم أبتونوثاللذيذ والمشبع.
MEAT_16_ID	قرص لحم ضخم	لحم يساعد على تنشيط مهارات طعام الحيوية.قرص لحم معد كما يجب أنيكون: تقريبًا ضخم جدًا ليتسع في فمك.
MEAT_17_ID	شريحة لحم حجم كبير	لحم يساعد على تنشيط مهارات طعام الحيوية.شريحة لحم مطهو بشكل جيد ولذيذة للغاية حتى أنه يصعبتركها بعد إحساسك بالشبع.
MEAT_18_ID	كبد أبيض	لحم يساعد على تنشيط مهارات طعام الذكاء.مُفضل بسبب قوامه اللزج.
MEAT_19_ID	ضلع مشوي ضئيل	لحم يساعد على تنشيط مهارات طعام الذكاء.هذا اللحم اللذيذ مشبّع ويمكن أن تدمنه.
MEAT_20_ID	أمعاء لاذعة	لحم يساعد على تنشيط مهارات طعام الذكاء.حين تملء معدتك بهذا الطعام سيكونمن الصعب أن تبقى في مكانك.
MEAT_21_ID	قلب ساخن	لحم يساعد على تنشيط مهارات طعام الذكاء.تتميز قطعة اللحم بقوامها،ويكون أفضل استمتاع بها حين تُقدم ساخنة للغاية.
MEAT_22_ID	لحم بقري غني	لحم يساعد على تنشيط مهارات طعام الذكاء.قطعة لحم سميكة استثنائيةمأخوذة من أفضل جزء في الجسد.
MEAT_23_ID	كبد إوز فاخر	لحم يساعد على تنشيط مهارات طعام الذكاء.قوامه اللين ومذاقه الغنييجعلك تسعى للحصول عليه.
MEAT_24_ID	ديك رومي رديء	لحم يساعد على تنشيط مهارات طعام المدفعية.للأسف أن أغلبه من العظام وليس اللحم.
MEAT_25_ID	لحم ضأن رائع	لحم يساعد على تنشيط مهارات طعام المدفعية.إنه متعدد الاستخدامات، حيث يمكنك إضافته إلى عديدمن الأطباق.
MEAT_26_ID	بيضة آكل النبات	لحم يساعد على تنشيط مهارات طعام المدفعية.إن أعددت عجّة منه، قد تطعم العديدمن الأسر الجائعة.
MEAT_27_ID	ديك رومي ملكي	لحم يساعد على تنشيط مهارات طعام المدفعية.لحمه الوفير يجعله يستحق أكثرمن لقبه. إنه يجلب للديك الرومي الرديء العار.
MEAT_28_ID	لحم ضأن حمم بركانية	لحم يساعد على تنشيط مهارات طعام المدفعية.لحم طري يظهر طعمه الغني أكثرحين يُطهى لفترة أطول.
MEAT_29_ID	ديك رومي للقيصر	لحم يساعد على تنشيط مهاراتطعام المدفعية. فخذ مكتظ باللحمحتى لحم الديك الرومي الملكي لا يضاهيه.
FISH_00_ID	تونة القشور المدببة	سمك يساعد على تنشيط مهارات طعام الشجاعة.لحمها لذيذ كما أن عرفه خطير.
FISH_01_ID	السلمون الملتوي	سمك يساعد على تنشيطمهارات طعام الشجاعة. إنها لئيمةوملتوية وتشبه الثعابين أكثر من السمك.
FISH_02_ID	الأنقليس الشجاع	سمك يساعد على تنشيط مهارات طعام الشجاعة.قضمة واحدة وسيمتلئ قلبك بالشجاعة.
FISH_03_ID	سمك السوشي	سمك يساعد على تنشيط مهارات طعام الشجاعة. لذيذ ويحتويعلى القدر المناسب من الدهون. يحبه الجميع.
FISH_04_ID	الشبوط القديم	سمك يساعد على تنشيط مهارات طعام الشجاعة.سمك ذو مذاق رائع، أٌشيد بطعمهالشهي منذ العصور القديمة.
FISH_05_ID	ذات الذيل الأصفر الخشن	سمك يساعد على تنشيط مهارات طعام الشجاعة.رغم انتقاده بسبب مظهره المبتذل،يعتبر هذا السمك بالفعل خلاصة الشجاعة.
FISH_06_ID	حلزون ضخم	سمك يساعد على تنشيط مهارات طعام المرونة.كلما كانت القوقعة أكبر، ستباع بسعر أعلى.
FISH_07_ID	رقائق المحار	سمك يساعد على تنشيط مهارات طعام المرونة.يمكن تجفيف المحار والاحتفاظ به. ويمكن استخدامهلصنع حساء شهي.
FISH_08_ID	أذن البحر المفضل	سمك يساعد على تنشيط مهارات طعام المرونة.طعام ممتاز من حيث الحجم والمذاق.
FISH_09_ID	أذن البحر البنفسجي	سمك يساعد على تنشيط مهارات طعام المرونة.تغيّر كل من نكهته ومذاقه كثيرًاكما تغيّر لونه.
FISH_10_ID	أذن البحر الثمين	سمك يساعد على تنشيط مهارات طعام المرونة.يشاد بكونه أطيب الأطعمة الشهية.
FISH_11_ID	عمامة بقرن طويل	سمك يساعد على تنشيط مهارات طعام المرونة.لم تكشف الدراسة البيولوجية لهعن فائدة قرونه الطويلة.
FISH_12_ID	تجمّع سردين	سمك يساعد على تنشيط مهارات طعام الحيوية.يتشكل السردين في سرب يشبه الكتيبةلحماية منطقته.
FISH_13_ID	تونة الساموراي	سمك يساعد على تنشيط مهارات طعام الحيوية.يتميز بالنقوش على رأسه التي تشبه خوذة الساموراي.
FISH_14_ID	خيشوم غاجاو	سمك يساعد على تنشيط مهارات طعام الحيوية.رغم أنه يلزم طهيه لمدة طويلة،إلا أن الانتظار يستحق بالتأكيد.
FISH_15_ID	كبد غاجاو	سمك يساعد على تنشيط مهارات طعام الحيوية.إنه سمك لذيذ ومغذييحتوي على دهون جيدة.
FISH_16_ID	تونة شوغون	سمك يساعد على تنشيط مهارات طعام الحيوية.النقوش على طول جسده كله توحيكما لو أنه درع كامل للساموراي.
FISH_17_ID	الشبوط المتوهج	سمك يساعد على تنشيط مهارات طعام الحيوية.يبدو هذا السمك الأحمر المتوهجكما لو أنه مشتعل على الدوام.
FISH_18_ID	القريدس الملتوي	سمك يساعد على تنشيط مهاراتطعام الذكاء. يتميز القريدس بجسده الملتوي الذي يصعب من أكله.
FISH_19_ID	السلطعون المدرّع	سمك يساعد على تنشيط مهارات طعام الذكاء.إنه سمك قشري يبدو كأنهيرتدي درع وهو بنفس الصلابة التي يبدو عليها.
FISH_20_ID	القريدس المرجاني	سمك يساعد على تنشيط مهارات طعام الذكاء.إنه سمك صغير، يمتلك قشرة وردية متوهجة.
FISH_21_ID	السلطعون المحصّن	سمك يساعد على تنشيط مهارات طعام الذكاء.يجذب المتعايشات لتعيش على قشرته،ما يجعل جسده يبدو أكبر مما هو عليه.
FISH_22_ID	القريدس الملكي	سمك يساعد على تنشيط مهارات طعام الذكاء.يعتبر الملك على سائر القريدس الآخر.
FISH_23_ID	السلطعون الألفي	سمك يساعد على تنشيط مهاراتطعام الذكاء. يقال إن هذا السلطعون الرائعيعيش لمدة ألف سنة.
FISH_24_ID	أخطبوط أوسيو	سمك يساعد على تنشيط مهاراتطعام المدفعية. يمتلك قوامًا هشًا يشبه تقريبًا مضغ العظام.
