Monster ID	Monster Code	Monster Name
0	EM100	أنجاناث
1	EM002	راذالوس
2	EMS001	أبتونوث
3	EMS049	جاغراس
4	EM106	زوراه ماغداروس
5	EMS004	موسواين
6	EMS029	غاجاو
7	EM101	جاغراس العظيم
8	EMS051	كيستودون (الذكر)
9	EM001	راثيان
10	EM001_01	راثيان وردية
11	EM002_01	راذالوس لازوردي
12	EM007	ديابلوس
13	EM007_01	ديابلوس سوداء
14	EM011	كيرين
15	EM121_01	بهيموث
16	EM024	كوشالا داورا
17	EM026	لوناسترا
18	EM027	تيوسترا
19	EM036	لافاسيوث
20	EM043	ديفيلجو
21	EM044	باروث
22	EM045	أوراغان
23	EM127_00	ليشين
24	EM102	بوكي-بوكي
25	EM103	نيرغي
26	EM105	زينوجيفا
27	EM107	كولو-يا-كو
28	EM107_01	تسيتسي-يا-كو
29	EM108	جيوراتودوس
30	EM109	توبي-كاداتشي
31	EM110	باولومو
32	EM111	ليغيانا
33	EM112	غيروس العظيم
34	EM113	أودوغارون
35	EM114	رادوبان
36	EM115	فال هازاك
37	EM116	دودوغما
38	EM117	كولف تاروث
39	EM118	بازيلغيس
40	EMS002	أبكيروس
41	EMS003	كيلبي
42	EMS003_05	كيلبي
43	EMS005	هورنتور
44	EMS006	فيسبويد
45	EMS050	ميرنوس
46	EMS051_05	كيستودون (أنثى)
47	EMS053	رافينوس
48	EMS054	شاموس
49	EMS055	بارنوس
50	EMS056	غيروس
51	EM127_01	وحش ليشين قديم
52	EMS058	غاستودون
53	EMS059	نويوس
54	EMS060_00	مركز الحمم
55	EMS060_01	مركز الحمم
56	EMS061	غاجالاكا
57	EMXXX	مجهول
58	EM001_99	؟؟؟ راثيان
59	EMS051_99	كيستودون
60	EMS061_02	القبيلة الذهبية
61	EM032_00	تغريكس
62	EM037_00	نارغاكوغا
63	EM042_00	باريوث
64	EM_TEST_00001	ديفيلجو همجي
65	EM063_00	براكيديوس
66	EM080_00	غلافنيوس
67	EM080_01	غلافنيوس الحمضي
68	EM100_01	أنجاناث رعدي
69	EM102_01	بوكي-بوكي مرجاني
70	EM103_05	نيرغي المخرّب
71	EM109_01	توبي-كاداتشي ثعباني
72	EM110_01	باولومو ظل الليل
73	EM111_05	ليغيانا الصارخ
74	EM113_01	أودوغارون أسمر
75	EM115_05	فال هازاك الستار الأسود
76	EM118_05	بازيلغيس متأجج
77	EM122_00	بيوتودس
78	EM123_00	بنبارو
79	EM124_00	فيلكانا
80	EM125_00	ناميال
81	EM126_00	شارا إشفالدا
82	EMS014_00	بوبو
83	EMS016_00	أنتيكا
84	EMS063_00	وولغ
85	EMS064_00	كورتوس
86	EMS061_01	بوابوا
87	DUMMY000014	Unavailable
88	EM001_02	راثيان ذهبية
89	EM002_02	راذالوس فضي
90	EM018_00	إيان غاروغا
91	EM023	راجانغ
92	EM023_05	راجانغ الغاضب
93	EM_TEST_00002	تغريكس غاشم
94	EM057_00	زينغر
95	EM057_01	زينغر جهنمي
96	EM063_05	براكيديوس الحانق
97	EM104	صافيجيفا
98	DUMMY000016	Unavailable
99	EM018_05	إيان غاروغا ذو الندبات
100	DUMMY000018	Unavailable
101	DUMMY000020	Unavailable
