Music Code	Music Level	Music Name
HUD_HUE_00	-	التحسّن الذاتي
HUD_HUE_00_S	0	تسرّع الحركة
HUD_HUE_00_W	1	زيادة الهجوم + منع انحراف الهجوم
HUD_HUE_01	-	زيادة الهجوم (ض)
HUD_HUE_02	-	زيادة الهجوم (ك)
HUD_HUE_02_W	1	زيادة الهجوم (ك ج)
HUD_HUE_03	-	تعزيز الصحة (ض)
HUD_HUE_04	-	تعزيز الصحة (ك)
HUD_HUE_04_W	1	مدّ تعزيز الصحة
HUD_HUE_05	-	تقليل استخدام قوة التحمل (ض)
HUD_HUE_06	-	تقليل استخدام قوة التحمل (ك)
HUD_HUE_06_W	1	مدّ تقليل استخدام قوة التحمل
HUD_HUE_07	-	تم إبطال ضغط الرياح
HUD_HUE_08	-	تم إبطال كل ضغوط الرياح
HUD_HUE_08_W	1	مدّ إبطال كل ضغوط الرياح
HUD_HUE_09	-	زيادة الدفاع (ض)
HUD_HUE_10	-	زيادة الدفاع (ك)
HUD_HUE_10_W	1	زيادة الدفاع (ك ج)
HUD_HUE_11	-	تقليل استنزاف استخدام الأداة (ض)
HUD_HUE_12	-	تقليل استنزاف استخدام الأداة (ك)
HUD_HUE_12_W	1	مدّ تقليل استنزاف استخدام الأداة
HUD_HUE_13	-	تعافي الصحة (ض)
HUD_HUE_14	-	تعافي الصحة (ك)
HUD_HUE_15	-	تعافي الصحة (ض) + ترياق
HUD_HUE_16	-	تعافي الصحة (م) + ترياق
HUD_HUE_17	-	سرعة التعافي (ض)
HUD_HUE_18	-	سرعة التعافي (ك)
HUD_HUE_18_W	1	مدّ سرعة التعافي
HUD_HUE_19	-	حماية مقدسة
HUD_HUE_19_W	1	مدّ الحماية المقدسة
HUD_HUE_20	-	زيادة قوة ذبابة الاستطلاع
HUD_HUE_20_S	0	ذبابة الاستطلاع مستوى +1
HUD_HUE_20_W	1	مدّ ذبابة الاستطلاع مستوى +1
HUD_HUE_21	-	مقاومة الوحل
HUD_HUE_21_W	1	مدّ مقاومة الوحل
HUD_HUE_22	-	إبطال أضرار البيئة
HUD_HUE_22_W	1	مدّ إبطال أضرار البيئة
HUD_HUE_23	-	سدادات أذن (ض)
HUD_HUE_24	-	سدادات أذن (ك)
HUD_HUE_24_W	1	مدّ سدادات أذن (ك)
HUD_HUE_25	-	تم إبطال الصعق
HUD_HUE_25_W	1	مدّ إبطال الصعق
HUD_HUE_26	-	تم إبطال الشلل
HUD_HUE_26_W	1	مدّ إبطال الشلل
HUD_HUE_27	-	تم إبطال الزلازل
HUD_HUE_27_W	1	مدّ إبطال الزلازل
HUD_HUE_28	-	تعزيز مقاومة النار (ض)
HUD_HUE_29	-	تعزيز مقاومة النار (ك)
HUD_HUE_29_W	1	تعزيز مقاومة النار (ك ج)
HUD_HUE_30	-	تعزيز مقاومة الماء (ض)
HUD_HUE_31	-	تعزيز مقاومة الماء (ك)
HUD_HUE_31_W	1	تعزيز مقاومة الماء (ك ج)
HUD_HUE_32	-	تعزيز مقاومة الرعد (ض)
HUD_HUE_33	-	تعزيز مقاومة الرعد (ك)
HUD_HUE_33_W	1	تعزيز مقاومة الرعد (ك ج)
HUD_HUE_34	-	تعزيز مقاومة الثلج (ض)
HUD_HUE_35	-	تعزيز مقاومة الثلج (ك)
HUD_HUE_35_W	1	تعزيز مقاومة الثلج (ك ج)
HUD_HUE_36	-	تعزيز مقاومة التنين (ض)
HUD_HUE_37	-	تعزيز مقاومة التنين (ك)
HUD_HUE_37_W	1	تعزيز مقاومة التنين (ك ج)
HUD_HUE_38	-	تعزيز الهجوم العنصري
HUD_HUE_38_S	0	تعزيز الهجوم العنصري (ض)
HUD_HUE_38_W	1	تعزيز الهجوم العنصري (ك)
HUD_HUE_39	-	موجات سونيك
HUD_HUE_40	-	مدّ كل تأثيرات اللحن
HUD_HUE_41	-	تم إبطال التراجع
HUD_HUE_42	-	زيادة الهجوم والدفاع (ض)
HUD_HUE_42_S	0	زيادة الهجوم والدفاع (ض)
HUD_HUE_42_W	1	زيادة الهجوم (ك)/ زيادة الدفاع (ك)
HUD_HUE_43	-	زيادة النسبة وتعافي الصحة (ض)
HUD_HUE_43_S	0	زيادة النسبة (ض)/ تعافي الصحة (ض)
HUD_HUE_43_W	1	زيادة النسبة (ك)/ تعافي الصحة (ض)
HUD_HUE_44	-	زيادة هجوم الوضعية الغريبة
HUD_HUE_44_S	0	زيادة هجوم الوضعية الغريبة (ض)
HUD_HUE_44_W	1	زيادة هجوم الوضعية الغريبة (ك)
HUD_HUE_45	-	تم إبطال جميع الاعتلالات
HUD_HUE_45_W	1	مدّ إبطال الزلازل
HUD_HUE_46	-	زيادة مقاومة الوباء
HUD_HUE_46_S	0	زيادة مقاومة الوباء (ض)
HUD_HUE_46_W	1	زيادة مقاومة الوباء (ك)
HUD_HUE_47	-	تم إبطال الوباء
HUD_HUE_47_W	1	مدّ إبطال الزلازل
HUD_HUE_48	-	سدادات الأذن (ص) / إبطال ضغط الرياح
HUD_HUE_48_S	0	سدادات الأذن (ص) / إبطال ضغط الرياح
HUD_HUE_48_W	1	سدادات الأذن (ص) / مدّ إبطال ضغط الرياح
HUD_HUE_49	-	استعادة الصحة (م)
HUD_HUE_23_W	1	مدّ سدادات الأذن (ض)
HUD_HUE_07_W	1	مدّ إبطال ضغط الرياح
HUD_HUE_41_W	1	تم مدّ إبطال التراجع
HUD_HUE_50	-	أثر موجة الصدى
HUD_HUE_51	-	"""تنين"" موجة الصدى"
HUD_HUE_52	-	زيادة أقصى قوة تحمل + تعافٍ
HUD_HUE_53	-	شفاء ممتد
HUD_HUE_54	-	معزز السرعة + زيادة فترة التفادي
HUD_HUE_55	-	زيادة فاعلية العنصر
HUD_HUE_56	-	زيادة فترة التفادي
HUD_HUE_21_G	-	مقاومة وحل/مياه/ثلوج كثيفة
HUD_HUE_21_W_G	-	مدّ مقاومة وحل/مياه/ثلوج كثيفة
