Weapon ID	Weapon Name	File Path
1	مجرف فيلاين بلوط	otomo/wp/ot_we001
28	مطرقة فيلاين العظمية 	otomo/wp/ot_we028
29	سيف فيلاين الحديدي 	otomo/wp/ot_we029
2	مطرقة فيلاين جاغ النارية 	otomo/wp/ot_we002
3	عود فيلاين كولو	otomo/wp/ot_we003
4	قوس فيلاين بوكي	otomo/wp/ot_we004
5	صولجان فيلاين باروث	otomo/wp/ot_we005
6	سيف فيلاين جيورا	otomo/wp/ot_we006
7	شوكة فيلاين كاداتشي	otomo/wp/ot_we007
8	مطرقة فيلاين أنجا عظمية	otomo/wp/ot_we008
11	فيلاين لومو	otomo/wp/ot_we011
9	سيف مبارزة فيلاين راثيان	otomo/wp/ot_we009
13	كرة فيلاين بان	otomo/wp/ot_we013
30	عصا التوهّج	otomo/wp/ot_we030
12	سيف فيلاين ليغيانا	otomo/wp/ot_we012
14	نصل فيلاين غارون المتسلسل	otomo/wp/ot_we014
16	نصل فيلاين راذالوس	otomo/wp/ot_we016
17	مطرقة فيلاين ديابلوس	otomo/wp/ot_we017
18	سيف فيلاين كيرين	otomo/wp/ot_we018
27	منجل فيلاين عتاد الموت	otomo/wp/ot_we027
32	مجرف فيلاين بلوط<ICON ALPHA>	otomo/wp/ot_we001
33	مطرقة فيلاين العظمية<ICON ALPHA>	otomo/wp/ot_we028
34	سيف فيلاين الحديدي<ICON ALPHA>	otomo/wp/ot_we029
35	مطرقة فيلاين جاغ النارية<ICON ALPHA>	otomo/wp/ot_we002
36	عود فيلاين كولو<ICON ALPHA>	otomo/wp/ot_we003
37	قوس فيلاين بوكي<ICON ALPHA>	otomo/wp/ot_we004
38	صولجان فيلاين باروث<ICON ALPHA>	otomo/wp/ot_we005
39	سيف فيلاين جيورا<ICON ALPHA>	otomo/wp/ot_we006
40	شوكة فيلاين كاداتشي<ICON ALPHA>	otomo/wp/ot_we007
19	دمية فيلاين زوراه<ICON ALPHA>	otomo/wp/ot_we019
41	مطرقة فيلاين أنجا عظمية<ICON ALPHA>	otomo/wp/ot_we008
42	واقي مخالب فيلاين لومو<ICON ALPHA>	otomo/wp/ot_we011
43	سيف مبارزة فيلاين راثيان<ICON ALPHA>	otomo/wp/ot_we009
44	كرة فيلاين بان<ICON ALPHA>	otomo/wp/ot_we013
45	عصا التوهّج<ICON ALPHA>	otomo/wp/ot_we030
46	سيف فيلاين ليغيانا<ICON ALPHA>	otomo/wp/ot_we012
47	نصل فيلاين غارون المتسلسل<ICON ALPHA>	otomo/wp/ot_we014
48	نصل فيلاين راذالوس<ICON ALPHA>	otomo/wp/ot_we016
49	مطرقة فيلاين ديابلوس<ICON ALPHA>	otomo/wp/ot_we017
50	سيف فيلين المدوّي<ICON ALPHA>	otomo/wp/ot_we018
20	صولجان فيلاين لافا<ICON ALPHA>	otomo/wp/ot_we020
21	لوح فيلاين أوراغان حديدي<ICON ALPHA>	otomo/wp/ot_we021
26	صولجان فيلاين بازيل<ICON ALPHA>	otomo/wp/ot_we026
51	منجل فيلاين عتاد الموت<ICON ALPHA>	otomo/wp/ot_we027
52	سيف فيلاين غاجالاكا<ICON ALPHA>	otomo/wp/ot_we031
10	مطرقة فيلاين نيرغي<ICON ALPHA>	otomo/wp/ot_we010
15	سيف فيلاين هازاك<ICON ALPHA>	otomo/wp/ot_we015
22	صولجان فيلاين القيصر<ICON ALPHA>	otomo/wp/ot_we022
23	عصا مروحة فيلاين داورا<ICON ALPHA>	otomo/wp/ot_we023
24	باقة فيلاين زينو<ICON ALPHA>	otomo/wp/ot_we024
25	Unavailable	otomo/wp/ot_we001
53	سيف فيلاين غاجالاكا	otomo/wp/ot_we200
54	بلطة غريمالكين	otomo/wp/ot_we100
100	هراوة ملعونة<ICON ALPHA>	otomo/wp/ot_we073
101	مجرف فيلاين بلوط	otomo/wp/ot_we000
102	Unavailable	otomo/wp/ot_we001
55	مروحة كولف لفيلاين<ICON ALPHA>	otomo/wp/ot_we025
56	صولجان فانغيس فيلاين<ICON ALPHA>	otomo/wp/ot_we033
57	مظلة إليزا فيلاين<ICON ALPHA>	otomo/wp/ot_we034
58	المدفع الفتّاك<ICON ALPHA>	otomo/wp/ot_we035
59	HARDUMMY	otomo/wp/ot_we036
60	عصا فيلاين نجمية لازوردية	otomo/wp/ot_we037
61	عصا شكوبو الذهبي<ICON ALPHA>	otomo/wp/ot_we038
62	سيف ساموراي لفيلاين<ICON ALPHA>	otomo/wp/ot_we039
63	عصا فراشة فيلاين	otomo/wp/ot_we040
64	قيثارة ألوها فيلاين	otomo/wp/ot_we041
65	قرعة فيلاين المضيئة	otomo/wp/ot_we042
66	جرس النمر القطبي لفيلاين	otomo/wp/ot_we043
67	حامل ميكروفون نجم فيلاين	otomo/wp/ot_we044
68	عصا فراشة فيلاين<ICON ALPHA>	otomo/wp/ot_we040
69	قيثارة ألوها فيلاين<ICON ALPHA>	otomo/wp/ot_we041
70	قرعة فيلاين المضيئة<ICON ALPHA>	otomo/wp/ot_we042
71	جرس النمر القطبي لفيلاين<ICON ALPHA>	otomo/wp/ot_we043
72	حامل ميكروفون نجم فيلاين<ICON ALPHA>	otomo/wp/ot_we044
110	وتد بعثة فيلاين<ICON ALPHA>+	otomo/wp/ot_we060
111	مطرقة فيلاين العظمية<ICON ALPHA>+	otomo/wp/ot_we028
112	سيف فيلاين الحديدي<ICON ALPHA>+	otomo/wp/ot_we029
113	مطرقة فيلاين جاغ نار<ICON ALPHA>+	otomo/wp/ot_we002
114	قيثارة فيلاين كولو<ICON ALPHA>+	otomo/wp/ot_we003
115	قوس فيلاين بوكي<ICON ALPHA>+	otomo/wp/ot_we004
116	صولجان فيلاين باروث<ICON ALPHA>+	otomo/wp/ot_we005
117	سيف فيلاين جيورا<ICON ALPHA>+	otomo/wp/ot_we006
118	لوح بيو فيلاين<ICON ALPHA>+	otomo/wp/ot_we051
119	شوكة فيلاين كاداتشي<ICON ALPHA>+	otomo/wp/ot_we007
120	دمية فيلاين غريمالكين<ICON ALPHA>+	otomo/wp/ot_we052
121	مطرقة ف أنجا العظمية<ICON ALPHA>+	otomo/wp/ot_we008
122	سيف مبارزة ف راثيان<ICON ALPHA>+	otomo/wp/ot_we009
123	واقي مخلب فيلاين لومو<ICON ALPHA>+	otomo/wp/ot_we011
124	كرة فيلاين بان<ICON ALPHA>+	otomo/wp/ot_we013
125	عصا التوهّج<ICON ALPHA>+	otomo/wp/ot_we030
126	منجل عتاد الموت ف<ICON ALPHA>+	otomo/wp/ot_we027
127	سكين فيلاين باريوث<ICON ALPHA>+	otomo/wp/ot_we046
128	نصل فيلاين راذالوس<ICON ALPHA>+	otomo/wp/ot_we016
129	مطرقة فيلاين ديابلوس<ICON ALPHA>+	otomo/wp/ot_we017
130	سيف فيلاين ليغيانا<ICON ALPHA>+	otomo/wp/ot_we012
131	نصل فيلاين غارون المتسلسل<ICON ALPHA>+	otomo/wp/ot_we014
132	صولجان فيلاين لافا<ICON ALPHA>+	otomo/wp/ot_we020
133	لوح فيلاين أوراغان حديدي<ICON ALPHA>+	otomo/wp/ot_we021
134	شوريكن فيلاين نارغا<ICON ALPHA>+	otomo/wp/ot_we047
135	نصل ف الحارق<ICON ALPHA>+	otomo/wp/ot_we048
136	لكمة فيلاين براكي<ICON ALPHA>+	otomo/wp/ot_we049
137	مطرقة فيلاين تغريكس<ICON ALPHA>+	otomo/wp/ot_we050
138	سيف صرخة صقيع فيلاين<ICON ALPHA>+	otomo/wp/ot_we056
139	قرص تحفة فيلاين فنية<ICON ALPHA>+	otomo/wp/ot_we061
140	سيف فيلاين غاجالاكا<ICON ALPHA>+	otomo/wp/ot_we031
141	مطرقة ف بوابوا العظمية<ICON ALPHA>+	otomo/wp/ot_we062
142	رمح حارس الصقيع فيلاين<ICON ALPHA>+	otomo/wp/ot_we053
143	صولجان كبرياء فيلاين<ICON ALPHA>+	otomo/wp/ot_we059
144	صولجان شبح فيلاين<ICON ALPHA>+	otomo/wp/ot_we057
145	عصا نامي فيلاين<ICON ALPHA>+	otomo/wp/ot_we054
146	صولجان فيلاين القيصر<ICON ALPHA>+	otomo/wp/ot_we022
147	عصا فيلاين داورا<ICON ALPHA>+	otomo/wp/ot_we023
148	سيف فيلاين غودسبلايد<ICON ALPHA>+	otomo/wp/ot_we018
149	كرة إشفالدا فيلاين<ICON ALPHA>+	otomo/wp/ot_we055
150	مخلب الضَرُوس فيلاين<ICON ALPHA>+	otomo/wp/ot_we058
151	عظم فيلاين شرِه<ICON ALPHA>+	otomo/wp/ot_we069
152	"نصل ف تنين مجنح ""أخضر""<ICON ALPHA>+"	otomo/wp/ot_we072
