Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	ميدالية نقابة برونزية	charm002
1	CHARM_001_NAME	ميدالية نقابة فضية	charm002
2	CHARM_002_NAME	ميدالية نقابة ذهبية	charm002
3	CHARM_003_NAME	وشاح ختم برونزي (أحمر)	charm003
4	CHARM_004_NAME	وشاح ختم برونزي (أصفر)	charm003
5	CHARM_005_NAME	وشاح ختم برونزي (أزرق)	charm003
6	CHARM_006_NAME	وشاح ختم برونزي (وردي)	charm003
7	CHARM_007_NAME	وشاح ختم برونزي (أخضر)	charm003
8	CHARM_008_NAME	وشاح ختم برونزي (رمادي)	charm003
9	CHARM_009_NAME	وشاح ختم برونزي (بني)	charm003
10	CHARM_010_NAME	وشاح ختم فضي (أبيض)	charm003
11	CHARM_011_NAME	وشاح ختم فضي (أحمر)	charm003
12	CHARM_012_NAME	وشاح ختم فضي (أخضر)	charm003
13	CHARM_013_NAME	وشاح ختم فضي (سماوي)	charm003
14	CHARM_014_NAME	وشاح ختم فضي (أرجواني)	charm003
15	CHARM_015_NAME	وشاح ختم فضي (وردي)	charm003
16	CHARM_016_NAME	وشاح ختم فضي (برتقالي)	charm003
17	CHARM_017_NAME	وشاح ختم ذهبي (بني)	charm003
18	CHARM_018_NAME	وشاح ختم ذهبي (أبيض)	charm003
19	CHARM_019_NAME	وشاح ختم ذهبي (أخضر داكن)	charm003
20	CHARM_020_NAME	وشاح ختم ذهبي (أخضر فاتح)	charm003
21	CHARM_021_NAME	وشاح ختم ذهبي (أرجواني)	charm003
22	CHARM_022_NAME	وشاح ختم ذهبي (برتقالي)	charm003
23	CHARM_023_NAME	وشاح ختم ذهبي (أزرق)	charm003
24	CHARM_024_NAME	بلورة زمردية توجيهية	charm004
25	CHARM_025_NAME	بلورة خضراء توجيهية	charm004
26	CHARM_026_NAME	بلورة شمس توجيهية	charm004
27	CHARM_027_NAME	بلورة غسق توجيهية	charm004
28	CHARM_028_NAME	بلورة مرغنيت توجيهية	charm004
29	CHARM_029_NAME	بلورة سليستيت توجيهية	charm004
30	CHARM_030_NAME	بلورة سيترينية توجيهية	charm004
31	CHARM_031_NAME	بلورة ألماسية توجيهية	charm004
32	CHARM_032_NAME	بلورة قرمزية توجيهية	charm004
33	CHARM_033_NAME	بلورة هيماتيت توجيهية	charm004
34	CHARM_034_NAME	بلورة جليدية توجيهية	charm004
35	CHARM_035_NAME	بلورة تنزانيت توجيهية	charm004
36	CHARM_036_NAME	نجم الغابة التوجيهي	charm001
37	CHARM_037_NAME	نجم الأرض القاحلة التوجيهي	charm001
38	CHARM_038_NAME	نجم مرجاني توجيهي	charm001
39	CHARM_039_NAME	نجم وبائي توجيهي	charm001
40	CHARM_040_NAME	نجم حمم بركانية توجيهية	charm001
41	CHARM_041_NAME	نجم متجمد توجيهي	charm001
42	CHARM_042_NAME	رمز صيّاد برونزي	charm005
43	CHARM_043_NAME	رمز صيّاد فضي	charm005
44	CHARM_044_NAME	رمز صيّاد ذهبي	charm005
45	CHARM_045_NAME	رمز متميز ألماسي	charm005
46	CHARM_046_NAME	رمز متميز ياقوتي	charm005
47	CHARM_047_NAME	رمز متميز زمردي	charm005
48	CHARM_048_NAME	رمز متميز كهرماني	charm005
49	CHARM_049_NAME	رمز متميز ياقوتي أزرق	charm005
50	CHARM_050_NAME	رمز متميز توبازي	charm005
51	CHARM_051_NAME	رمز متميز كريستالي	charm005
52	CHARM_052_NAME	رمز متميز أحمر ذهبي	charm005
53	CHARM_053_NAME	رمز متميز أزرق ذهبي	charm005
54	CHARM_054_NAME	رمز متميز برونزي	charm005
55	CHARM_055_NAME	رمز متميز أزرق ثلجي	charm005
56	CHARM_056_NAME	رمز متميز بنفسجي	charm005
57	CHARM_057_NAME	رمز متميز بركاني	charm005
58	CHARM_058_NAME	رمز متميز راذالوس أحمر	charm005
59	CHARM_059_NAME	رمز متميز راثيان أخضر	charm005
60	CHARM_060_NAME	رمز متميز راثيان وردي	charm005
