Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	مقاومة السم	تقلل الضرر عند الإصابة بالسم.
2	PT_PARALYSIS_RESIST_SKILL_PT	مقاومة الشلل	تقلل فترة الإصابة بالشلل.
3	PT_SLEEP_RESIST_SKILL_PT	مقاومة النوم	تقلل فترة النوم.
4	PT_STUN_RESIST_SKILL_PT	مقاومة الصعق	تقلل فترة تأثير الصعق.
5	PT_DARUMA_RESIST_SKILL_PT	مقاومة الوحل	تقلل ضعف الحركةأثناء الصعق في وحل الوحش.
6	PT_BOMB_RES_SKILL_PT	مقاومة الانفجار	توفر الحماية من الانفجار.
7	PT_PT_SCAR_RES_SKILL_PT	مقاومة النزيف	توفر الوقاية من النزيف.
8	PT_DEFDOWN_RESIST_SKILL_PT	الجلد الحديدي	توفر الوقاية من إضعاف الدفاع.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	سدادات الأذن	توفر الحماية من بعضأصوات زئير الوحوش الضخمة.
12	PT_HUUATU_SKILL_PT	صد الرياح	توفر الحماية من ضغط الرياح.
13	PT_EATHQUAKE_RESIST_SKILL_PT	مقاومة الزلزال	توفر الحماية من الهزّات الأرضية.
14	PT_UNKO_SKILL_PT	سيد الروث	تتسبب في فرار الوحوشعند إصابتهم بـكبسولاتالروث بـنبلة المعصم.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	خبير الروائح	تبطل تأثير الأضرار البيئيةأو تقللها في الوادي المتعفن.
17	PT_ADAPT_SKILL_PT	تصدي الحرارة	تبطل الضرر الناجم عن الحرارة.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	تعزيز الهجوم	تزيد من قوة الهجوم.وتحسن النسبة في مستويات أعلى.
20	PT_DEF_SKILL_PT	تعزيز الدفاع	تزيد من الهجمات.انتقل إلى المستوى التاليلتحسين المقاومة كذلك.
21	PT_VIT_SKILL_PT	تعزيز الصحة	تزيد من الصحة.
22	PT_HEEL_SKILL_PT	زيادة التعافي	تزيد من النسبة المستردّةعند استعادة الصحة.
23	PT_HEEL_SPEED_SKILL_PT	سرعة التعافي	تسرّع الشفاء من الضررالقابل للتعافي (الجزء الأحمر منمقياس الصحة).
24	PT_FIRE_RESIST_SKILL_PT	مقاومة النار	تزيد مقاومة النار.وتحسن الدفاع في مستويات أعلى.
25	PT_WATER_RESIST_SKILL_PT	مقاومة الماء	تزيد مقاومة الماء.وتحسن الدفاع في مستويات أعلى.
26	PT_ICE_RESIST_SKILL_PT	مقاومة الثلج	تزيد مقاومة الثلج.وتحسن الدفاع في مستويات أعلى.
27	PT_THUNDER_RESIST_SKILL_PT	مقاومة الرعد	تزيد مقاومة الرعد.وتحسن الدفاع في مستويات أعلى.
28	PT_DRAGON_RESIST_SKILL_PT	مقاومة التنين	تزيد مقاومة التنين.وتحسن الدفاع في مستويات أعلى.
29	PT_ATT_RESIST_SKILL_PT	مقاومة الوباء	توفر الحماية من كلالأوبئة العنصرية.
30	PT_FIRE_ATK_SKILL_PT	هجوم النار	يزيد من قوة هجوم عنصر النار.(للاشتداد العنصري حد أقصى.)
