Stage ID	Stage Name
ST101	الغابة العتيقة
ST102	أنقاض الهياكل الشرسة
ST103	المرتفعات المرجانية
ST104	الوادي المتعفن
ST105	مخبأ التنين المعمِّر
ST106	الوادي الكبير
ST107	الوادي الكبير
ST201	حلبة مميزة
ST202	الحلبة
ST301	أستيرا
ST302	مركز التجمع
ST303	قاعدة البحث
ST304	
ST401	
ST402	
ST403	التيار الأمدي
ST404	
ST405	ملتقى الأقدار
ST406	؟؟؟
ST409	كهوف إلدورادو
ST501	المساكن
ST502	الجناح الخاص
ST503	الحاشية الخاصة
ST504	منطقة التدريب
ST505	غرفة الخمسة
ST301_1	أستيرا
ST108	نطاق الصقيع
ST305	سيليانا
ST305s	سيليانا
ST109	الأراضي التوجيهية
ST411	مخزن مؤن سيليانا
ST412	الجزيرة الأصلية
ST302s	مركز تجمع أستيرا
ST306s	مركز تجمع سيليانا
ST301m	أستيرا
ST305m	سيليانا
ST506	منزل سيليانا
ST302_S	مركز التجمع
ST415	وادِ منعزل
ST203	مخزن مؤن سيليانا
