Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	السيف العاصف II	0	Combined Model	wp/two/two002	
0	GreatSword	13	النصل العاصف I	0	Combined Model	wp/two/two002	
0	GreatSword	14	النصل العاصف II	1	Combined Model	wp/two/two002	
0	GreatSword	15	النصل العاصف III	2	Combined Model	wp/two/two002	
0	GreatSword	17	شفرة الكروم II	3	Combined Model	wp/two/two002	
0	GreatSword	18	مُحاكم نيرغال	4	Combined Model	wp/two/two002	
0	GreatSword	19	قسوة التطهير	5	Combined Model	wp/two/two002	
0	GreatSword	21	نصل الرعد II	5	Combined Model	wp/two/two002	
0	GreatSword	22	مُعاقِب البرق I	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	مُعاقِب البرق III	7	Unique Model	wp/two/two004	
0	GreatSword	26	نصل جاغراس II	2	Combined Model	wp/two/two002	
0	GreatSword	28	جاغراس المخترق I	3	Combined Model	wp/two/two002	
0	GreatSword	29	جاغراس المخترق II	4	Combined Model	wp/two/two003	
0	GreatSword	31	نصل غيروس I	5	Combined Model	wp/two/two003	
0	GreatSword	32	نصل غيروس II	5	Combined Model	wp/two/two003	
0	GreatSword	33	قبلة المرض I	3	Combined Model	wp/two/two002	
0	GreatSword	35	قبلة المرض III	4	Combined Model	wp/two/two002	
0	GreatSword	36	لهيب لافا I	5	Combined Model	wp/two/two001	
0	GreatSword	38	النصل المتّقد I	5	Combined Model	wp/two/two001	
0	GreatSword	39	النصل المتّقد II	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	لهيب داتورا I	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	لهيب داتورا II	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	لهيب داتورا III	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	نصل اللهيب II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	الجناح الأحمر	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	الجناح الأزرق	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	النصل العظمي I	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	النصل العظمي II	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	الجارح العظمي I	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	الجارح العظمي II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	الجارح العظمي III	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	نصل الفك العملاق II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	هازاك كايس	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	أسنان اللهب	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	أسنان اللهب +	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	صرير أسنان اللهب	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	الجارح المائي II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	الجارح المائي III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	غوليم مائي I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	غوليم مائي III	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	محطّم الدرقة I	5	Unique Model	wp/two/two003	
0	GreatSword	70	محطّم الدرقة III	6	Unique Model	wp/two/two008	
0	GreatSword	72	باروث الباتر II	7	Unique Model	wp/two/two008	
0	GreatSword	73	باروث الباتر III	0	Combined Model	wp/two/two005	
0	GreatSword	75	النصل الشائك II	0	Combined Model	wp/two/two005	
0	GreatSword	76	لوح رادوبان I	1	Combined Model	wp/two/two005	
0	GreatSword	77	لوح رادوبان II	2	Combined Model	wp/two/two005	
0	GreatSword	79	كاسر عظام التنين I	3	Combined Model	wp/two/two005	
0	GreatSword	80	كاسر عظام التنين II	4	Combined Model	wp/two/two005	
0	GreatSword	81	كاسر عظام التنين III	5	Combined Model	wp/two/two006	
0	GreatSword	83	سيف الرعد	5	Combined Model	wp/two/two006	
0	GreatSword	84	سيف الرعد لكيرين	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	قاطع الفولاذ الأسود I	7	Unique Model	wp/two/two006	
0	GreatSword	88	حد الفولاذ المجمّد	2	Unique Model	wp/two/two005	
0	GreatSword	90	زينو ماليك	4	Unique Model	wp/two/two005	
0	GreatSword	91	نصل فك التنين المجنح	6	Unique Model	wp/two/two005	
0	GreatSword	92	نصل فك تنين مجنح عظيم	1	Combined Model	wp/two/two005	
0	GreatSword	94	نصل التجميد I	2	Combined Model	wp/two/two005	
0	GreatSword	95	نصل التجميد II	3	Combined Model	wp/two/two005	
0	GreatSword	96	لهيب الصقيع I	4	Combined Model	wp/two/two004	
0	GreatSword	98	بأس ماغدا I	5	Combined Model	wp/two/two004	
0	GreatSword	99	"اشتعالٌ مجنح ""تأثير"""	5	Combined Model	wp/two/two004	
0	GreatSword	100	سيف شر الماء الذهبي	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	سيف شر النوم الذهبي	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	سيف شر جاغراس الذهبي	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	سيف شر بوكي الذهبي	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	سيف شر غيروس الذهبي	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	107	سيف شر رادوبان الذهبي	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	108	سيف شر فال الذهبي	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
