Delivery ID	Delivery Name	Delivery Reward
0	Sprouting an Ancient Tree	Catalyst
1	Grow, Greenery, Grow	Mega Fertilizer
2	A Mountain of Mushrooms	Choice Mushroom Substrate
3	The Pied Bug Piper	Thick Summoner Jelly
4	Shattering the Grass Ceiling	Ancient Catalyst
5	A Gentle Earthen Bed	Soft Soil
6	To Hold a Harvest	Harvest Box Upgrade
7	Your Storage Solution	Harvest Box Upgrade
8	Setting Up Camp: Ancient Forest I	Northwest Camp (8)
9	Setting Up Camp: Ancient Forest II	Ancient Forest Camp (17)
10	Setting Up Camp: Wildspire Waste I	Central Camp (6)
11	Setting Up Camp: Wildspire Waste II	Eastern Camp (11)
12	Setting Up Camp: Wildspire Waste II	Northeast Camp (15)
13	Setting Up Camp: Coral Highlands	Northeast Camp (12)
14	Setting Up Camp: Elder's Recess I	Eastern Camp (8)
15	Setting Up Camp: Elder's Recess II	Northwest Camp (16)
16	The Shortcut to Happiness	Ropelift
17	Armory R&D: Waterproofing	Waterproof Mantle
18	Armory R&D: Weatherizing	Iceproof Mantle
19	Mushrooms: Nature's Smelly Bounty	King Truffle
20	A Feast of Fish	Gajau Gill
21	Princely Prawns	Coral Shrimp
22	Million Zenny Veggie	Millionfold Cabbage
23	A Thousand-Year-Old Crab!?	Millenary Crab
24	Tomatoes Red As Magma	Fatty Tomato
25	The Juicy Meat Resistance	Rich Rump
26	The Bone-In Roast Resistance	Great Mutton
27	Ancient But Fresh!	Ancient Seabream
28	A Veggie Master of Disguise	Aromaticelery
29	Phantasmagoric Paprika!	Prismatic Paprika
30	A Master's Toast	Master Ale
31	A Fire-Spewing Brew	Ratha Whiskey
32	A Great Help	Diced Steak
