Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Potion	Item	0	Restores a small amount ofhealth.
2	Mega Potion	Item	1	Restores a moderate amountof health.
3	Max Potion	Item	2	Fully restores health andmaximizes the size of yourHealth Gauge.
4	Ancient Potion	Item	4	Fully restores health andmaximizes the size of yourHealth and Stamina Gauges.
5	Antidote	Item	0	A cure for poison.
6	Herbal Medicine	Item	1	Removes all traces of poisonand restores a slight amountof health.
7	Nulberry	Item	1	A mysterious berry that curesvarious blights.
8	Energy Drink	Item	1	A Guild-approved beveragethat boosts your stamina.Helps shake off sleep, too!
9	Ration	Item	0	Food that restores a bit of stamina.
10	Rare Steak	Item	0	Provides a moderate boost toyour stamina. This one'sstill red in the middle.
11	Well-done Steak	Item	1	Provides a moderate boost to yourstamina and keeps it at max fora longer period. Meat done right!
12	Burnt Meat	Item	0	Provides a small boost to yourstamina. Can be eaten quickly.
13	Cool Drink	Item	0	Provides temporary relieffrom extreme heat.
14	Nutrients	Item	1	Very slightly increases yourmaximum health level.
15	Mega Nutrients	Item	2	Slightly increases yourmaximum health level.
16	Immunizer	Item	2	Boosts your natural abilityto heal.
17	Astera Jerky	Item	1	Juicy, dried meat made byAstera's chef. Boosts naturalhealing and cures bleeding.
18	Dash Juice	Item	1	Dulls one's sense of exhaustion.Reduces stamina depletion for atime.
19	Mega Dash Juice	Material	3	Lets you dash without tiringfor longer than regulardash juice does.
20	Might Seed	Item	1	Temporarily strengthens yourattacks when ingested byimproving energy flow.
21	Demondrug	Item	3	Boosts your attack powerby filling you with—guesswhat?—demonic strength.
22	Mega Demondrug	Item	4	Boosts your attack powereven more than a regularDemondrug.
23	Might Pill	Item	3	Temporarily endows you withthe strength of a mighty god.Potent!
24	Adamant Seed	Item	1	Temporarily raises yourdefense when ingested byhardening tissue.
25	Armorskin	Item	3	Boosts your defense by turningyour skin as hard as rock.
26	Mega Armorskin	Item	4	Boosts your defense even morethan a regular armorskin.
27	Adamant Pill	Item	3	Temporarily makes your skinas hard as adamant. Potent!
28	Lifepowder	Item	3	Produces a healing cloud in thearea around the user.
29	Herbal Powder	Item	3	A mysterious powder that producesa cloud around the area that restoreshealth and neutralizes poison.
30	Demon Powder	Item	3	A mysterious powder that producesa cloud around the area thattemporarily strengthens attacks.
31	Hardshell Powder	Item	3	A mysterious powder that producesa cloud around the area thattemporarily strengthens defense.
32	Honey	Item	1	Highly nutritious honey. Combine thiswith Potions to craft Mega Potionsfor maximum potency.
33	Herb	Item	0	A primary ingredient in potions.
34	Antidote Herb	Item	0	A primary ingredient in antidotes.
35	Fire Herb	Item	1	A wondrous, flammable plant.Useful for crafting explosives.
36	Flowfern	Item	0	This plant's leaves store a greatamount of water. A component formaking Water Ammo.
37	Snow Herb	Item	1	A plant that radiates ice-cold air.Use in combinations to createfreeze ammo.
38	Sleep Herb	Item	0	A plant containing sleepingagents. Used to craft tranquilizers.
39	Ivy	Item	0	A lightweight and extremelystrong plant. Used to makenets for pitfall traps.
40	Smokenut	Item	0	A nut that produces a copious amountof smoke. Combine with other itemsto create smoke with various properties.
41	Dragonfell Berry	Item	3	A mysterious berry, rumored foreons to be loathed by dragons.Required to craft Dragon Ammo.
42	Blue Mushroom	Item	1	A mushroom infused withpower-enhancing effects.Used in restorative items.
43	Mandragora	Item	2	A dangerous fungus said to drawthe life out of people. Beware.Required to craft Max Potions.
44	Nitroshroom	Item	1	A hard-to-find mushroom with thepower to generate blazing heat.Required to craft Gunpowder.
45	Devil's Blight	Item	1	A very rare fungus that pulses withextreme heat. Add to a barrel bombfor a dramatically stronger blast.
46	Parashroom	Item	2	A mushroom that inducesparalysis. Required tocraft Tranq Bombs.
47	Toadstool	Item	1	A poisonous fungus. Can beused as a toxin for knives.
48	Exciteshroom	Item	2	This one has a very strange aroma.Is it edible? Only one way to findout! Required to craft Farcasters.
49	Bitterbug	Item	0	A sharp-tasting bug with innatehealing abilities. Used as aningredient in many medicines.
50	Flashbug	Item	1	An insect that emits a powerfulflash when it dies. Requiredto craft Flash Pods.
51	Godbug	Item	3	An insect said to live a millennium.Combine it with other items to addtheir properties to the powder.
52	Thunderbug	Item	3	An insect that emits electricitywhen struck. Required to craftShock Traps and Thunder Ammo.
53	Baitbug	Item	2	An insect used as fishing bait. Afish favorite, it practically racesdown the nearest gilly gullet.
54	Kelbi Horn	Item	3	While not practical when forgingequipment, Kelbi horns are a vitalcomponent of many items.
55	Dash Extract	Item	3	A mysterious substance culledfrom certain monsters thatincreases endurance.
56	Nourishing Extract	Item	3	Can be obtained from certain largemonsters. Has the ability to amplifythe effects of certain medicines.
57	Screamer Sac	Item	1	A monster organ that emits anearsplitting sonic blast when ruptured.Used to craft screamer pods.
58	Catalyst	Item	1	Works with other materialsto enhance their effects.Cannot be used by itself.
59	Tranq Bomb	Item	2	A hand grenade used to capturemonsters ensnared in traps. Canbe slammed against the ground.
60	Flash Pod	Item	1	Slinger ammo that flashes brightlyon impact. Fire it right under amonster's nose to blind it.
61	Screamer Pod	Item	1	Used as ammo for your slinger. Emitsa harsh, high-frequency sound thatcan disrupt sensitive monsters.
62	Smoke Bomb	Item	1	Creates a large cloud of smokewherever it lands.
63	Poison Smoke Bomb	Item	1	Releases a toxic cloud of mist whenused. Also popular as a householdbug bomb.
64	Farcaster	Item	2	Call for a wingdrake to transportyou to the nearest camp. Canalso be used during battles.
65	Raw Meat	Item	0	Meat carved from a monster.Can be cooked, combined, orused to set a trap.
66	Poisoned Meat	Item	1	Raw meat that poisonswhatever eats it. Makesgreat bait for traps.
67	Tinged Meat	Item	1	Raw meat that paralyzeswhatever eats it. Makesgreat bait for traps.
68	Drugged Meat	Item	1	Raw meat that puts whatevereats it to sleep. Makesgreat bait for traps.
69	Gunpowder	Item	1	A dangerous substance thatexplodes when struck or heated.
70	Small Barrel	Item	0	A small, empty barrel.
71	Barrel Bomb	Item	1	A small time bomb.
72	Bounce Bomb	Item	1	Launches into the air whenset. This modified bombrequires skill to use.
73	Mega Bounce Bomb	Item	3	An improved version of the bouncebomb. Requires some skill to use.
74	Large Barrel	Item	1	A large, empty barrel.Combine with gunpowder to make itinto a bomb.
