Food Code	Food Name	Food Desc
MEAT_00_ID	Wyvern Thigh	Meat that helps trigger Courage food skills.A long time in the stew makes it very chewy.
MEAT_01_ID	Wyvern Skirt Steak	Meat that helps trigger Courage food skills.Best served thinly sliced and grilled overcharcoal.
MEAT_02_ID	Wyvern Egg	Meat that helps trigger Courage food skills.A precious plunder from a wyvern's nest.
MEAT_03_ID	Wyvern Tail	Meat that helps trigger Courage food skills.The tail from a flying wyvern. Worth tryingat least once.
MEAT_04_ID	Wyvern Head	Meat that helps trigger Courage food skills.A staple of haute cuisine, it also occasionallyfeatures in celebratory feasts.
MEAT_05_ID	Wyvern Filet	Meat that helps trigger Courage food skills.The most highly valued cut of wyvern meatavailable.
MEAT_06_ID	Tough Meat	Meat that helps trigger Resilience food skills.Working your way through this chewy meat hasthe added benefit of strengthening your jaw.
MEAT_07_ID	Thorny Meat	Meat that helps trigger Resilience food skills.Still attached to the thorny scales from whichit was cut, it calls for slow, careful eating.
MEAT_08_ID	Bullion Meat	Meat that helps trigger Resilience food skills.Relatively expensive, but sometimes you'vejust gotta treat yourself.
MEAT_09_ID	Steeled Meat	Meat that helps trigger Resilience food skills.Hard enough to break a tooth, but the proteinand vitamins it packs almost makes it worth it.
MEAT_10_ID	Wild Chicken	Meat that helps trigger Resilience food skills.Best enjoyed by savagely cutting into it andshoveling into your mouth with abandon.
MEAT_11_ID	Marinated Carpaccio	Meat that helps trigger Resilience food skills.Steeped in a secret sauce, this raw meat isliterally dripping with flavor.
MEAT_12_ID	Aptonoth Meat	Meat that helps trigger Vigor food skills.A staple of any hunter's diet which is usedin a wide variety of meat dishes.
MEAT_13_ID	Apceroast	Meat that helps trigger Vigor food skills.Almost always served in large potions, thismeat is a favorite among ravenous hunters.
MEAT_14_ID	Diced Steak	Meat that helps trigger Vigor food skills.Relatively good quality meat cut into small,bite-sized pieces.
MEAT_15_ID	Giant Sirloin	Meat that helps trigger Vigor food skills.A lovely slice of Aptonoth meat that'stasty and filling.
MEAT_16_ID	Big Bite Burger	Meat that helps trigger Vigor food skills.A burger prepared the way it was meant tobe: almost too big to fit in your mouth.
MEAT_17_ID	Giga Steak	Meat that helps trigger Vigor food skills.Well-marbled steak so delectable that it's hardto put down even long after you've been full.
MEAT_18_ID	White Liver	Meat that helps trigger Acumen food skills.Loved for its goopy texture.
MEAT_19_ID	Barbecued Short Rib	Meat that helps trigger Acumen food skills.Mostly fat, this flavorful meat can bedangerously addictive.
MEAT_20_ID	Tangy Tripe	Meat that helps trigger Acumen food skills.A stomachful of this makes it oddly difficultto sit still.
MEAT_21_ID	Hot Heart	Meat that helps trigger Acumen food skills.A cut of meat prized for its texture, enjoyedbest when devoured piping hot.
MEAT_22_ID	Rich Rump	Meat that helps trigger Acumen food skills.An exceptionally rich cut of meat from oneof a monster's most prized body parts.
MEAT_23_ID	Grand Foie Gras	Meat that helps trigger Acumen food skills.Its creamy texture and rich taste make it amuch sought-after ingredient.
MEAT_24_ID	Peon Turkey	Meat that helps trigger Artillery food skills.Sadly, it's more bone than meat.
MEAT_25_ID	Great Mutton	Meat that helps trigger Artillery food skills.Highly versatile, it's used in a wide varietyof dishes.
MEAT_26_ID	Herbivore Egg	Meat that helps trigger Artillery food skills.An omelette made from this could feedseveral hungry families.
MEAT_27_ID	King Turkey	Meat that helps trigger Artillery food skills.Its meatiness makes it more than worthy ofits moniker. Puts Peon Turkey to shame.
MEAT_28_ID	Magma Mutton	Meat that helps trigger Artillery food skills.Succulent mutton that grows even richer intaste the longer it's stewed.
MEAT_29_ID	Kaiser Turkey	Meat that helps trigger Artillery food skills.A leg so imperially meaty that even KingTurkey pales in comparison.
FISH_00_ID	Ridgemane Tuna	Fish that helps trigger Courage food skills.Its meat is as tasty as its mane is audacious.
FISH_01_ID	Serpentine Salmon	Fish that helps trigger Courage food skills.Twisty and curvy, it looks more like a snakethan a fish.
