Gallery ID	Gallery Name	Gallery Desc
EVC0001	The Voyage Begins	The Fifth Fleet departs on its voyageto the New World. One hunter has justjoined their ranks, filled with promise.
EVC0002	Fateful Encounters	An auspicious meeting between kindredspirits is followed by a most inauspiciousdisruption. And the source of it...?
EVC0003	Gazing upon the New World	The hunter and the Handler make a high-flying escape from the unknown colossus,soaring out over the bright New World.
EVC0051	Rogues of the Forest	Stranded in the middle of the AncientForest, the pair make for the base, butare stymied by a pack of Jagras.
EVC0004	Caught by Surprise	Preoccupied with the discovery of tracks,the Handler is suddenly leapt upon by thevery monster that had left them.
EVC0005	Scuffle at the Checkpoint	Just before they make it inside the base,the hunter is thrust in the middle of avicious struggle between two monsters.
EVC0006	Astera	Their impromptu adventure over, thehunter and the Handler arrive in thesafety of the Commission's base, Astera.
EVC0052	Trusty Hunting Companion	After having been separated duringthe incident with the colossal monster,the hunter and their Palico reunite.
EVC0055	Fragile: Handle with Care	At the site of the wrecked camp,the hunter and the Field Team Leaderhappen upon a scavenging Kulu-Ya-Ku.
EVC0007	Following the Scoutflies	Alerted by their scoutflies, the groupspies a Pukei-Pukei, seemingly agitatedby a mysterious, smoldering slag.
EVC0056	Venturing into the Wastes	The hunter prepares to escort the scholarson their investigation of another possibletrace left by Zorah Magdaros.
EVC0008	Hazards of the Job	In their eagerness to retrieve samples,the party is beset upon by a Barrothsmashing through a wildspire.
EVC0009	The Wise Wyverian	Having safely escorted the scholars,the hunter meets a mysteriousWyverian hunter from the First Fleet.
EVC0010	The Restless Swamp	In search of the missing scholar, thehunter finds him cowering in fear afteran encounter with a terrifying monster.
EVC0011	The Graceful Tobi-Kadachi	Seeing feathers floating down, the hunterdetects something amiss, looking up tofind a new beast poised high in the trees.
EVC0012	Anjanath, the Berserker	The hunter attempts a risky mission: tolure the fiercely territorial Anjanath rightinto a trap.
EVC0013	The Capture Operation	The Commission devises a plan to captureZorah Magdaros. Dawn breaks, but will any lightalso be shed on the mystery of the Elder Crossing?
EVC0014	The End Result	A strange new monster impedes the operation.The hunter expends every ounce of strengthto repel it, but will the operation succeed?
EVC0015	Across the Great Ravine	Hard on the heels of Zorah Magdaros,the hunter and the Handler make it acrossthe ravine to an unbelievable sight.
EVC0060	A Blinding Defense	A pack of leering Shamos surround andclose in on a Tzitzi-Ya-Ku, when suddenlythe area is flooded with a flash of light.
EVC0061	The Floating Wyvern	On the trail of a curious, floating creature,the hunter briefly loses sight of it, onlyto finally come face to face with it.
EVC0016	To the Rotten Vale	Outfitted with new balloons, the ResearchBase rides a special current to soar intothe skies. Its destination: the Rotten Vale.
EVC0062	A New Friend	After having explored the Rotten Vale, thehunter and the Handler reconvene in camp,where they meet the Tracker.
EVC0017	The Bone Behemoth	The hunter's investigation is cut short.The earth rumbles, and a monstrosityof sharp bones barrels onto the scene.
EVC0018	The Elegant Airborne Hunter	Before they attempt to take the airshipinto the Vale to search for traces ofZorah, Legiana thwarts everyone's plans.
EVC0019	Trouble in the Vale	Still on the trail of Zorah Magdaros, thepair are set upon by an Odogaron. It setsits sights on the Handler...
EVC0020	Answers from the Vale	The pair reunite with the Tracker, whohelps them realize the secret behindthe Elder Crossing.
EVC0021	Crown of the Ancient Tree	The pair scale an Ancient Tree in searchof the First Wyverian, but Rathalos, Kingof the Skies, is there to greet them instead.
EVC0022	Rage Beneath the Sands	A territorial dispute between Noios anda Barroth turns deadly when a two-horneddevil surfaces from beneath the sand.
EVC0023	Commence the Lure Operation	The operation to lure Zorah Magdarosout to sea is finally about to begin.
EVC0024	The Cycle Goes On	The Commission's operation ends insuccess. They watch in triumph asZorah Magdaros heads out to sea.
EVC0025	The Queen of a Strange Land	The pair journey to the Coral Highlandsin search of what may have left thestrange traces. What awaits them?
EVC0034	The Admiral Blows In	A subspecies has been discovered in the NewWorld. As the investigation begins into thisphenomenon, the Admiral arrives on scene.
EVC0026	Into the Recess	Led by the Admiral, the hunter and theHandler step foot into a land of towering,glittering crystals.
