Deco ID	Item ID	Deco Name	Slot Size
0	727	Antidote Jewel 1	1
1	728	Antipara Jewel 1	1
2	729	Pep Jewel 1	1
3	730	Steadfast Jewel 1	1
4	731	Antiblast Jewel 1	1
5	732	Suture Jewel 1	1
6	733	Def Lock Jewel 1	1
7	734	Earplug Jewel 3	3
8	735	Wind Resist Jewel 2	2
9	736	Footing Jewel 2	2
10	739	Attack Jewel 1	1
11	740	Defense Jewel 1	1
12	741	Vitality Jewel 1	1
13	742	Recovery Jewel 1	1
14	743	Fire Res Jewel 1	1
15	744	Water Res Jewel 1	1
16	745	Ice Res Jewel 1	1
17	746	Thunder Res Jewel 1	1
18	747	Dragon Res Jewel 1	1
19	748	Resistor Jewel 1	1
20	749	Blaze Jewel 1	1
21	750	Stream Jewel 1	1
22	751	Frost Jewel 1	1
23	752	Bolt Jewel 1	1
24	753	Dragon Jewel 1	1
25	754	Venom Jewel 1	1
26	755	Paralyzer Jewel 1	1
27	756	Sleep Jewel 1	1
28	757	Blast Jewel 1	1
29	758	Poisoncoat Jewel 3	3
30	759	Paracoat Jewel 3	3
31	760	Sleepcoat Jewel 3	3
32	761	Blastcoat Jewel 3	3
33	763	Release Jewel 3	3
34	764	Expert Jewel 1	1
35	765	Critical Jewel 2	2
36	766	Tenderizer Jewel 2	2
37	767	Charger Jewel 2	2
38	768	Handicraft Jewel 3	3
39	769	Draw Jewel 2	2
40	770	Destroyer Jewel 2	2
41	771	KO Jewel 2	2
42	772	Drain Jewel 1	1
43	774	Flight Jewel 2	2
44	775	Throttle Jewel 2	2
45	776	Challenger Jewel 2	2
46	777	Flawless Jewel 2	2
47	778	Potential Jewel 2	2
48	779	Fortitude Jewel 1	1
49	780	Furor Jewel 2	2
50	781	Sonorous Jewel 1	1
51	782	Magazine Jewel 2	2
52	783	Trueshot Jewel 1	1
53	784	Artillery Jewel 1	1
54	785	Heavy Artillery Jewel 1	1
55	786	Sprinter Jewel 2	2
56	787	Physique Jewel 2	2
57	789	Refresh Jewel 2	2
58	790	Hungerless Jewel 1	1
59	791	Evasion Jewel 2	2
60	792	Jumping Jewel 2	2
61	793	Ironwall Jewel 1	1
62	794	Sheath Jewel 1	1
63	795	Friendship Jewel 1	1
64	796	Enduring Jewel 1	1
65	797	Satiated Jewel 1	1
66	798	Gobbler Jewel 1	1
67	799	Grinder Jewel 1	1
68	800	Bomber Jewel 1	1
69	801	Fungiform Jewel 1	1
70	808	Protection Jewel 1	1
71	809	Meowster Jewel 1	1
72	810	Botany Jewel 1	1
73	811	Geology Jewel 1	1
74	812	Mighty Jewel 2	2
75	813	Stonethrower Jewel 1	1
76	814	Tip Toe Jewel 1	1
77	815	Brace Jewel 3	3
78	819	Smoke Jewel 1	1
79	820	Mirewalker Jewel 1	1
80	824	Specimen Jewel 1	1
81	826	Scent Jewel 1	1
82	828	Intimidator Jewel 1	1
83	832	Slider Jewel 2	2
84	833	Medicine Jewel 1	1
85	834	Forceshot Jewel 3	3
86	835	Pierce Jewel 3	3
87	836	Spread Jewel 3	3
88	837	Enhancer Jewel 2	2
89	838	Crisis Jewel 1	1
90	839	Dragonseal Jewel 3	3
91	842	Maintenance Jewel 1	1
92	874	Mighty Bow Jewel 2	2
93	875	Mind's Eye Jewel 2	2
94	876	Shield Jewel 2	2
95	877	Sharp Jewel 2	2
96	878	Elementless Jewel 2	2
97	825	Miasma Jewel 1	1
98	1968	Phoenix Jewel 3	3
99	1969	Guardian Jewel 2	2
100	1970	Cooling Jewel 2	2
101	1971	Fire Res Jewel+ 4	4
102	1972	Water Res Jewel+ 4	4
103	1973	Ice Res Jewel+ 4	4
104	1974	Thunder Res Jewel+ 4	4
105	1975	Dragon Res Jewel+ 4	4
106	1976	Blaze Jewel+ 4	4
107	1977	Stream Jewel+ 4	4
108	1978	Frost Jewel+ 4	4
109	1979	Bolt Jewel+ 4	4
110	1980	Dragon Jewel+ 4	4
111	1981	Venom Jewel+ 4	4
112	1982	Paralyzer Jewel+ 4	4
113	1983	Sleep Jewel+ 4	4
114	1984	Blast Jewel+ 4	4
115	1985	Hard Fire Res Jewel 4	4
116	1986	Hard Water Res Jewel 4	4
117	1987	Hard Ice Res Jewel 4	4
118	1988	Hard Thunder Res Jewel 4	4
119	1989	Hard Dragon Res Jewel 4	4
120	1990	Antidote Jewel+ 4	4
121	1991	Antipara Jewel+ 4	4
122	1992	Pep Jewel+ 4	4
123	1993	Steadfast Jewel+ 4	4
124	1994	Antiblast Jewel+ 4	4
125	1995	Suture Jewel+ 4	4
126	1996	Def Lock Jewel+ 4	4
127	1997	Miasma Jewel+ 4	4
128	1998	Hungerless Jewel+ 4	4
129	1999	Recovery Jewel+ 4	4
130	2000	Tip Toe Jewel+ 4	4
131	2001	Intimidator Jewel+ 4	4
132	2002	Meowster Jewel+ 4	4
133	2003	Hard Tip Toe Jewel 4	4
134	2004	Hard Intimidator Jewel 4	4
135	2005	Hard Meowster Jewel 4	4
