Monster ID	Monster Code	Monster Name
0	EM100	Anjanath
1	EM002	Rathalos
2	EMS001	Aptonoth
3	EMS049	Jagras
4	EM106	Zorah Magdaros
5	EMS004	Mosswine
6	EMS029	Gajau
7	EM101	Great Jagras
8	EMS051	Kestodon (Male)
9	EM001	Rathian
10	EM001_01	Pink Rathian
11	EM002_01	Azure Rathalos
12	EM007	Diablos
13	EM007_01	Black Diablos
14	EM011	Kirin
15	EM121_01	Behemoth
16	EM024	Kushala Daora
17	EM026	Lunastra
18	EM027	Teostra
19	EM036	Lavasioth
20	EM043	Deviljho
21	EM044	Barroth
22	EM045	Uragaan
23	EM127_00	Leshen
24	EM102	Pukei-Pukei
25	EM103	Nergigante
26	EM105	Xeno'jiiva
27	EM107	Kulu-Ya-Ku
28	EM107_01	Tzitzi-Ya-Ku
29	EM108	Jyuratodus
30	EM109	Tobi-Kadachi
31	EM110	Paolumu
32	EM111	Legiana
33	EM112	Great Girros
34	EM113	Odogaron
35	EM114	Radobaan
36	EM115	Vaal Hazak
37	EM116	Dodogama
38	EM117	Kulve Taroth
39	EM118	Bazelgeuse
40	EMS002	Apceros
41	EMS003	Kelbi
42	EMS003_05	Kelbi
43	EMS005	Hornetaur
44	EMS006	Vespoid
45	EMS050	Mernos
46	EMS051_05	Kestodon (Female)
47	EMS053	Raphinos
48	EMS054	Shamos
49	EMS055	Barnos
50	EMS056	Girros
51	EM127_01	Ancient Leshen
52	EMS058	Gastodon
53	EMS059	Noios
54	EMS060_00	Magmacore
55	EMS060_01	Magmacore
56	EMS061	Gajalaka
57	EMXXX	Unknown
58	EM001_99	??? Rathian
59	EMS051_99	Kestodon
60	EMS061_02	Golden Tribe
61	EM032_00	Tigrex
62	EM037_00	Nargacuga
63	EM042_00	Barioth
64	EM_TEST_00001	Savage Deviljho
65	EM063_00	Brachydios
66	EM080_00	Glavenus
67	EM080_01	Acidic Glavenus
68	EM100_01	Fulgur Anjanath
69	EM102_01	Coral Pukei-Pukei
70	EM103_05	Ruiner Nergigante
71	EM109_01	Viper Tobi-Kadachi
72	EM110_01	Nightshade Paolumu
73	EM111_05	Shrieking Legiana
74	EM113_01	Ebony Odogaron
75	EM115_05	Blackveil Vaal Hazak
76	EM118_05	Seething Bazelgeuse
77	EM122_00	Beotodus
78	EM123_00	Banbaro
79	EM124_00	Velkhana
80	EM125_00	Namielle
81	EM126_00	Shara Ishvalda
82	EMS014_00	Popo
83	EMS016_00	Anteka
84	EMS063_00	Wulg
85	EMS064_00	Cortos
86	EMS061_01	Boaboa
87	EM050	Alatreon
88	EM001_02	Gold Rathian
89	EM002_02	Silver Rathalos
90	EM018_00	Yian Garuga
91	EM023	Rajang
92	EM023_05	Furious Rajang
93	EM_TEST_00002	Brute Tigrex
94	EM057_00	Zinogre
95	EM057_01	Stygian Zinogre
96	EM063_05	Raging Brachydios
97	EM104	Safi'jiiva
98	DUMMY000014	Unavailable
99	EM018_05	Scarred Yian Garuga
100	EM042_05	Frostfang Barioth
101	EM013_00	Fatalis
