Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Bronze Guild Medal	charm002
1	CHARM_001_NAME	Silver Guild Medal	charm002
2	CHARM_002_NAME	Gold Guild Medal	charm002
3	CHARM_003_NAME	Bronze Sigil Scarf (Red)	charm003
4	CHARM_004_NAME	Bronze Sigil Scarf (Yellow)	charm003
5	CHARM_005_NAME	Bronze Sigil Scarf (Blue)	charm003
6	CHARM_006_NAME	Bronze Sigil Scarf (Pink)	charm003
7	CHARM_007_NAME	Bronze Sigil Scarf (Green)	charm003
8	CHARM_008_NAME	Bronze Sigil Scarf (Gray)	charm003
9	CHARM_009_NAME	Bronze Sigil Scarf (Brown)	charm003
10	CHARM_010_NAME	Silver Sigil Scarf (White)	charm003
11	CHARM_011_NAME	Silver Sigil Scarf (Red)	charm003
12	CHARM_012_NAME	Silver Sigil Scarf (Green)	charm003
13	CHARM_013_NAME	Silver Sigil Scarf (Cyan)	charm003
14	CHARM_014_NAME	Silver Sigil Scarf (Purple)	charm003
15	CHARM_015_NAME	Silver Sigil Scarf (Pink)	charm003
16	CHARM_016_NAME	Silver Sigil Scarf (Orange)	charm003
17	CHARM_017_NAME	Gold Sigil Scarf (Brown)	charm003
18	CHARM_018_NAME	Gold Sigil Scarf (White)	charm003
19	CHARM_019_NAME	Gold Sigil Scarf (Dark Green)	charm003
20	CHARM_020_NAME	Gold Sigil Scarf (Light Green)	charm003
21	CHARM_021_NAME	Gold Sigil Scarf (Purple)	charm003
22	CHARM_022_NAME	Gold Sigil Scarf (Orange)	charm003
23	CHARM_023_NAME	Gold Sigil Scarf (Blue)	charm003
24	CHARM_024_NAME	Guiding Emerald Crystal	charm004
25	CHARM_025_NAME	Guiding Verdant Crystal	charm004
26	CHARM_026_NAME	Guiding Sun Crystal	charm004
27	CHARM_027_NAME	Guiding Dusk Crystal	charm004
28	CHARM_028_NAME	Guiding Morganite Crystal	charm004
29	CHARM_029_NAME	Guiding Celestite Crystal	charm004
30	CHARM_030_NAME	Guiding Citrine Crystal	charm004
31	CHARM_031_NAME	Guiding Diamond Crystal	charm004
32	CHARM_032_NAME	Guiding Crimson Crystal	charm004
33	CHARM_033_NAME	Guiding Hematite Crystal	charm004
34	CHARM_034_NAME	Guiding Glacier Crystal	charm004
35	CHARM_035_NAME	Guiding Tanzanite Crystal	charm004
36	CHARM_036_NAME	Guiding Forest Star	charm001
37	CHARM_037_NAME	Guiding Wasteland Star	charm001
38	CHARM_038_NAME	Guiding Coral Star	charm001
39	CHARM_039_NAME	Guiding Effluvial Star	charm001
40	CHARM_040_NAME	Guiding Magma Star	charm001
41	CHARM_041_NAME	Guiding Rime Star	charm001
42	CHARM_042_NAME	Bronze Hunter Symbol	charm005
43	CHARM_043_NAME	Silver Hunter Symbol	charm005
44	CHARM_044_NAME	Gold Hunter Symbol	charm005
45	CHARM_045_NAME	Diamond Master Symbol	charm005
46	CHARM_046_NAME	Ruby Master Symbol	charm005
47	CHARM_047_NAME	Emerald Master Symbol	charm005
