Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras of the Ancient Forest	Slay 7 Jagras	Time expiresFaint 3 times
00102	A Kestodon Kerfuffle	Complete the assignment	Time expiresFaint 3 times
00103	The Great Jagras Hunt	Hunt a Great Jagras	Time expiresFaint 3 times
00151	Butting Heads with Nature	Slay 12 Kestodon	Time expiresFaint 3 times
00152	A Thicket of Thugs	Slay 7 Jagras	Time expiresFaint 3 times
00153	Fungal Flexin' in the Ancient Forest	Deliver 20 Gourmet Shroomcaps	Time expiresFaint 3 times
00201	Bird-Brained Bandit	Hunt a Kulu-Ya-Ku	Time expiresFaint 3 times
00205	Urgent: Pukei-Pukei Hunt	Hunt a Pukei-Pukei	Time expiresFaint 3 times
00241	Learning the Clutch	Learn the mechanics of the clutch claw	Time expiresFaint 3 timesGreat Jagras is hunted
00251	The Great Glutton	Hunt a Great Jagras	Time expiresFaint 3 times
00252	Camp Crasher	Hunt a Kulu-Ya-Ku	Time expiresFaint 3 times
00261	Snatch the Snatcher	Capture a Kulu-Ya-Ku	Time expiresFaint 3 timesKulu-Ya-Ku is slain
00262	The Pain from Gains	Slay 7 Gajau	Time expiresFaint 3 times
00263	Exterminator of the Waste	Slay 14 Vespoid	Time expiresFaint 3 times
00301	The Best Kind of Quest	Complete the assignment	Time expiresFaint 3 times
00302	Sinister Shadows in the Swamp	Complete the assignment	Time expiresFaint 3 times
00305	Flying Sparks: Tobi-Kadachi	Hunt a Tobi-Kadachi	Time expiresFaint 3 times
00306	The Encroaching Anjanath	Hunt an Anjanath	Time expiresFaint 3 times
00331	Special Arena: Pukei-Pukei	Hunt a Pukei-Pukei	Time expiresFaint 3 times
00332	Special Arena: Barroth	Hunt a Barroth	Time expiresFaint 3 times
00333	Special Arena: Tobi-Kadachi	Hunt a Tobi-Kadachi	Time expiresFaint 3 times
00351	Scatternut Shortage	Hunt a Pukei-Pukei	Time expiresFaint 3 times
00352	The Current Situation	Hunt a Tobi-Kadachi	Time expiresFaint 3 times
00361	Mired in the Spire	Hunt a Barroth	Time expiresFaint 3 times
00362	The Piscine Problem	Hunt a Jyuratodus	Time expiresFaint 3 times
00363	Prickly Predicament	Deliver 20 Bauble Cactuses	Time expiresFaint 3 times
00364	Gettin' Yolked in the Waste	Deliver 2 Herbivore Eggs	Time expiresFaint 3 times
00365	Landing the Landslide Wyvern	Capture a Barroth	Time expiresFaint 3 timesBarroth is slain
00401	One for the History Books	Complete the assignment	Time expiresFaint 3 times
00405	Ballooning Problems	Hunt a Paolumu	Time expiresFaint 3 times
00407	Radobaan Roadblock	Hunt a Radobaan	Time expiresFaint 3 times
00408	Legiana: Embodiment of Elegance	Hunt a Legiana	Time expiresFaint 3 times
00431	Special Arena: Anjanath	Hunt an Anjanath	Time expiresFaint 3 times
00432	Special Arena: Rathian	Hunt a Rathian	Time expiresFaint 3 times
