Stage ID	Stage Name
ST101	Ancient Forest
ST102	Wildspire Waste
ST103	Coral Highlands
ST104	Rotten Vale
ST105	Elder's Recess
ST106	Great Ravine
ST107	Great Ravine
ST201	Special Arena
ST202	Arena
ST301	Astera
ST302	Gathering Hub
ST303	Research Base
ST304	
ST401	
ST402	
ST403	Everstream
ST404	
ST405	Confluence of Fates
ST406	???
ST409	Caverns of El Dorado
ST501	Living Quarters
ST502	Private Quarters
ST503	Private Suite
ST504	Training Area
ST505	Chamber of the Five
ST301_1	Astera
ST108	Hoarfrost Reach
ST305	Seliana
ST305s	Seliana
ST109	The Guiding Lands
ST411	Seliana Supply Cache
ST412	Origin Isle
ST302s	Astera Gathering Hub
ST306s	Seliana Gathering Hub
ST301m	Astera
ST305m	Seliana
ST506	Seliana House
ST302_S	Gathering Hub
ST415	Secluded Valley
ST416	Secluded Valley
ST417	Castle Schrade
ST203	Seliana Supply Cache
