Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	1	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	2	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	3	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	4	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	5	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	6	Unavailable	0	Combined Model	wp/two/bs_two002	
0	GreatSword	10	Buster Sword I	0	Combined Model	wp/two/bs_two002	
0	GreatSword	11	Buster Sword II	0	Combined Model	wp/two/bs_two002	
0	GreatSword	12	Buster Sword III	1	Combined Model	wp/two/bs_two002	
0	GreatSword	13	Buster Blade I	2	Combined Model	wp/two/bs_two002	
0	GreatSword	14	Buster Blade II	3	Combined Model	wp/two/bs_two002	
0	GreatSword	15	Buster Blade III	4	Combined Model	wp/two/bs_two002	
0	GreatSword	16	Chrome Razor I	5	Combined Model	wp/two/bs_two002	
0	GreatSword	17	Chrome Razor II	5	Combined Model	wp/two/bs_two002	
0	GreatSword	18	Nergal Judicator	6	Combined Model	wp/two/bs_two003	wp/two/parts/op_two005
0	GreatSword	19	Purgation's Atrocity	7	Unique Model	wp/two/two004	
0	GreatSword	20	Thunder Blade I	2	Combined Model	wp/two/bs_two002	
0	GreatSword	21	Thunder Blade II	3	Combined Model	wp/two/bs_two002	
0	GreatSword	22	Lightning Punisher I	4	Combined Model	wp/two/bs_two003	
0	GreatSword	23	Lightning Punisher II	5	Combined Model	wp/two/bs_two003	
0	GreatSword	24	Lightning Punisher III	5	Combined Model	wp/two/bs_two003	
0	GreatSword	94	Freeze Blade I	3	Combined Model	wp/two/bs_two002	
0	GreatSword	95	Freeze Blade II	4	Combined Model	wp/two/bs_two002	
0	GreatSword	96	Frost Blaze I	5	Combined Model	wp/two/bs_two001	
0	GreatSword	97	Frost Blaze II	5	Combined Model	wp/two/bs_two001	
0	GreatSword	25	Jagras Blade I	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	26	Jagras Blade II	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	27	Jagras Blade III	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two003
0	GreatSword	28	Jagras Hacker I	4	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	29	Jagras Hacker II	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	30	Jagras Hacker III	5	Combined Model	wp/two/bs_two003	wp/two/parts/op_two003
0	GreatSword	31	Girros Blade I	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	32	Girros Blade II	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two006
0	GreatSword	33	Malady's Kiss I	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	34	Malady's Kiss II	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	35	Malady's Kiss III	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two006
0	GreatSword	36	Lava Blaze I	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	37	Lava Blaze II	6	Combined Model	wp/two/bs_two001	wp/two/parts/op_two009
0	GreatSword	38	Blooming Blade I	1	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	39	Blooming Blade II	2	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	40	Blooming Blade III	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two002
0	GreatSword	41	Datura Blaze I	4	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	42	Datura Blaze II	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	43	Datura Blaze III	5	Combined Model	wp/two/bs_two001	wp/two/parts/op_two002
0	GreatSword	44	Flame Blade I	3	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	45	Flame Blade II	4	Combined Model	wp/two/bs_two002	wp/two/parts/op_two001
0	GreatSword	46	Red Wing	5	Unique Model	wp/two/two003	
0	GreatSword	47	Blue Wing	6	Unique Model	wp/two/two008	
0	GreatSword	48	Rathalos Glinsword	7	Unique Model	wp/two/two008	
0	GreatSword	49	Bone Blade I	0	Combined Model	wp/two/bs_two005	
0	GreatSword	50	Bone Blade II	0	Combined Model	wp/two/bs_two005	
0	GreatSword	51	Bone Blade III	1	Combined Model	wp/two/bs_two005	
0	GreatSword	52	Bone Slasher I	2	Combined Model	wp/two/bs_two005	
0	GreatSword	53	Bone Slasher II	3	Combined Model	wp/two/bs_two005	
0	GreatSword	54	Bone Slasher III	4	Combined Model	wp/two/bs_two005	
0	GreatSword	55	Giant Jawblade I	5	Combined Model	wp/two/bs_two006	
0	GreatSword	56	Giant Jawblade II	5	Combined Model	wp/two/bs_two006	
