Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	Buster Sword II	0	Combined Model	wp/two/two002	
0	GreatSword	13	Buster Blade I	0	Combined Model	wp/two/two002	
0	GreatSword	14	Buster Blade II	1	Combined Model	wp/two/two002	
0	GreatSword	15	Buster Blade III	2	Combined Model	wp/two/two002	
0	GreatSword	17	Chrome Razor II	3	Combined Model	wp/two/two002	
0	GreatSword	18	Nergal Judicator	4	Combined Model	wp/two/two002	
0	GreatSword	19	Purgation's Atrocity	5	Combined Model	wp/two/two002	
0	GreatSword	21	Thunder Blade II	5	Combined Model	wp/two/two002	
0	GreatSword	22	Lightning Punisher I	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	Lightning Punisher III	7	Unique Model	wp/two/two004	
0	GreatSword	26	Jagras Blade II	2	Combined Model	wp/two/two002	
0	GreatSword	28	Jagras Hacker I	3	Combined Model	wp/two/two002	
0	GreatSword	29	Jagras Hacker II	4	Combined Model	wp/two/two003	
0	GreatSword	31	Girros Blade I	5	Combined Model	wp/two/two003	
0	GreatSword	32	Girros Blade II	5	Combined Model	wp/two/two003	
0	GreatSword	33	Malady's Kiss I	3	Combined Model	wp/two/two002	
0	GreatSword	35	Malady's Kiss III	4	Combined Model	wp/two/two002	
0	GreatSword	36	Lava Blaze I	5	Combined Model	wp/two/two001	
0	GreatSword	38	Blooming Blade I	5	Combined Model	wp/two/two001	
0	GreatSword	39	Blooming Blade II	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	Datura Blaze I	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	Datura Blaze II	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	Datura Blaze III	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	Flame Blade II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	Red Wing	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	Blue Wing	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	Bone Blade I	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	Bone Blade II	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	Bone Slasher I	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	Bone Slasher II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	Bone Slasher III	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	Giant Jawblade II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	Hazak Kys	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	Flammenzahn	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	Flammenzahn+	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	Gnashing Flammenzahn	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	Aqua Slasher II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	Aqua Slasher III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	Water Golem I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	Water Golem III	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	Carapace Buster I	5	Unique Model	wp/two/two003	
0	GreatSword	70	Carapace Buster III	6	Unique Model	wp/two/two008	
0	GreatSword	72	Barroth Shredder II	7	Unique Model	wp/two/two008	
0	GreatSword	73	Barroth Shredder III	0	Combined Model	wp/two/two005	
0	GreatSword	75	Spiked Blade II	0	Combined Model	wp/two/two005	
0	GreatSword	76	Radobaan Slab I	1	Combined Model	wp/two/two005	
0	GreatSword	77	Radobaan Slab II	2	Combined Model	wp/two/two005	
0	GreatSword	79	Dragonbone Cleaver I	3	Combined Model	wp/two/two005	
0	GreatSword	80	Dragonbone Cleaver II	4	Combined Model	wp/two/two005	
0	GreatSword	81	Dragonbone Cleaver III	5	Combined Model	wp/two/two006	
0	GreatSword	83	Thundersword	5	Combined Model	wp/two/two006	
0	GreatSword	84	Kirin Thundersword	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	Blacksteel Chopper I	7	Unique Model	wp/two/two006	
0	GreatSword	88	Icesteel Edge	2	Unique Model	wp/two/two005	
0	GreatSword	90	Xeno Maliq	4	Unique Model	wp/two/two005	
0	GreatSword	91	Wyvern Jawblade	6	Unique Model	wp/two/two005	
0	GreatSword	92	Great Wyvern Jawblade	1	Combined Model	wp/two/two005	
0	GreatSword	94	Freeze Blade I	2	Combined Model	wp/two/two005	
0	GreatSword	95	Freeze Blade II	3	Combined Model	wp/two/two005	
0	GreatSword	96	Frost Blaze I	4	Combined Model	wp/two/two004	
0	GreatSword	98	Magda Potestas I	5	Combined Model	wp/two/two004	
0	GreatSword	99	"Wyvern Ignition ""Impact"""	5	Combined Model	wp/two/two004	
0	GreatSword	100	Gold Water Fellsword	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	Gold Sleep Fellsword	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	Glutton Gold Fellsword	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	Spew Gold Fellsword	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	Numb Gold Fellsword	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	107	Tar Gold Fellsword	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	108	Decay Gold Fellsword	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	110	Erupter Gold Fellsword	3	Combined Model	wp/two/two005	wp/two/parts/op_two007
