EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Lièvre des prairies
1	1	660	Lièvre des steppes
2	0	661	Pteryx des bois
2	1	662	Pteryx des forêts
3	0	663	Papillon de cobalt
3	1	664	Papillon fantôme
4	0	665	Perche acrobate
5	0	666	Gecko des forêts
5	1	667	Gecko du désert
5	2	668	Gecko nocturne
5	3	669	Gecko lunaire
6	0	670	Vaporonide
6	1	671	Scavantula
7	0	672	Revautour
7	1	673	Perroquet du bonheur
7	2	1792	Picaroc
8	0	674	Libellule divinatoire
8	1	675	Libellule oracle
9	0	676	Chauve-souris à écailles
9	1	945	Chauve-souris d'or
10	0	677	Scarabouse
10	1	678	Scarabombe
10	2	1793	Scarabée des neiges
11	0	679	Parexus rose
11	1	680	Grand parexus rose
12	0	681	Arowana explosif
12	1	682	Arowana bombe
12	2	683	Grand arowana explosif
12	3	684	Grand arowana bombe
13	0	685	Oiseau corail élégant
13	1	686	Oiseau corail fringant
14	0	687	Poisson néon
15	0	688	Marouette douce
15	1	689	Marouette rugueuse
16	0	690	Guppy sauteur
17	0	691	Petricanthrope
18	0	692	Paralycrapaud
18	1	693	Somnicrapaud
18	2	694	Nitrocrapaud
19	0	695	Tortilleur
19	1	696	Reine frétillante
20	0	697	Vitaguêpe
20	1	698	Grande vitaguêpe
21	0	699	Méduse volante
22	0	700	Fourmi ouvrière
23	0	701	Hercudrome
23	1	702	Hercudrome d'or
23	2	703	Hercudrome prismatique
24	0	704	Criquet empereur
24	1	705	Criquet tyran
25	0	706	Flashinsecte
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Mantagrell millénaire
31	0	708	Casque-crabe de fer
31	1	709	Casque-crabe soldat
31	2	710	Casque-crabe d'émeraude
31	3	946	Casque-crabe d'or
31	4	947	Casque-crabe d'or pur
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Poissaiguiseur
33	1	712	Grand poissaiguiseur
34	0	713	Thon glouton
34	1	714	Grand thon glouton
35	0	715	Makaire royal
35	1	716	Grand makaire royal
36	0	-1	楔虫
37	0	717	Poisson d'or
37	1	718	Poisson de platine
37	2	719	Grand poisson d'or
37	3	720	Grand poisson de platine
38	0	721	Poisson rouge
38	1	722	Grand poisson rouge
39	0	723	Sushipoisson
39	1	724	Grand sushipoisson
40	0	725	Poisson-poudre
40	1	726	Grand poisson-poudre
41	0	948	Calappa de bronze
41	1	949	Calappa d'or
42	0	950	Tsuchinoko
43	0	968	Pampa
43	1	951	Mini-pampa
43	2	967	Mini-pampa à fleurs
44	0	958	Nekker
50	0	1455	Singe d'argent
50	1	1456	Macaque d'or
51	0	1458	Triops kabuto
52	0	1459	Limace sélène
53	0	1460	Manchot fourre-tout
54	0	1461	Gecko pointe-de-flèche
55	0	1462	Diva cobalt
56	0	1463	Crêtard poséïdien
57	0	1464	Parexus de verre
57	1	1473	Grand parexus de verre
58	0	1465	Ortie sélénive
59	0	1466	Taupinette
59	1	1467	Taupinette des mousses
59	2	1468	Taupinette des roches
59	3	1469	Taupinette soyeuse
59	4	1470	Taupinette épineuse
59	5	1471	Taupinette bagarreuse
59	6	1472	Taupinette des neiges
