Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	Felyne forgeron	Accélère souvent le tempsd'affûtage.
CatSkill001_CAT_SKILL	Felyne cavalier	Permet de monter sur les monstresplus facilement.
CatSkill002_CAT_SKILL	Felyne héroïque	Augmente grandement l'attaque lorsquela vie est dangereusement basse.
CatSkill003_CAT_SKILL	Felyne dépeceur +	Augmente souvent le nombre dedépeçages que vous pouvezeffectuer.
CatSkill004_CAT_SKILL	Felyne dépeceur	Augmente parfois le nombre dedépeçages que vous pouvezeffectuer.
CatSkill005_CAT_SKILL	Felyne infirmier	Augmente le montant de la vierestaurée grâce aux objets desoins.
CatSkill006_CAT_SKILL	Felyne karatéka	Ralentit la perte d'endurance encas d'esquive, de blocage, etc.
CatSkill007_CAT_SKILL	Felyne pyromane	Améliore les grandes bombes barilen méga bombes baril.
CatSkill008_CAT_SKILL	Felyne spécialiste	Augmente la puissance des attaquesà afflictions.
CatSkill009_CAT_SKILL	Felyne paladin +	Réduit souvent les dégâts subis.
CatSkill010_CAT_SKILL	Felyne paladin	Réduit parfois les dégâts subis.
CatSkill011_CAT_SKILL	Felyne jardinier	Réduit le délai entre lesapparitions de sites de collecte.
CatSkill012_CAT_SKILL	Felyne sniper	Augmente la puissance desmunitions et des flèchesnormales.
CatSkill013_CAT_SKILL	Felyne porte-bonheur	Augmente parfois le nombre derécompenses reçues à la fin d'unequête.
CatSkill014_CAT_SKILL	Felyne déflecteur	Préserve le tranchant de votre armelorsque les attaques sont déviées.
CatSkill015_CAT_SKILL	Felyne escamoteur	Réduit la perte d'endurance lorsquevous fuyez de grands monstres.
CatSkill016_CAT_SKILL	Felyne sprinteur	Sprinter en transportant un objetconsomme moins d'endurance.
CatSkill017_CAT_SKILL	Felyne défenseur	Évite que vous ne tombiez àla renverse lorsque vous portezun objet.
CatSkill018_CAT_SKILL	Felyne sapeur	Augmente la probabilité que lesgrands monstres rencontrés lorsdes quêtes soient faibles.
CatSkill019_CAT_SKILL	Felyne marchand	Augmente le nombre de pointsde recherche obtenus à la findes quêtes.
CatSkill020_CAT_SKILL	Felyne invincible +	Prolonge nettement la duréed'invincibilité lorsque vous vousrelevez.
CatSkill021_CAT_SKILL	Felyne invincible	Prolonge la durée d'invincibilitélorsque vous vous relevez.
CatSkill022_CAT_SKILL	Felyne berserker	Augmente les dégâts et la déviationdu fusarbalète.
CatSkill023_CAT_SKILL	Felyne grimpeur	Réduit la perte d'endurance lorsquevous esquivez sur des murs ou dulierre.
G_CatSkill024_CAT_SKILL	Felyne agrippeur	Empêche certaines attaques de vousfaire tomber des murs ou du lierre.
CatSkill025_CAT_SKILL	Felyne dépeceur de fer	Évite que vous ne tombiez à larenverse lors d'un dépeçage.
CatSkill026_CAT_SKILL	Felyne acrobate	Évite que vous ne trébuchiezlorsque vous sautez d'un endroitélevé.
CatSkill027_CAT_SKILL	Felyne bulldozer	Augmente le tranchant lorsque vousripostez après qu'une attaque a étédéviée.
CatSkill028_CAT_SKILL	Felyne gourmet	Les effets des repas restent actifsmême après un évanouissement.
CatSkill029_CAT_SKILL	Felyne boxeur	Permet d'étourdir plus facilementles monstres.
CatSkill030_CAT_SKILL	Felyne crésus	Augmente le nombre de zennysobtenus à la fin d'une quête.
CatSkill031_CAT_SKILL	Felyne bombardier	Augmente les dégâts des balistes,munitions antiblindage etlancecanons.
CatSkill032_CAT_SKILL	Felyne vaillant	Vous évite (une fois) de vousévanouir lorsque les dégâts subisdépassent votre vie restante.
CatSkill033_CAT_SKILL	Felyne bousier	Augmente la probabilité qu'unmonstre prenne la fuite s'il esttouché par une bombe à bouse.
CatSkill034_CAT_SKILL	Felyne soigneur	Réduit de moitié la durée deFragilité et Vulnérabilité.Accélère la récupération des fléaux.
CatSkill035_CAT_SKILL	Felyne protecteur	Annule ou réduit les dégâts causéspar les fléaux ou les dégâtsenvironnementaux.
CatSkill036_CAT_SKILL	Felyne agile	Le chasseur reprend sonéquilibre rapidement lorsqu'ilest envoyé dans les airs.
