Gallery ID	Gallery Name	Gallery Desc
EVC0001	Le voyage commence	La Cinquième flotte entreprend son voyage vers le Nouveau Monde.<LSNR {Un chasseur prometteur} {Une chasseuse prometteuse}> vient tout juste de rejoindre ses rangs.
EVC0002	Rencontre avec le destin	Une belle rencontre est brusquement interrompue parun événement inattendu. Mais de quoi s'agit-il ?
EVC0003	La découverte du Nouveau Monde	<LSNR {Le chasseur} {La chasseuse}> et l'Assistante échappent au mystérieux colosse,et découvrent depuis les cieux ce Nouveau Monde qui les attend.
EVC0051	Fripouilles de la forêt	Au beau milieu de la Forêt ancienne, le duo fait route vers la base,mais une meute de Jagras se met en travers de leur chemin.
EVC0004	L'effet de surprise	Intriguée par des traces au sol, l'Assistante se faitsurprendre par le monstre qui en est à l'origine.
EVC0005	Rixe au point de contrôle	Juste avant d'arriver à la base, <LSNR {le chasseur} {la chasseuse}> se retrouveau milieu d'un violent affrontement entre deux monstres.
EVC0006	Astera	Leur mésaventure terminée, <LSNR {le chasseur} {la chasseuse}> et l'Assistantearrivent enfin à Astera, la base de la Commission.
EVC0052	Fidèle compagnon de chasse	Après avoir été séparés lors de l'incident avec l'énorme monstre,<LSNR {le chasseur} {la chasseuse}> retrouve enfin son Palico.
EVC0055	Fragile : manipuler avec soin	En arrivant à l'emplacement du nouveau camp, <LSNR {le chasseur} {la chasseuse}> etle Chef d'équipe découvrent un Kulu-Ya-Ku fouillant partout.
EVC0007	En suivant les navicioles	Alerté par les navicioles, le groupe repère un Pukei-Pukeiperturbé par la présence d'un étrange monolithe en fusion.
EVC0056	Incursion dans le désert	<LSNR {Le chasseur} {La chasseuse}> s'apprête à escorter les érudits jusqu'àun écofact semblant provenir du Zorah Magdaros.
EVC0008	Les risques du métier	Alors qu'ils prélèvent des échantillons sur leur découverte, les éruditssont attaqués par un Barroth qui surgit en fracassant une termitière.
EVC0009	Le sage Wyvérien	Après avoir escorté les érudits, <LSNR {le chasseur} {la chasseuse}> rencontreun mystérieux chasseur wyvérien de la Première flotte.
EVC0010	Le marais agité	<LSNR {Le chasseur} {La chasseuse}> retrouve le chercheur terrorisé parsa rencontre avec un monstre effroyable.
