Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Torturoptède	mus001
1	ROD_INSECT_001_NAME	Torturoptède II	mus001
2	ROD_INSECT_002_NAME	Torturoptède III	mus001
3	ROD_INSECT_003_NAME	Alucanide	mus003
4	ROD_INSECT_004_NAME	Alucanide II	mus003
5	ROD_INSECT_005_NAME	Alucanide III	mus003
6	ROD_INSECT_006_NAME	Alucanide royal	mus004
7	ROD_INSECT_007_NAME	Alucanide royal II	mus004
8	ROD_INSECT_008_NAME	Alucanide royal III	mus004
9	ROD_INSECT_009_NAME	Impérialoptère	mus005
10	ROD_INSECT_010_NAME	Impérialoptère II	mus005
11	ROD_INSECT_011_NAME	Impérialoptère III	mus005
12	ROD_INSECT_012_NAME	Rigiphage	mus006
13	ROD_INSECT_013_NAME	Rigiphage II	mus006
14	ROD_INSECT_014_NAME	Rigiphage III	mus006
15	ROD_INSECT_015_NAME	Armurophage	mus007
16	ROD_INSECT_016_NAME	Armurophage II	mus007
17	ROD_INSECT_017_NAME	Armurophage III	mus007
18	ROD_INSECT_018_NAME	Lamobrix	mus008
19	ROD_INSECT_019_NAME	Lamobrix II	mus008
20	ROD_INSECT_020_NAME	Lamobrix III	mus008
21	ROD_INSECT_021_NAME	Zéphyropode	mus009
22	ROD_INSECT_022_NAME	Zéphyropode II	mus009
23	ROD_INSECT_023_NAME	Zéphyropode III	mus009
24	ROD_INSECT_024_NAME	Grancathar	mus010
25	ROD_INSECT_025_NAME	Grancathar II	mus010
26	ROD_INSECT_026_NAME	Grancathar III	mus010
27	ROD_INSECT_027_NAME	Pseudocath	mus011
28	ROD_INSECT_028_NAME	Pseudocath II	mus011
29	ROD_INSECT_029_NAME	Pseudocath III	mus011
30	ROD_INSECT_030_NAME	Mutilogote	mus012
31	ROD_INSECT_031_NAME	Mutilogote II	mus012
32	ROD_INSECT_032_NAME	Mutilogote III	mus012
33	ROD_INSECT_033_NAME	Destructoptère	mus014
