Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Potion	Item	0	Restaure une petite quantité de vie.
2	Méga potion	Item	1	Restaure une quantité modérée de vie.
3	Potion secrète	Item	2	Restaure toute la vie et maximisela taille de la jauge de vie.
4	Potion ancestrale	Item	4	Restaure toute la vie et maximisela taille des jauges de vie etd'endurance.
5	Antidote	Item	0	Un remède contre le poison.
6	Remède d'herbe	Item	1	Guérit les effets du poisonet restaure un peu de vie.
7	Baie-soin	Item	1	Une baie mystérieuse quiguérit divers fléaux.
8	Boisson énergétique	Item	1	Ce breuvage certifié par laGuilde restaure votre endurance.Idéal pour vous réveiller !
9	Ration	Item	0	Nourriture qui restaure unepetite quantité d'endurance.
10	Steak saignant	Item	0	Encore rouge au milieu, cetteviande augmente modérémentvotre endurance.
11	Steak à point	Item	1	Augmente modérément l'enduranceet la garde à son niveau maximumpour une plus longue durée.
12	Viande brûlée	Item	0	Augmente légèrement votreendurance. Peut être mangéerapidement.
13	Boisson fraîche	Item	0	Confère une résistance temporaireà la chaleur extrême.
14	Nutriments	Item	1	Augmentent très légèrementla jauge de vie.
15	Méga nutriments	Item	2	Augmentent légèrementla jauge de vie.
16	Immunisateur	Item	2	Améliore votre capacité naturelleà récupérer de la vie.
17	Viande d'Astera	Item	1	Guérit de l'hémorragie et améliorela récupération de vie naturelle.À mâcher longuement.
18	Potion de vitalité	Item	1	Atténue la sensation de fatigue.Réduit momentanément la perted'endurance.
19	Potion de vitalité +	Material	3	Version améliorée de la potionde vitalité. L'effet dure pluslongtemps.
20	Graine de force	Item	1	Améliore le flux d'énergie pouraugmenter temporairementl'attaque.
21	Potion du démon	Item	3	Augmente votre attaque en vousconférant la force d'un démon.
22	Potion du démon +	Item	4	Version améliorée de la potiondu démon. Augmente grandementvotre attaque.
23	Philtre du diable	Item	3	Confère temporairement lapuissance d'un dieu redoutable.
24	Graine de ténacité	Item	1	Durcit les tissus musculeuxpour augmenter temporairementla défense.
25	Potion de pierre	Item	3	Augmente votre défense enrendant votre peau dure commela pierre.
26	Potion de pierre +	Item	4	Version améliorée de la potionde pierre. Augmente grandementvotre défense.
27	Philtre de métal	Item	3	Rend temporairement votre peauaussi résistante que le métal.
28	Poudre de vie	Item	3	Produit un nuage guérisseurdans la zone.
29	Poudre végétale	Item	3	Une poudre mystérieuse produisantun nuage dans la zone qui régénèrela vie et neutralise les effets du poison.
30	Poudre du démon	Item	3	Une poudre mystérieuse produisantun nuage dans la zone qui renforcetemporairement l'attaque.
31	Poudre de pierre	Item	3	Une poudre mystérieuse produisantun nuage dans la zone qui renforcetemporairement la défense.
32	Miel	Item	1	Du miel à haute valeur nutritive.Mélangez-en à des potionspour créer des méga potions.
33	Herbe	Item	0	Un ingrédient important dansla préparation des potions.
34	Herbe à antidote	Item	0	Un ingrédient important dansla préparation des antidotes.
35	Herbe de feu	Item	1	Une plante superbe aux propriétésinflammables. Utilisée dans lafabrication d'explosifs.
36	Ondulite	Item	0	Les feuilles de cette plante regorgentd'eau. Requise pour la création demunitions de type Aquatique.
37	Herbe des neiges	Item	1	Une très belle plante froide commela glace. Peut être utilisée pourcréer des munitions cryogéniques.
38	Herbe du sommeil	Item	0	Une plante aux propriétéssomnifères utilisée dans lafabrication de tranquillisants.
39	Lierre	Item	0	Une plante légère mais extrêmementrésistante. Utilisée dans lafabrication des pièges à fosse.
40	Noix fumigène	Item	0	Une noix produisant beaucoup de fumée.Associez-la à divers objets pour obtenirdes fumées aux propriétés variées.
41	Baie-dragon	Item	3	Une baie mystérieuse haïe par lesdragons. Requise pour la créationde munitions de type Dragon.
42	Champignon bleu	Item	1	Un champignon rare qui catalysela puissance des potions.
43	Mandragore	Item	2	Un champignon mortel à manipuleravec précaution. Requis pour lacréation de potions secrètes.
44	Champinitro	Item	1	Un champignon rare aux propriétéshautement thermiques. Requis pourla création de poudre à canon.
45	Fléau du diable	Item	1	Un champignon ardent très rare.Associez-le à une bombe barilpour une explosion dévastatrice.
46	Champaralysie	Item	2	Un champignon aux effetsparalysants. Requis pour la créationde bombes tranquillisantes.
47	Champi vénéneux	Item	1	Un champignon vénéneux pouvantêtre utilisé comme toxine pourles couteaux de lancer.
48	Champexciteur	Item	2	Un champignon à l'odeur étrange.Est-il comestible ? Requis pourla création de téléportogènes.
49	Amerinsecte	Item	0	L'extrait amer de cet insecte accélèrela régénération naturelle.Ingrédient de nombreux remèdes.
50	Scaralux	Item	1	Un insecte qui émet un flashpuissant en mourant. Requis pourla création de capsules aveuglantes.
51	Insecte immortel	Item	3	Un insecte millénaire. Associez-leà d'autres composants pourprofiter de ses propriétés.
52	Foudrinsecte	Item	3	Un insecte qui émet de l'électricité.Requis pour la création de piègesélectrochoc et de munitions Foudre.
53	Délicioptère	Item	2	Un insecte utilisé comme appât.Très apprécié par tous les typesde poisson.
54	Corne Kelbi	Item	3	Inadaptée à la forge d'équipement,la corne de Kelbi est toutefois uningrédient essentiel pour moult objets.
55	Extrait de vitalité	Item	3	Une substance mystérieuseextraite de certains monstres.Accroît l'endurance.
56	Extrait d'arginine	Item	3	Pouvant être obtenu sur certainsgrands monstres, cet extrait amplifieles effets de certains remèdes.
57	Poche hurlante	Item	1	Un organe de monstre qui émet un chocsonique lorsqu'il est déchiré. Utilepour fabriquer des capsules sonores.
58	Catalyseur	Item	1	Se mélange à d'autres matériauxpour améliorer leur effet.Inutile seul.
59	Bombe tranquillisante	Item	2	Une grenade servant à capturerles monstres piégés. Peut êtreprojetée contre le sol.
60	Capsule aveuglante	Item	1	Munition pour fronde. Déclencheun éclair aveuglant à l'impact.
61	Capsule sonore	Item	1	Munition pour fronde. Émet un sonà haute fréquence qui déstabiliseles monstres à l'ouïe sensible.
62	Bombe fumigène	Item	1	Crée un large nuage de fuméeoù elle atterrit, obstruant la vuedes monstres.
63	Bombe de poison	Item	1	Émet une brume toxique.Couramment utilisée pourla fumigation.
64	Téléportogène	Item	2	Appelle un drake ailé qui vousramène au camp le plus proche.Peut être utilisé durant un combat.
65	Viande crue	Item	0	Viande obtenue en dépeçantun monstre. Peut être cuisinée,combinée, ou servir d'appât.
66	Viande empoisonnée	Item	1	De la viande crue qui empoisonnecelui qui la consomme.Un appât idéal pour les pièges.
67	Viande paralysante	Item	1	De la viande crue qui paralysecelui qui la consomme.Un appât idéal pour les pièges.
68	Viande somnifère	Item	1	De la viande crue qui endortcelui qui la consomme.Un appât idéal pour les pièges.
69	Poudre à canon	Item	1	Produit dangereux qui exploselorsqu'il est frappé ou chauffé.
70	Petit baril	Item	0	Un petit baril vide.
71	Bombe baril	Item	1	Une petite bombe à retardement.
72	Bombe artifice	Item	1	Une bombe modifiée qui se propulsedans les airs une fois déclenchée.Requiert un certain niveau de maîtrise.
73	Méga bombe artifice	Item	3	Une version améliorée de la bombeartifice. Son utilisation requiertun certain niveau de maîtrise.
74	Grand baril	Item	1	Un grand baril vide. Peut êtrecombiné avec de la poudre pourdevenir une bombe.
75	Grande bombe baril	Item	2	Une puissante bombe déclenchéepar un impact physique externe.
76	Méga bombe baril	Item	3	Une version améliorée de lagrande bombe baril. Efficacecontre les grands monstres.
77	Toile d'araignée	Item	0	Une toile très gluante utilisablepour fabriquer des pièges.
78	Filet	Item	1	Un filet solide capable de supporterun grand poids sans se déchirer.Parfait pour les pièges à fosse.
79	Kit de piège	Item	2	Un outil requis pour fabriquerdifférents pièges, commele piège à fosse.
80	Piège à fosse	Item	2	Un piège permettant d'immobiliserles grands monstres. Se déclenchesous l'effet d'un poids lourd.
81	Piège électrochoc	Item	2	Un piège qui paralyse temporairementla cible. À utiliser pour capturer desmonstres.
82	Boule de bouse	Item	0	Une boule de bouse compacte.Sert à fabriquer des capsulesde bouse pour la fronde.
83	Bouse	Item	0	Émet une odeur... très forte.Sert à fabriquer des capsulesde bouse pour la fronde.
84	Capsule de bouse	Item	1	Munition pour fronde. Émet une forteodeur qui fait fuir certains monstres.
85	Appât pour Arowana	Item	1	Une petite boule de pain.Très appréciée des arowanas.
86	Appât pour poisson-poudre	Item	1	Une petite boule d'insectes.Très appréciée des poissons-poudre.
87	Appât pour poisson d'or	Item	1	Une petite boule de viande.Très appréciée des poissons d'or.
88	Boomerang	Item	3	Un projectile étrange d'origineaborigène qui, une fois lancée,revient à son utilisateur.
89	Jumelles	Item	0	Vous permettent de regarder au loin.
90	Amulette de force	Item	4	Une amulette qui augmente la puissanced'attaque. Elle confère à son porteurla force d'un démon.
91	Griffe de force	Item	4	Un talisman qui augmente la puissanced'attaque. Ses effets sont amplifiés parles éléments draconiques qu'il contient.
92	Amulette de défense	Item	4	Une amulette qui augmente la défense.La peau devient dure comme la pierre.
93	Griffe de défense	Item	4	Un talisman qui augmente la défense.Ses effets sont amplifiés par leséléments draconiques qu'il contient.
94	Noix aiguille	Item	0	Une noix recouverte d'épinesacérées. Permet de fabriquerdes munitions à grenaille.
95	Noix dynamite	Item	0	Une noix permettant de fabriquerdes munitions antiblindages.
96	Noix frappe-du-dragon	Item	1	Une noix qui explose à l'impact.Elle est utilisée pour créer desmunitions wyverne.
97	Noix tranchante	Item	0	Une baie utilisée pour fabriquerdes munitions tranchantes.
98	Noix perforante	Item	0	Une noix présentant des rainuresen spirale. Elle est utilisée pourfabriquer des munitions perforantes.
99	Noix explosive	Item	1	Une noix qui explose à l'impact.Elle est utilisée pour fabriquerdes obus à fragmentation.
100	Noix-de-feu	Item	1	Une noix utilisée pour fabriquer dela poudre à canon de bonne qualité,augmentant la puissance de feu.
101	Noix-de-volcan	Item	1	Une noix utilisée pour fabriquer dela poudre à canon de bonne qualité,augmentant grandement la puissance de feu.
102	Poudre à canon II	Item	1	De la poudre noire combustible.À combiner avec des munitionsde niveau 1 pour les améliorer.
103	Poudre à canon III	Item	1	De la poudre noire très combustible.À combiner avec des munitions deniveau 1 pour les améliorer.
104	Nageoire de poissaiguiseur	Item	1	Restaure grandement le tranchantdes armes, mais s'use plus vitequ'un aiguisoir classique.
