NPC Code	NPC Name	Model Address
N001_NPC_NAME	Commandant	npc001
N002_NPC_NAME	Assistante	npc002
N003_NPC_NAME	Chef d'équipe	npc003
N004_NPC_NAME	Intendante	npc004
N005_NPC_NAME	Analyste en chef	npc005
N006_NPC_NAME	Ingénieur en chef	npc006
N007_NPC_NAME	Gérant du Bazar	npc007
N009_NPC_NAME	Écologiste en chef	npc009
N010_NPC_NAME	Chef botaniste	npc010
N011_NPC_NAME	Alchimiste	npc011
N012_NPC_NAME	Forgeron	npc012
N014_NPC_NAME	Armurière	npc014
N015_NPC_NAME	Miaousse Cuistot	npc015
N016_NPC_NAME	Chambellan	npc016
N017_NPC_NAME	Maître de la chasse	npc017
N018_NPC_NAME	Grande traqueuse	npc018
N019_NPC_NAME	Amiral	npc019
N020_NPC_NAME	Voyageur	npc020
N021_NPC_NAME	Capitaine de la Troisième flotte	npc021
N022_NPC_NAME	Gérant de la Troisième flotte	npc022
N023_NPC_NAME	Experte en lynien	npc023
N024_NPC_NAME	Ancien Wyvérien	npc024
N025_NPC_NAME	Camarade de la classe A	npc025
N026_NPC_NAME	Assistante sérieuse	npc026
N027_NPC_NAME	Chercheur disparu	npc027
N028_NPC_NAME	Érudit heureux	npc028
N029_NPC_NAME	Érudit optimiste	npc029
N030_NPC_NAME	Érudit enjoué	npc030
N032_NPC_NAME	Capitaine de l'Argosy	npc032
N033_NPC_NAME	Chambellan	npc033
N034_NPC_NAME	Chambellan	npc034
N035_NPC_NAME	Chambellan	npc035
N036_NPC_NAME	Ancien Wyvérien	npc036
N037_NPC_NAME	Roi de la pêche	npc037
N038_NPC_NAME	Zoologiste	npc038
N039_NPC_NAME	Lynologue	npc039
N040_NPC_NAME	Ancien Wyvérien	npc040
N102_NPC_NAME	Querelleur de la Cinquième	npc102
N103_NPC_NAME	Charmante de la Quatrième	npc103
N104_NPC_NAME	Impatient de la Quatrième	npc104
N105_NPC_NAME	Tranquille de la Cinquième	npc105
N106_NPC_NAME	Sympa de la Quatrième	npc106
N107_NPC_NAME	Énergique de la Cinquième	npc107
N108_NPC_NAME	Timide de la Cinquième	npc108
N109_NPC_NAME	Grande sœur de la Quatrième	npc109
N111_NPC_NAME	Chasseur savant	npc111
N112_NPC_NAME	Biologiste ingénieux	npc112
N113_NPC_NAME	Biologiste impatiente	npc113
N114_NPC_NAME	Botaniste relax	npc114
N116_NPC_NAME	Pote de la Cinquième	npc116
N117_NPC_NAME	Felyne soupier	npc117
N118_NPC_NAME	Felyne rôtisseur	npc118
N121_NPC_NAME	Pacifique de la Quatrième	npc121
N123_NPC_NAME	Fougueux de la Quatrième	npc123
N124_NPC_NAME	Sympa de la Cinquième	npc124
N125_NPC_NAME	Ingénieur aéronautique	npc125
N130_NPC_NAME	Érudit joyeux	npc130
N131_NPC_NAME	Érudite timide	npc131
N134_NPC_NAME	Hôtesse d'accueil	npc134
N140_NPC_NAME	Mog	npc140
N170_NPC_NAME	Geralt de Riv	npc170
N259_NPC_NAME	Felyne de la Troisième flotte	npc259
N610_NPC_NAME	Apprenti forgeron	npc610
N611_NPC_NAME	Chef botaniste	npc611
N612_NPC_NAME	Zoologiste	npc612
N613_NPC_NAME	Lynologue	npc613
N251_NPC_NAME	Amoureux des pommes	npc251
N252_NPC_NAME	Motivé de la Cinquième	npc252
N253_NPC_NAME	Passionnée de pêche	npc253
N254_NPC_NAME	Expert tanneur	npc254
N255_NPC_NAME	Débordé de la Cinquième	npc255
N256_NPC_NAME	Actif de la Cinquième	npc256
N257_NPC_NAME	Membre de la Commission	npc257
N258_NPC_NAME	Membre de la Commission	npc258
N301_NPC_NAME	Réceptionniste du Grand-Pont	npc301
N302_NPC_NAME	Réceptionniste de l'Arène	npc302
N303_NPC_NAME	Gérante du Grand-Pont	npc303
N304_NPC_NAME	Hôtesse d'accueil	npc304
N305_NPC_NAME	Felyne optimiste	npc305
