Stage ID	Stage Name
ST101	Forêt ancienne
ST102	Désert des termites
ST103	Plateau de corail
ST104	Val putride
ST105	Terre des anciens
ST106	Grand ravin
ST107	Grand ravin
ST201	Arène spéciale
ST202	Arène
ST301	Astera
ST302	Grand-Pont
ST303	Poste de recherche
ST304	DUMMY
ST401	DUMMY
ST402	DUMMY
ST403	Rivière éternelle
ST404	DUMMY
ST405	Croisée des destins
ST406	???
ST409	Cavernes d'El Dorado
ST501	Dortoir
ST502	Quartiers privés
ST503	Suite royale
ST504	Aire d'entraînement
ST505	Le Sanctuaire des Cinq
ST301_1	Astera
ST108	Givre éternel
ST305	Seliana
ST305s	Seliana
ST109	Le Fief glorieux
ST411	Garde-provisions Seliana
ST412	Berceau oublié
ST302s	Grand-Pont (Astera)
ST306s	Grand-Salle (Seliana)
ST301m	Astera
ST305m	Seliana
ST506	Votre chambre (Seliana)
ST302_S	Grand-Salle
ST415	Vallée secrète
ST416	Vallée secrète
ST417	Fort de Schrade
ST203	Garde-provisions Seliana
