Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	1	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	2	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	3	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	4	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	5	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	6	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	10	Espadon	0	Combined Model	wp/two/two002	
0	GreatSword	11	Espadon II	0	Combined Model	wp/two/two002	
0	GreatSword	12	Espadon III	1	Combined Model	wp/two/two002	
0	GreatSword	13	Claymore	2	Combined Model	wp/two/two002	
0	GreatSword	14	Claymore II	3	Combined Model	wp/two/two002	
0	GreatSword	15	Claymore III	4	Combined Model	wp/two/two002	
0	GreatSword	16	Zweihänder	5	Combined Model	wp/two/two002	
0	GreatSword	17	Zweihänder II	5	Combined Model	wp/two/two002	
0	GreatSword	18	Jugement Nergal	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	19	Atrocité du Purgatoire	7	Unique Model	wp/two/two004	
0	GreatSword	20	Estramaçon de l'orage	2	Combined Model	wp/two/two002	
0	GreatSword	21	Estramaçon de l'orage II	3	Combined Model	wp/two/two002	
0	GreatSword	22	Vengeur de foudre	4	Combined Model	wp/two/two003	
0	GreatSword	23	Vengeur de foudre II	5	Combined Model	wp/two/two003	
0	GreatSword	24	Vengeur de foudre III	5	Combined Model	wp/two/two003	
0	GreatSword	94	Lame de glace	3	Combined Model	wp/two/two002	
0	GreatSword	95	Lame de glace II	4	Combined Model	wp/two/two002	
0	GreatSword	96	Croc de givre	5	Combined Model	wp/two/two001	
0	GreatSword	97	Croc de givre II	5	Combined Model	wp/two/two001	
0	GreatSword	25	Lame Jagras	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	26	Lame Jagras II	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	27	Lame Jagras III	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	28	Faucheur Jagras	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	29	Faucheur Jagras II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	30	Faucheur Jagras III	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	31	Décapiteur Girros	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	32	Décapiteur Girros II	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	33	Baiser de la mort	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	34	Baiser de la mort II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	35	Baiser de la mort III	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	36	Lame volcanique	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	37	Lame volcanique II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	38	Lame du tourment	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	39	Lame du tourment II	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	40	Lame du tourment III	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	41	Herbe du diable	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	42	Herbe du diable II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	43	Herbe du diable III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	44	Lame de feu	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	45	Lame de feu II	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	46	Aile ardente	5	Unique Model	wp/two/two003	
0	GreatSword	47	Aile d'azur	6	Unique Model	wp/two/two008	
0	GreatSword	48	Colère du Rathalos	7	Unique Model	wp/two/two008	
0	GreatSword	49	Lame en os	0	Combined Model	wp/two/two005	
0	GreatSword	50	Lame en os II	0	Combined Model	wp/two/two005	
0	GreatSword	51	Lame en os III	1	Combined Model	wp/two/two005	
0	GreatSword	52	Déchireur en os	2	Combined Model	wp/two/two005	
0	GreatSword	53	Déchireur en os II	3	Combined Model	wp/two/two005	
0	GreatSword	54	Déchireur en os III	4	Combined Model	wp/two/two005	
0	GreatSword	55	Mâchoire d'os	5	Combined Model	wp/two/two006	
0	GreatSword	56	Mâchoire d'os II	5	Combined Model	wp/two/two006	
0	GreatSword	57	Hazak Kys	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	58	Furie du Léviathan	7	Unique Model	wp/two/two006	
0	GreatSword	59	Flammenzahn	2	Unique Model	wp/two/two005	
0	GreatSword	60	Flammenzahn Mk 2	4	Unique Model	wp/two/two005	
0	GreatSword	61	Flamberge croc-de-feu	6	Unique Model	wp/two/two005	
0	GreatSword	62	Fendoir aquatique	1	Combined Model	wp/two/two005	
0	GreatSword	63	Fendoir aquatique II	2	Combined Model	wp/two/two005	
0	GreatSword	64	Fendoir aquatique III	3	Combined Model	wp/two/two005	
0	GreatSword	65	Golem d'eau	4	Combined Model	wp/two/two004	
0	GreatSword	66	Golem d'eau II	5	Combined Model	wp/two/two004	
0	GreatSword	67	Golem d'eau III	5	Combined Model	wp/two/two004	
0	GreatSword	68	Brise-carapace	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	69	Brise-carapace II	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	70	Brise-carapace III	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	71	Déchiqueteuse Barroth	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	72	Déchiqueteuse Barroth II	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	73	Déchiqueteuse Barroth III	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	74	Grand écorcheur	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	75	Grand écorcheur II	3	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	76	Lamineur Radobaan	4	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	77	Lamineur Radobaan II	5	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	78	Lamineur Radobaan III	5	Combined Model	wp/two/two004	wp/two/parts/op_two007
0	GreatSword	79	Hachoir draconique	2	Combined Model	wp/two/two005	
0	GreatSword	80	Hachoir draconique II	3	Combined Model	wp/two/two005	
0	GreatSword	81	Hachoir draconique III	5	Combined Model	wp/two/two005	
0	GreatSword	98	Magda Potestas	4	Combined Model	wp/two/two005	wp/two/parts/op_two012
0	GreatSword	82	Magda Potestas II	6	Combined Model	wp/two/two005	wp/two/parts/op_two012
0	GreatSword	83	Foudre hurlante	3	Unique Model	wp/two/two002	
0	GreatSword	84	Tonnerre-de-feu Kirin	6	Unique Model	wp/two/two002	
0	GreatSword	85	Roi de la foudre	7	Unique Model	wp/two/two002	
0	GreatSword	86	Décapiteur sombracier	4	Combined Model	wp/two/two002	
0	GreatSword	87	Décapiteur sombracier II	5	Combined Model	wp/two/two002	
0	GreatSword	88	Lame inexorable	6	Unique Model	wp/two/two001	
0	GreatSword	89	Décimeur Daora	7	Unique Model	wp/two/two001	
0	GreatSword	90	Xeno Maliq	7	Combined Model	wp/two/two002	wp/two/parts/op_two010
0	GreatSword	91	Mâchoire wyverne	5	Unique Model	wp/two/two007	
0	GreatSword	92	Grande mâchoire wyverne	7	Unique Model	wp/two/two007	
0	GreatSword	7	Fureur sacrée	5	Unique Model	wp/two/two009	
0	GreatSword	8	Angoisse	6	Unique Model	wp/two/two009	
0	GreatSword	9	"Combustion wyverne ""Acier"""	3	Unique Model	wp/two/two010	
0	GreatSword	99	"Combustion wyverne ""Impact"""	6	Unique Model	wp/two/two010	
0	GreatSword	100	Espadon d'or - Eau	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	101	Espadon d'or - Glace	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	102	Espadon d'or - Sommeil	5	Combined Model (KT Weapon)	wp/two/bs_two007	
0	GreatSword	103	Espadon d'or - Jag	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two003
0	GreatSword	104	Espadon d'or - Pukei	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two002
0	GreatSword	105	Espadon d'or - Barroth	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two004
0	GreatSword	106	Espadon d'or - Girros	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two006
0	GreatSword	107	Espadon d'or - Rado	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two007
0	GreatSword	108	Espadon d'or - Vaal	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two008
0	GreatSword	109	Espadon d'or - Roi	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two001
0	GreatSword	110	Espadon d'or - Lava	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two009
0	GreatSword	111	Espadon d'or - Zorah	5	Combined Model (KT Weapon)	wp/two/bs_two007	wp/two/parts/op_two012
0	GreatSword	112	Flamberge Taroth - Jag	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two003
0	GreatSword	113	Flamberge Taroth - Pukei	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two002
0	GreatSword	114	Flamberge Taroth - Barroth	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two004
0	GreatSword	115	Flamberge Taroth - Girros	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two006
0	GreatSword	116	Flamberge Taroth - Rado	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two007
0	GreatSword	117	Flamberge Taroth - Vaal	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two008
0	GreatSword	118	Flamberge Taroth - Roi	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two001
0	GreatSword	119	Flamberge Taroth - Lava	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two009
0	GreatSword	120	Flamberge Taroth - Zorah	6	Combined Model (KT Weapon)	wp/two/bs_two008	wp/two/parts/op_two012
0	GreatSword	121	Flamberge Taroth - Eau	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	122	Flamberge Taroth - Glace	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	123	Flamberge Taroth - Sommeil	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	124	Galea Imperatrix	6	Combined Model	wp/two/two009	
0	GreatSword	125	"Galea Imperatrix ""Lethe"""	7	Combined Model	wp/two/two009	
0	GreatSword	126	"Galea Imperatrix ""Hadès"""	7	Combined Model	wp/two/two009	wp/two/parts/op_two005
0	GreatSword	127	"Galea Imperatrix ""Styx"""	7	Combined Model	wp/two/two009	wp/two/parts/op_two010
0	GreatSword	128	Flamberge Taroth - Foudre	7	Combined Model (KT Weapon)	wp/two/bs_two008	
0	GreatSword	129	Espadon Kjárr - Girros	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two006
0	GreatSword	130	Espadon Kjárr - Vaal	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two008
0	GreatSword	131	Espadon Kjárr - Roi	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two001
0	GreatSword	132	Espadon Kjárr - Zorah	7	Combined Model (KT Weapon)	wp/two/bs_two013	wp/two/parts/op_two012
0	GreatSword	133	Espadon Kjárr - Eau	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	134	Espadon Kjárr - Glace	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	135	Espadon Kjárr - Foudre	7	Combined Model (KT Weapon)	wp/two/bs_two014	
0	GreatSword	136	Grande épée du Défenseur	0	Combined Model	wp/two/two001	
0	GreatSword	137	Grande épée du Défenseur II	2	Combined Model	wp/two/two001	
0	GreatSword	138	Grande épée du Défenseur III	4	Combined Model	wp/two/two001	
0	GreatSword	139	Grande épée du Défenseur IV	5	Combined Model	wp/two/two001	
0	GreatSword	140	Grande épée du Défenseur V	6	Combined Model	wp/two/two001	
0	GreatSword	141	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	142	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	143	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	144	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	145	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	146	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	147	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	148	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	149	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	150	Faux chromée I	8	Combined Model	wp/two/two010	
0	GreatSword	151	Faux chromée II	9	Combined Model	wp/two/two010	
0	GreatSword	152	Faux chromée III	10	Combined Model	wp/two/two010	
0	GreatSword	153	Atrocité exorbitante	11	Unique Model	wp/two/two014	
0	GreatSword	154	Vengeur de foudre IV	8	Combined Model	wp/two/two003	
0	GreatSword	155	Éclair tranchant I	9	Combined Model	wp/two/two003	wp/two/parts/op_two022
0	GreatSword	156	Éclair tranchant II	10	Combined Model	wp/two/two003	wp/two/parts/op_two022
0	GreatSword	157	Bourreau de l'enfer	10	Combined Model	wp/two/two003	wp/two/parts/op_two023
0	GreatSword	158	Croc de givre III	8	Combined Model	wp/two/two001	
0	GreatSword	159	Croc stalactite	9	Unique Model	wp/two/two011	
0	GreatSword	160	Croc stalactite +	9	Unique Model	wp/two/two011	
0	GreatSword	161	Sinistre	10	Unique Model	wp/two/two011	
0	GreatSword	162	Griffemort Jagras I	8	Combined Model	wp/two/two010	wp/two/parts/op_two003
0	GreatSword	163	Griffemort Jagras II	9	Combined Model	wp/two/two010	wp/two/parts/op_two003
0	GreatSword	164	Mammohache I	8	Combined Model	wp/two/two003	wp/two/parts/op_two020
0	GreatSword	165	Mammohache II	9	Combined Model	wp/two/two003	wp/two/parts/op_two020
0	GreatSword	166	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	167	Guillotine nâga	8	Combined Model	wp/two/two003	wp/two/parts/op_two006
0	GreatSword	168	Guillotine nâga II	9	Combined Model	wp/two/two003	wp/two/parts/op_two006
0	GreatSword	169	Lame occulte	9	Combined Model	wp/two/two001	wp/two/parts/op_two017
0	GreatSword	170	Lame occulte II	9	Combined Model	wp/two/two001	wp/two/parts/op_two017
0	GreatSword	171	Fendoir de bûcher I	9	Combined Model	wp/two/two002	wp/two/parts/op_two009
0	GreatSword	172	Fendoir de bûcher II	9	Combined Model	wp/two/two002	wp/two/parts/op_two009
0	GreatSword	173	Lame Glavenus I	9	Combined Model	wp/two/two001	wp/two/parts/op_two018
0	GreatSword	174	Lame Glavenus II	9	Combined Model	wp/two/two001	wp/two/parts/op_two018
0	GreatSword	175	Fléau du diable I	8	Combined Model	wp/two/two010	wp/two/parts/op_two002
0	GreatSword	176	Fléau du diable II	9	Combined Model	wp/two/two010	wp/two/parts/op_two002
