Achieve ID	Achieve Name	Achieve Desc
000	Eroberer der Neuen Welt	Erhalte alle Medaillen.
001	Willkommen in der Neuen Welt	Schließe alle 1-<ICON STAR_1>-Aufgaben ab.
002	Niemand hält die Kommission auf	Schließe alle 2-<ICON STAR_1>-Aufgaben ab.
003	Verteidiger von Astera	Schließe alle 3-<ICON STAR_1>-Aufgaben ab.
004	Mittendrin	Schließe alle 4-<ICON STAR_1>-Aufgaben ab.
005	Tod erzeugt Leben	Leite den Zorah Magdaros erfolgreich an.
006	Die Königin des Hochlandes	Schließe alle 6-<ICON STAR_1>-Aufgaben ab.
007	Besser geht's kaum	Schließe alle 7-<ICON STAR_1>-Aufgaben ab.
008	Der Saphirstern	Löse das Geheimnis der Ältestenwanderung.
009	Was für ein Jägerleben...	Schließe 50 Optionale Quests ab.
010	Eine neugierige Seele	Schließe deine erste Untersuchung ab.
011	Ein weiser Jäger	Schließe 50 Untersuchungen ab.
012	Betritt die Arena	Schließe deine erste Arena-Quest ab.
013	Es kann nur besser werden	Schließe 50 Arena-Quests ab.
014	Siedler der Neuen Welt	Etabliere fünf Lager.
015	Tarnen und täuschen	Verstecke dich in den Büschenund entkomme dem Jagras-Rudel.
016	Der Wurm muss dem Fisch schmecken...	Fange deinen ersten Fisch.
017	Mmm, so lecker!	Bereite dein erstes Gebratenes Steak zu.
018	Aufsitzen	Besteige ein Monster.
019	Ein lebendes Fossil	"Fange einen Fisch, der als ""das lebendeFossil"" bekannt ist."
020	Ich werd wahnsinnig	Fange eine flauschig-kuschelige Kreatur.
021	Borsten für alle	Fange eine steife, borstige Kreatur.
022	Rex Regenbogen	Fange eine Kreatur, die wieein Regenbogen strahlt.
023	Kommissionsarbeit	Erhalte 100.000 Forschungspunkte.
024	Geiz ist geil	Habe mindestens 1.000.000 Zenny indeinem Besitz.
025	Undurchdringliche Verteidigung	Erhalte fünf hochgradig selteneRüstungsteile.
026	Haue regiert die Welt	Erhalte fünf hochgradig seltene Waffen.
027	Luxuswohnung	Ziehe in einen besseren Raum um.
