EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Schäferhase
1	1	660	Pilotenhase
2	0	661	Unterholz-Pteryx
2	1	662	Wald-Pteryx
3	0	663	Kobaltflatterling
3	1	664	Phantomflatterling
4	0	665	Kletternder Wonnebarsch
5	0	666	Waldgekko
5	1	667	Wildturmgekko
5	2	668	Abendrotgekko
5	3	669	Mondlichtgekko
6	0	670	Vaporonid
6	1	671	Skavantel
7	0	672	Ekelgeier
7	1	673	Glücksschnabel
7	2	1792	Steinschnabel
8	0	674	Omenfliege
8	1	675	Augurfliege
9	0	676	Grottenfledermaus
9	1	945	Gold-Grottenfledermaus
10	0	677	Mistkäfer
10	1	678	Bombenkäfer
10	2	1793	Reifkäfer
11	0	679	Rosa Parexus
11	1	680	Großer Rosa Parexus
12	0	681	Berst-Arowana
12	1	682	Bomben-Arowana
12	2	683	Großer Berst-Arowana
12	3	684	Großer Bomben-Arowana
13	0	685	Eleganter Korallenvogel
13	1	686	Adretter Korallenvogel
14	0	687	Andon-Angler
15	0	688	Flauschhuhn
15	1	689	Kraushuhn
16	0	690	Hüpfguppy
17	0	691	Petricanth
18	0	692	Lähmkröte
18	1	693	Schlafkröte
18	2	694	Nitrokröte
19	0	695	Wackelwurm
19	1	696	Wackelwurmkönigin
20	0	697	Vitalitätswespe
20	1	698	Riesige Vitalitätswespe
21	0	699	Fliegender Meduso
22	0	700	Trägerameise
23	0	701	Herkudrom
23	1	702	Gold-Herkudrom
23	2	703	Prisma-Herkudrom
24	0	704	Kaiser-Hüpfer
24	1	705	Tyrannen-Hüpfer
25	0	706	Blitzfliege
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Urzeit-Mantamotte
31	0	708	Eisen-Helmkrabbe
31	1	709	Soldaten-Helmkrabbe
31	2	710	Smaragd-Helmkrabbe
31	3	946	Gold-Helmkrabbe
31	4	947	Leucht. Gold-Helmkrabbe
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Wetzfisch
33	1	712	Großer Wetzfisch
34	0	713	Gourmet-Thun
34	1	714	Großer Gourmet-Thun
35	0	715	Königsmarlin
35	1	716	Großer Königsmarlin
36	0	-1	楔虫
37	0	717	Goldenfisch
37	1	718	Platinfisch
37	2	719	Großer Goldenfisch
37	3	720	Großer Platinfisch
38	0	721	Goldensetzling
38	1	722	Großer Goldensetzling
39	0	723	Sushifisch
39	1	724	Großer Sushifisch
40	0	725	Schießpulverfisch
40	1	726	Großer Schießpulverfisch
41	0	948	Kupfer-Calappa
41	1	949	Gold-Calappa
42	0	950	Tsuchinoko
43	0	968	Kaktor
43	1	951	Kaktorfigur
43	2	967	Blühende Kaktorfigur
44	0	958	Nekker
50	0	1455	Perlenquell-Makak
50	1	1456	Goldquell-Makak
51	0	1458	Kabuto-Triops
52	0	1459	Mondschnecke
53	0	1460	Bauschpinguin
54	0	1461	Pfeilkopfgekko
55	0	1462	Blaue Diva
56	0	1463	Meeresherr-Schopffisch
57	0	1464	Glas-Parexus
57	1	1473	Großer Glas-Parexus
58	0	1465	Wintermondnessel
59	0	1466	Mauli
59	1	1467	Moos-Mauli
59	2	1468	Stein-Mauli
59	3	1469	Flausch-Mauli
59	4	1470	Stachel-Mauli
59	5	1471	Wild-Mauli
59	6	1472	Frost-Mauli
