Delivery ID	Delivery Name	Delivery Reward
0	Empor, mein Uralter Baum	Beschleuniger
1	Wachse, Grünzeug, wachse	Mega-Dünger
2	Ein Berg aus Pilzen	Erlesener-Pilz-Substrat
3	Der bunte Käferfänger	Dickes Lockmittel-Gelee
4	Ab durch die Grasdecke	Uralter Beschleuniger
5	Ein weiches Bett auf der Erde	Weicher Boden
6	Platz für die Ernte	Erntetruhe-Erweiterung
7	Mehr Stauraum für dich	Erntetruhe-Erweiterung
8	Lager aufbauen: Uralter Wald I	Nordwestliches Lager (8)
9	Lager aufbauen: Uralter Wald II	Lager im Uralten Wald (17)
10	Lager aufbauen: Wildturm-Ödnis I	Zentrales Lager (6)
11	Lager aufbauen: Wildturm-Ödnis II	Östliches Lager
12	Lager aufbauen: Wildturm-Ödnis II	Nordöstliches Lager (15)
13	Lager aufbauen: Korallenhochland	Nordöstliches Lager (12)
14	Lager aufbauen: Heimat der Ältesten I	Östliches Lager (8)
15	Lager aufbauen: Heimat der Ältesten II	Nordwestliches Lager (16)
16	Die Abkürzung zum Glück	Seilbahn
17	Ausrüstungsforschung: Wasserabdichtung	Wasserschutz-Mantel
18	Ausrüstungsforschung: Wetterfestigkeit	Eisschutz-Mantel
19	Pilze: Geschenk der Natur	Königstrüffel
20	Ein fischiges Festessen	Gajau-Kieme
21	Göttliche Garnelen	Korallengarnele
22	Großartiges Gemüse	Millionenfacher Kohl
23	Eine tausend Jahre alte Krabbe?!	Millenniumskrabbe
24	Tomaten rot wie Magma	Fette Tomate
25	Der saftige Fleischwiderstand	Kruppenfleisch
26	Braten-mit-Knochen-Widerstand	Groß-Hammel
27	Uralt, aber frisch!	Urzeitbrachse
28	Gemüsemeister der Verkleidung	Aromatisellerie
29	Phantasmagorische Paprika!	Prismatische Paprika
30	Des Meisters Trinkspruch	Meisterbräu
31	Ein Feuerspeier-Gebräu	Ratha-Whiskey
32	Eine große Hilfe	Gewürfeltes Steak
