Food Code	Food Name	Food Desc
MEAT_00_ID	Wyvernschenkel	Dieses Fleisch hilft dabei, die Courage-Nahrungs-fähigkeiten auszulösen – die eher feste und zäheKonsistenz ist jedoch nicht jedermanns Sache.
MEAT_01_ID	Wyvernkronfleisch	Dieses Fleisch hilft dabei, die Courage-Nahrungsfähigkeiten auszulösen – wird oft dünngeschnitten und dann über Holzkohle gegrillt.
MEAT_02_ID	Wyvern-Ei	Dieses Ei hilft dabei, die Courage-Nahrungs-fähigkeiten auszulösen – wer auch immer esgestohlen hat, ist bestimmt ganz schön gerannt!
MEAT_03_ID	Wyvernschwanz	Dieses Fleisch hilft dabei, die Courage-Nahrungs-fähigkeiten auszulösen – aus dem Schwanz einesFlugwyvern; sollte man mal probiert haben...
MEAT_04_ID	Wyvernkopf	Dieses Fleisch hilft dabei, die Courage-Nahrungs-fähigkeiten auszulösen – fester Bestandteil derHaute Cuisine, sonst eher selten zu finden.
MEAT_05_ID	Wyvernfilet	Dieses Fleisch hilft dabei, die Courage-Nahrungs-fähigkeiten auszulösen – wohl das teuerste StückWyvernfleisch überhaupt.
MEAT_06_ID	Zähes Fleisch	Dieses Fleisch hilft dabei, die Widerstand-Nahrungs-fähigkeiten auszulösen – so zäh, dass man denVerzehr als Unterkiefertraining betrachten könnte.
MEAT_07_ID	Dorniges Fleisch	Dieses Fleisch hilft dabei, die Widerstand-Nahrungs-fähigkeiten auszulösen – hängt noch an der dornigenSchuppe, von der es stammt. Vorsicht beim Verzehr!
MEAT_08_ID	Bullion-Fleisch	Dieses Fleisch hilft dabei, die Widerstand-Nahrungsfähigkeiten auszulösen – ist rechtteuer, aber man gönnt sich ja sonst nichts!
MEAT_09_ID	Würzwürstchen	Dieses Fleischprodukt hilft, die Widerstand-Nahrungsfähigkeiten auszulösen – steinhart,aber reich an Protein und Vitaminen!
MEAT_10_ID	Wildes Hähnchen	Dieses Fleisch hilft dabei, die Widerstand-Nahrungsfähigkeiten auszulösen – undmacht absolut jedes Gericht besser!
MEAT_11_ID	Mariniertes Carpaccio	Dieses Fleisch hilft dabei, die Widerstand-Nahrungsfähigkeiten auszulösen – dank dergeheimen Sauce trieft es geradezu vor Geschmack!
MEAT_12_ID	Aptonoth-Fleisch	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungs-fähigkeiten auszulösen – ein Grundnahrungsmittelfür Jäger und Zutat so manch eines Fleischgerichts.
MEAT_13_ID	Apcebraten	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungs-fähigkeiten auszulösen – es wird der hungrigenMeute fast immer in großen Mengen serviert.
MEAT_14_ID	Gewürfeltes Steak	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungsfähigkeiten auszulösen – mund-gerechte Stücke von relativ guter Qualität.
MEAT_15_ID	Großes Lendenfleisch	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungsfähigkeiten auszulösen – einköstliches Stück Aptonoth-Fleisch.
MEAT_16_ID	Burger-Happen	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungs-fähigkeiten auszulösen – ein Stück von einemBurger, so groß, dass es fast zwei Bissen sind.
MEAT_17_ID	Giga-Steak	Dieses Fleisch hilft dabei, die Tatkraft-Nahrungs-fähigkeiten auszulösen – so fein marmoriert, dassman einfach nicht aufhören will... oder kann...
MEAT_18_ID	Weiße Leber	Dieses Fleisch hilft dabei, die Scharfsinn-Nahrungs-fähigkeiten auszulösen – und ist wegen seinerklebrigen Konsistenz sehr beliebt.
MEAT_19_ID	Gegrillte Querrippe	Dieses Fleisch hilft dabei, die Scharfsinn-Nahrungs-fähigkeiten auszulösen – es besteht größtenteilsaus Fett, wodurch es besonders intensiv schmeckt.
MEAT_20_ID	Würzige Kutteln	Dieses Fleisch hilft dabei, die Scharfsinn-Nahrungs-fähigkeiten auszulösen – wer sich damit den Bauchvollschlägt, bekommt Probleme ruhig zu sitzen.
MEAT_21_ID	Heißes Herz	Dieses Fleisch hilft, die Scharfsinn-Nahrungs-fähigkeiten auszulösen – es wird am besten heißgenossen und ist wegen seiner Konsistenz beliebt.
MEAT_22_ID	Kruppenfleisch	Dieses Fleisch hilft dabei, die Scharfsinn-Nahrungsfähigkeiten auszulösen – ein geschmack-volles Stück aus einem geschätzten Körperteil.
MEAT_23_ID	Großartige Gänsestopfleber	Dieses Fleisch hilft dabei, die Scharfsinn-Nahrungs-fähigkeiten auszulösen – die cremige Konsistenz undder intensive Geschmack machen es extrem beliebt.
MEAT_24_ID	Ungewürzte Pute	Dieses Fleisch hilft dabei, die Artilllerie-Nahrungsfähigkeiten auszulösen – leider bestehtes mehr aus Knochen als aus Muskelfleisch.
MEAT_25_ID	Groß-Hammel	Dieses Fleisch hilft dabei, die Artilllerie-Nahrungs-fähigkeiten auszulösen – vielseitig verwendbar,wird es für zahlreiche Gerichte verwendet.
MEAT_26_ID	Pflanzenfresser-Ei	Dieses Ei hilft dabei, die Artilllerie-Nahrungs-fähigkeiten auszulösen – ein Omelett hiervonkann mehrere hungrige Familien satt machen.
MEAT_27_ID	Königstruthahn	Dieses Fleisch hilft dabei, die Artilllerie-Nahrungs-fähigkeiten auszulösen – dank seiner Fleischigkeitlässt es Ungewürzte Pute sehr minderwertig aussehen.
