Insect ID	Insect Code	Insect Name	Model
0	ROD_INSECT_000_NAME	Keulendrohn I	mus001
1	ROD_INSECT_001_NAME	Keulendrohn II	mus001
2	ROD_INSECT_002_NAME	Keulendrohn III	mus001
3	ROD_INSECT_003_NAME	Zangenkäfer I	mus003
4	ROD_INSECT_004_NAME	Zangenkäfer II	mus003
5	ROD_INSECT_005_NAME	Zangenkäfer III	mus003
6	ROD_INSECT_006_NAME	Königszangenkäfer I	mus004
7	ROD_INSECT_007_NAME	Königszangenkäfer II	mus004
8	ROD_INSECT_008_NAME	Königszangenkäfer III	mus004
9	ROD_INSECT_009_NAME	Kaiserinnenflügel I	mus005
10	ROD_INSECT_010_NAME	Kaiserinnenflügel II	mus005
11	ROD_INSECT_011_NAME	Kaiserinnenflügel III	mus005
12	ROD_INSECT_012_NAME	Rigianbeter I	mus006
13	ROD_INSECT_013_NAME	Rigianbeter II	mus006
14	ROD_INSECT_014_NAME	Rigianbeter III	mus006
15	ROD_INSECT_015_NAME	Dauerflieger I	mus007
16	ROD_INSECT_016_NAME	Dauerflieger II	mus007
17	ROD_INSECT_017_NAME	Dauerflieger III	mus007
18	ROD_INSECT_018_NAME	Mauschelbrix I	mus008
19	ROD_INSECT_019_NAME	Mauschelbrix II	mus008
20	ROD_INSECT_020_NAME	Mauschelbrix III	mus008
21	ROD_INSECT_021_NAME	Windschneider I	mus009
22	ROD_INSECT_022_NAME	Windschneider II	mus009
23	ROD_INSECT_023_NAME	Windschneider III	mus009
24	ROD_INSECT_024_NAME	Großkathar I	mus010
25	ROD_INSECT_025_NAME	Großkathar II	mus010
26	ROD_INSECT_026_NAME	Großkathar III	mus010
27	ROD_INSECT_027_NAME	Pseudokath I	mus011
28	ROD_INSECT_028_NAME	Pseudokath II	mus011
29	ROD_INSECT_029_NAME	Pseudokath III	mus011
30	ROD_INSECT_030_NAME	Schadensdrohn I	mus012
31	ROD_INSECT_031_NAME	Schadensdrohn II	mus012
32	ROD_INSECT_032_NAME	Schadensdrohn III	mus012
33	ROD_INSECT_033_NAME	Feindkäfer I	mus014
34	ROD_INSECT_034_NAME	Feindkäfer II	mus014
35	ROD_INSECT_035_NAME	Feindkäfer III	mus014
36	ROD_INSECT_036_NAME	Gemetzelkäfer I	mus015
37	ROD_INSECT_037_NAME	Gemetzelkäfer II	mus015
38	ROD_INSECT_038_NAME	Gemetzelkäfer III	mus015
39	ROD_INSECT_039_NAME	Schönheitskäfer I	mus016
40	ROD_INSECT_040_NAME	Schönheitskäfer II	mus016
41	ROD_INSECT_041_NAME	Schönheitskäfer III	mus016
42	ROD_INSECT_042_NAME	Damenschild I	mus017
43	ROD_INSECT_043_NAME	Damenschild II	mus017
44	ROD_INSECT_044_NAME	Damenschild III	mus017
45	ROD_INSECT_045_NAME	Damenpavese I	mus018
46	ROD_INSECT_046_NAME	Damenpavese II	mus018
47	ROD_INSECT_047_NAME	Damenpavese III	mus018
48	ROD_INSECT_048_NAME	Marienmagd I	mus019
49	ROD_INSECT_049_NAME	Marienmagd II	mus019
50	ROD_INSECT_050_NAME	Marienmagd III	mus019
51	ROD_INSECT_051_NAME	Schmetterbelle I	mus020
52	ROD_INSECT_052_NAME	Schmetterbelle II	mus020
53	ROD_INSECT_053_NAME	Schmetterbelle III	mus020
54	ROD_INSECT_054_NAME	Schleierflug I	mus021
55	ROD_INSECT_055_NAME	Schleierflug II	mus021
56	ROD_INSECT_056_NAME	Schleierflug III	mus021
57	ROD_INSECT_057_NAME	Flüsterfalter I	mus022
58	ROD_INSECT_058_NAME	Flüsterfalter II	mus022
59	ROD_INSECT_059_NAME	Flüsterfalter III	mus022
60	ROD_INSECT_190_NAME	Drachenseele	mus023
61	ROD_INSECT_191_NAME	Wahre Drachenseele	mus023
62	ROD_INSECT_060_NAME	Wesirbock I Velox	mus024
63	ROD_INSECT_061_NAME	Wesirbock II Velox	mus024
64	ROD_INSECT_062_NAME	Wesirbock III Velox	mus024
65	ROD_INSECT_063_NAME	Wesirbock I Forz	mus024
66	ROD_INSECT_064_NAME	Wesirbock II Forz	mus024
67	ROD_INSECT_065_NAME	Wesirbock III Forz	mus024
68	ROD_INSECT_066_NAME	Bilbobrix I Velox	mus025
69	ROD_INSECT_067_NAME	Bilbobrix II Velox	mus025
70	ROD_INSECT_068_NAME	Bilbobrix III Velox	mus025
71	ROD_INSECT_069_NAME	Bilbobrix I Forz	mus025
72	ROD_INSECT_070_NAME	Bilbobrix II Forz	mus025
73	ROD_INSECT_071_NAME	Bilbobrix III Forz	mus025
74	ROD_INSECT_072_NAME	Foliacath I Medis	mus026
75	ROD_INSECT_073_NAME	Foliacath II Medis	mus026
76	ROD_INSECT_074_NAME	Foliacath III Medis	mus026
77	ROD_INSECT_075_NAME	Foliacath I Forz	mus026
78	ROD_INSECT_076_NAME	Foliacath II Forz	mus026
79	ROD_INSECT_077_NAME	Foliacath III Forz	mus026
80	ROD_INSECT_078_NAME	Elscarad I	mus002
81	ROD_INSECT_079_NAME	Elscarad II	mus002
82	ROD_INSECT_080_NAME	Elscarad III	mus002
83	ROD_INSECT_081_NAME	Leuchtkäfer I Velox	mus027
84	ROD_INSECT_082_NAME	Leuchtkäfer II Velox	mus027
85	ROD_INSECT_083_NAME	Leuchtkäfer III Velox	mus027
86	ROD_INSECT_084_NAME	Leuchtkäfer I Medis	mus027
87	ROD_INSECT_085_NAME	Leuchtkäfer II Medis	mus027
88	ROD_INSECT_086_NAME	Leuchtkäfer III Medis	mus027
89	ROD_INSECT_087_NAME	Marienturm I Forz	mus028
90	ROD_INSECT_088_NAME	Marienturm II Forz	mus028
91	ROD_INSECT_089_NAME	Marienturm III Forz	mus028
92	ROD_INSECT_090_NAME	Marienturm I Velox	mus028
93	ROD_INSECT_091_NAME	Marienturm II Velox	mus028
94	ROD_INSECT_092_NAME	Marienturm III Velox	mus028
95	ROD_INSECT_093_NAME	Heldenschwinge I Forz	mus029
96	ROD_INSECT_094_NAME	Heldenschwinge II Forz	mus029
97	ROD_INSECT_095_NAME	Heldenschwinge III Forz	mus029
98	ROD_INSECT_096_NAME	Heldenschwinge I Medis	mus029
99	ROD_INSECT_097_NAME	Heldenschwinge II Medis	mus029
100	ROD_INSECT_098_NAME	Heldenschwinge III Medis	mus029
101	ROD_INSECT_099_NAME	Arginesse I	mus013
102	ROD_INSECT_100_NAME	Arginesse II	mus013
103	ROD_INSECT_101_NAME	Arginesse III	mus013
104	ROD_INSECT_192_NAME	Nexus Drachenseele	mus023
