Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Trank	Item	0	Stellt einen kleinen Teilder Gesundheit wieder her.
2	Mega-Trank	Item	1	Stellt einen großen Teilder Gesundheit wieder her.
3	Maxi-Trank	Item	2	Stellt Gesundheit vollständigwieder her und maximiertden Gesundheitsbalken.
4	Uralter Trank	Item	4	Stellt Gesundheit sowieAusdauer wieder her undmaximiert deren Balken.
5	Gegengift	Item	0	Der Name sagt alles:Dieses Objekt ist ein Gegengift.
6	Kräutermedizin	Item	1	Entfernt alle Giftstoffeund stellt Gesundheitgeringfügig wieder her.
7	Nullbeere	Item	1	Eine geheimnisvolle Beere,die verschiedene Pestartenheilt.
8	Energy-Drink	Item	1	Ein von der Gilde geprüftes Getränk,das die Ausdauer stärkt. Es hilftaußerdem gegen Müdigkeit!
9	Ration	Item	0	Essen, das etwas Ausdauerwiederherstellt.
10	Blutiges Steak	Item	0	Ermöglicht eine mittlere Steigerungder Ausdauer. Das Fleisch ist nochrot in der Mitte.
11	Gebratenes Steak	Item	1	Ermöglicht eine mittlere und dauer-haftere Steigerung der Ausdauer.Ein gut zubereitetes Stück Fleisch.
12	Verkohltes Fleisch	Item	0	Ermöglicht eine geringe Steigerungder Ausdauer. Ein wenig bitter,kann aber schnell gegessen werden.
13	Kaltgetränk	Item	0	Schützt dich vorübergehendvor extremer Hitze.
14	Nährstoffe	Item	1	Erhöht die maximaleGesundheitsstufe sehrgeringfügig.
15	Mega-Nährstoffe	Item	2	Erhöht die maximaleGesundheitsstufegeringfügig.
16	Immunisierer	Item	2	Verbessert deine natürlichenHeilkräfte.
17	Astera-Jerky	Item	1	Getrocknetes Fleisch aus Astera.Stärkt die natürlichen Heilungs-kräfte und stoppt Blutungen.
18	Sprintsaft	Item	1	Verringert Ermüdungserscheinungen.Reduziert die Ausdauerabnahmekurzzeitig.
19	Mega-Sprintsaft	Material	3	Ermöglicht es dir, länger als mit dem Sprintsaft zu rennen, ohne zu ermüden.
20	Machtsamen	Item	1	Steigert vorübergehend deineAngriffskraft durch besserenEnergiefluss.
21	Dämonenmittel	Item	3	Verbessert deinen Angriff underfüllt dich mit – na was wohl?Dämonenkraft!
22	Mega-Dämonenmittel	Item	4	Verbessert deine Angriffskraft nochmehr als das Dämonenmittel.
23	Machtpille	Item	3	Verleiht dir vorübergehenddie Kraft eines mächtigenGottes. Sehr wirksam!
24	Diamantsamen	Item	1	Steigert durch die Einnahme vorüber-gehend die Verteidigung, indem eszu Gewebeverhärtungen kommt.
25	Panzerhaut	Item	3	Verbessert die Verteidigung,indem sie deine Haut hartwie Stein werden lässt.
26	Mega-Panzerhaut	Item	4	Verbessert deine Verteidigungnoch mehr als die normalePanzerhaut.
27	Diamantpille	Item	3	Eine Pille, die deine Hautvorübergehend diamanthartmacht. Sehr wirkungsvoll!
28	Lebenspulver	Item	3	Erzeugt eine heilende Wolke inder Umgebung des Benutzers.
29	Kräuterpulver	Item	3	Ein mysteriöses Pulver, das eine Wolke inder Umgebung des Benutzers erzeugt, dieGesundheit heilt und Gift neutralisiert.
30	Dämonenpulver	Item	3	Ein mysteriöses Pulver, das eine Wolkein der Umgebung des Benutzers erzeugt,die kurzzeitig Angriffe verbessert.
31	Harthülsenpulver	Item	3	Ein mysteriöses Pulver, das eine Wolke inder Umgebung des Benutzers erzeugt, diekurzzeitig die Verteidigung verbessert.
32	Honig	Item	1	Sehr nahrhafter Honig. Kombiniereihn mit einem Trank, um einenMega-Trank herzustellen.
33	Kraut	Item	0	Eine Hauptzutat von Tränken.
34	Gegengiftkraut	Item	0	Eine Hauptzutat von Gegengiften.
35	Feuerkraut	Item	1	Eine erstaunliche entflammbarePflanze, die zur Herstellung vonSprengstoffen verwendet wird.
36	Flussfarn	Item	0	Die Blätter dieser Pflanze speichernviel Wasser und sind eine Komponentefür Wasser-Munition.
37	Schneekraut	Item	1	Eine Pflanze, die eiskalte Luftverströmt und zur Herstellung vonFrost-Munition verwendet wird.
38	Schlafkraut	Item	0	Eine Pflanze, die einschläferndeSubstanzen enthält und zur Herstellungvon Beruhigungsmitteln verwendet wird.
39	Efeu	Item	0	Eine leichte und extrem robustePflanze. Sie wird zur Herstellungvon Netzen für Fallgruben verwendet.
40	Rauchnuss	Item	0	Eine Nuss, die dichten Rauch erzeugt.In Kombination mit anderen Objektenerzeugt sie verschiedene Raucharten.
41	Drachentod-Beere	Item	3	Eine geheimnisvolle Beere, die zurHerstellung von Drachen-Munitionverwendet wird.
42	Blaupilz	Item	1	Ein Pilz mit kräftigenden Eigen-schaften, der zur Herstellung vonerholenden Objekten genutzt wird.
43	Mandragora	Item	2	Ein gefährlicher Pilz, der angeblichLebenskraft entzieht. Nötig zurHerstellung von Maxi-Tränken.
44	Nitropilz	Item	1	Ein schwer zu findender Pilz, derenorme Hitze erzeugen kann; nötigzur Herstellung von Schießpulver.
45	Teufelspest	Item	1	Ein seltener, extrem heißer Pilz.In Kombination mit einer Fassbombeerzeugt er viel stärkere Explosionen.
46	Lähmpilz	Item	2	Ein Pilz, der Lähmung herbeiführt.Er wird auch zur Herstellung vonBeruhigungsbomben verwendet.
47	Giftpilz	Item	1	Ein giftiger Pilz, der als Toxin fürMesser verwendet werden kann.
48	Reizpilz	Item	2	Ein Pilz mit einem seltsamen Geruch.Essbar? Möglicherweise... Nötig zurHerstellung von Teleportern.
49	Bitterkäfer	Item	0	Ein scharf schmeckender Käfermit heilenden Kräften – eineZutat für viele Medikamente.
50	Blitzkäfer	Item	1	Ein Insekt, das beim Sterben einenstarken Blitz erzeugt. Nötig fürdie Herstellung von Blitzkapseln.
51	Götterkäfer	Item	3	Ein Insekt, das tausend Jahre lebt.Es erhält durch Kombination mitObjekten deren Eigenschaften.
52	Donnerkäfer	Item	3	Ein Insekt, das bei Schlägen Stromabgibt. Nötig zur Herstellung vonSchockfallen und Donner-Munition.
53	Köderkäfer	Item	2	Ein als Köder verwendetes Insekt.Fische lieben den Geschmack undkönnen kaum genug davon bekommen.
54	Kelbi-Horn	Item	3	Nicht zur Herstellung von Ausrüstunggeeignet, aber dennoch integralerBestandteil vieler Objekte.
55	Sprint-Extrakt	Item	3	Mysteriöse Substanz vonbestimmten Monstern.Erhöht die Ausdauer.
56	Nährendes Extrakt	Item	3	Kann von einigen großen Monsternerhalten werden und verstärkt dieWirkung bestimmter Heilmittel.
57	Kreischbeutel	Item	1	Ein Monsterorgan, das beim Aufbrechenein ohrenbetäubendes Geräusch ausstößt.Zur Herstellung von Schreikapseln.
58	Beschleuniger	Item	1	Erhöht die Wirkung andererMaterialien. Kann nichtallein benutzt werden.
59	Beruhigungsbombe	Item	2	Handgranate zum Fangen vonMonstern in Fallen. Kann aufden Boden geschmettert werden.
60	Blitzkapsel	Item	1	Schleudermunition, die beim Aufschlagaufblitzt. Eignet sich zum Blenden vonMonstern bei Treffern unter der Schnauze.
61	Schreikapsel	Item	1	Schleudermunition. Sie gibt einensehr schrillen Ton von sich, derempfindliche Monster ablenkt.
62	Rauchbombe	Item	1	Erzeugt eine große Rauchwolkewo immer sie auch landet.
63	Giftrauchbombe	Item	1	Verströmt eine giftige Nebelwolkeund wird im Haushalt gerne gegenUngeziefer eingesetzt.
64	Teleporter	Item	2	Rufe einen Flugdrachen und reiseins nächstgelegene Lager – auchwährend eines Kampfes.
65	Rohes Fleisch	Item	0	Fleisch eines Monsters. Kannzubereitet, kombiniert oderfür Fallen verwendet werden.
66	Giftfleisch	Item	1	Rohes Fleisch, das bei Verzehr zuernsten Vergiftungen führt. Perfektals Köder für Fallen geeignet.
67	Faules Fleisch	Item	1	Rohes Fleisch, das bei Verzehrlähmt – und dadurch einentollen Köder für Fallen abgibt.
68	Rauschfleisch	Item	1	Rohes Fleisch, das bei Verzehr zustarker Müdigkeit führt. Perfektals Köder für Fallen geeignet.
69	Schießpulver	Item	1	Eine gefährliche Substanz,die bei Erschütterung oderErhitzung explodiert.
70	Kleines Fass	Item	0	Ein kleines, leeres Fass.
71	Fassbombe	Item	1	Eine kleine Zeitbombe.
72	Abprallbombe	Item	1	Hebt ab, wenn sie scharf gemachtwurde. Diese modifizierte Bombeerfordert geübte Hände.
73	Mega-Abprallbombe	Item	3	Eine verbesserte Version derAbprallbombe. Ihr Einsatzerfordert viel Geschick.
74	Großes Fass	Item	1	Ein großes, leeres Fass.Kombiniere es mit Schießpulver,um es in eine Bombe zu verwandeln.
75	Große Fassbombe	Item	2	Eine starke Bombe, diedurch äußeren physischenKontakt ausgelöst wird.
76	Mega-Fassbombe	Item	3	Eine verbesserte Große Fassbombe,die sehr wirksam gegen großeMonster ist.
77	Spinnennetz	Item	0	Ein sehr klebriges Netz. Es wirdbenutzt, um Fallgruben herzustellen.
78	Netz	Item	1	Ein starkes Netz, das recht vielGewicht standhalten kann.Perfekt für Fallgruben.
79	Fallengerät	Item	2	Ein essentielles Hilfsmittel,um Fallgruben und andereFallen zu installieren.
80	Fallgrube	Item	2	Zum Fangen bestimmterMonster. Schnappt durchein schweres Gewicht zu.
81	Schockfalle	Item	2	Die Schockfalle macht Zielebewegungsunfähig underlaubt es, Monster zu fangen.
82	Gerollter Dung	Item	0	Eine Kugel aus konzentriertemMonsterdung. Zur Herstellung vonDungkapseln für die Schleuder.
83	Dung	Item	0	Stinkt furchtbar. Wird zurHerstellung von Dungkapselnfür die Schleuder verwendet.
84	Dungkapsel	Item	1	Schleudermunition, die beim Aufschlageinen starken Geruch verströmt –manche Monster fliehen davor.
85	Arowana-Köder	Item	1	Exemplare der Arowana-Familiebevorzugen diesen Köder.
86	Schießpulverfisch-Köder	Item	1	Exemplare der Schießpulverfisch-Familie bevorzugen diesen Köder.
87	Goldenfisch-Köder	Item	1	Exemplare der Goldenfisch-Familiebevorzugen diesen Köder.
88	Bumerang	Item	3	Eine ungewöhnlich geformte,fremdländische Waffe, diezu ihrem Werfer zurückkehrt.
89	Fernglas	Item	0	Mit diesem feinen Objekt kannstdu weiter sehen und Dinge ausder Ferne beobachten.
90	Kraftamulett	Item	4	Ein Amulett, das deine Angriffeverstärkt und dir Kraft einesDämons verleiht.
91	Kraftkralle	Item	4	Ein Talisman, der Angriffe verbessert.Dieser Effekt wird durch enthalteneDrachenteile verstärkt.
92	Panzeramulett	Item	4	Ein Amulett, das die Verteidigungstärkt. Wenn du es trägst, machtes deine Haut so hart wie Stein.
93	Panzerkralle	Item	4	Ein Talisman, der die Verteidigungerhöht. Dieser Effekt wird durchenthaltene Drachenteile verstärkt.
94	Nadelbeere	Item	0	Eine Nuss mit nadelartigen Stacheln,die zur Herstellung von Schrot-munition verwendet wird.
95	Sprengnuss	Item	0	Eine Nuss, die zur Herstellung vonDetonation-Munition verwendet wird.
96	Drachenschlag-Nuss	Item	1	Eine Nuss, die beim Aufschlagexplodiert und zur Herstellung vonWyvernmunition verwendet wird.
97	Schlitzbeere	Item	0	Eine Beere, die zur Herstellungvon Schnitt-Munition verwendetwird.
98	Schnallenbeere	Item	0	Eine Nuss mit spiralförmigen Kerben,die zur Herstellung von panzer-brechender Munition verwendet wird.
99	Bombeere	Item	1	Eine Nuss, die beim Aufschlagaufplatzt und zur Herstellung vonStreuung-Munition verwendet wird.
100	Feuernuss	Item	1	Wird zur Herstellung von Schieß-pulver verwendet, das dieFeuerkraft von Munition erhöht.
101	Brandnuss	Item	1	Wird zur Herstellung von Schieß-pulver verwendet, das die Feuer-kraft von Munition stark erhöht.
102	Schießpulver Stufe 2	Item	1	Brennbares Pulver.Steigert in Kombination mitStufe-1-Munition deren Stufe.
103	Schießpulver Stufe 3	Item	1	Leicht brennbares Pulver.Steigert in Kombination mitStufe-1-Munition deren Stufe.
104	Wetzfisch-Flosse	Item	1	Eine Fischflosse, um Waffen zu schärfen.Stellt Schärfe hervorragend wieder her,allerdings weniger oft als ein Wetzstein.
105	Wetzfisch-Flosse+	Item	3	Eine Fischflosse, um Waffen zu schärfen.Besser als ein Wetzstein. Kann wieder-verwendet werden, wenn du Glück hast.
106	Sushifisch-Schuppe	Item	1	Die Schuppe von einem Sushifisch.Stillt Blutungen und stellt kleineMengen Gesundheit wieder her.
107	Großer-Sushifisch-Schuppe	Item	3	Die Schuppe von einem Großen Sushi-fisch. Behandelt Blutungen und hilftbei der Regeneration von Gesundheit.
108	Schießpulverfisch-Schuppe	Item	2	Die Schuppe eines Schießpulverfischs.Kombiniert mit einer Großen Fassbombeerhöht sie die Explosionskraft dramatisch.
109	GroßerSchießpulverfischSchuppe	Item	3	Die Schuppe eines Großen Schießpulver-fischs. Kombiniert mit einer Großen Fass-bombe, wird eine Mega-Fassbombe daraus.
110	Berst-Arowana-Schuppe	Item	1	Die Schuppe eines Berst-Arowana.Kombiniere sie mit Feuerkraut, umSchießpulver Stufe 2 herzustellen.
111	Großer-Berst-Arowana-Schuppe	Item	3	Die Schuppe eines Großen Berst-Arowana. Kombiniere sie mit Feuerkraut,um viel Schießpulver Stufe 2 herzustellen.
112	Bomben-Arowana-Schuppe	Item	1	Die Schuppe eines Bomben-Arowana.Kombiniere sie mit Feuerkraut, umSchießpulver Stufe 3 herzustellen.
113	Großer-Bomben-Arowana-Schuppe	Item	3	Die Schuppe eines großen Bomben-Arowana. Mit Feuerkraut wird darausviel Schießpulver der Stufe 3.
114	Wetzstein	Item	3	Ein Schleifstein von normaler Größe.Verwende ihn, um die Schärfe vonWaffen wiederherzustellen.
115	Fangnetz	Item	3	Ein Netz zum Einfangen kleinerKreaturen, das mit der Schleuderverschossen werden kann.
116	Angelrute	Item	3	Ein Werkzeug zum Angeln.
117	Grillspieß	Item	3	Damit lässt sich Fleischzubereiten. Ein Muss fürjeden hungrigen Jäger.
118	Ghillie-Mantel	Item	3	Du wirst kurzzeitig unsichtbar.Wenn du angreifst oder Schadenerleidest, endet der Effekt.
119	Tempora-Mantel	Item	3	Negiert Schaden von mächtigenAngriffen, indem automatischausgewichen wird.
120	Gesundheit-Booster	Item	3	In den Boden gerammt, verströmt ereinen Nebel, der die Gesundheit vonjedem heilt, der damit in Kontakt kommt.
121	Trutzmantel	Item	3	Gibt Standsicherheit gegen bestimmteAngriffe und schützt gegen Winddruck,Gebrüll sowie Beben; verringert Schaden.
122	Herausforderer-Mantel	Item	3	Lenkt die Aufmerksamkeit von Monsternauf dich und erleichtert es so, sie in einefür dich günstige Position zu locken.
123	Lebenskraft-Mantel	Item	3	Negiert eine bestimmte Schadensmenge.Der Effekt endet, wenn mehr als dieservorbestimmte Schaden erlitten wird.
124	Feuerschutz-Mantel	Item	3	Reduziert Feuerelement-Schadenund negiert Feuerpest, Explosions-pest sowie Hitzeschaden.
125	Wasserschutz-Mantel	Item	3	Reduziert Wasserelement-Schaden undnegiert Wasserpest sowie Schlamm. Er-laubt es, durch tiefes Wasser zu waten.
126	Eisschutz-Mantel	Item	3	Reduziert Eiselement-Schaden undnegiert Eispest.
127	Donnerschutz-Mantel	Item	3	Reduziert Donnerelement-Schadenund negiert Donnerpest sowieLähmung.
128	Drachenschutz-Mantel	Item	3	Reduziert Drachenelement-Schaden undnegiert Drachenpest, während er gleich-zeitig Drachenelement-Angriffe verbessert.
129	Reiniger-Booster	Item	3	In den Boden gerammt, verströmt ereinen Nebel, der anormale Status vonjedem heilt, der damit in Kontakt kommt.
130	Gleiter-Mantel	Item	3	Verlängert beim Sprung die Zeit in derLuft, erlaubt den Ritt auf starken Windenund erleichtert das Aufsteigen auf Monster.
131	Ausweich-Mantel	Item	3	Erweitert das Unverwundbarkeitsfenstervon Ausweichaktionen. Angriffsboost,wenn du Angriffen knapp entgehst.
132	Aufschlag-Mantel	Item	3	Fügt den meisten Angriffen einen Betäuben-Faktor hinzu und verbessert die Effektevon Angriffen, die Gegener betäuben.
133	Apotheker-Mantel	Item	3	Erhöht die Wahrscheinlichkeit, dassWaffen mit anormalen Statusangriffenzu einer Status-Ansammlung beitragen,
134	Immunität-Mantel	Item	3	Negiert alle anormalen Status undgewährt Immunität vor ihnen –für eine begrenzte Zeit...
135	Affinität-Booster	Item	3	In den Boden gerammt, verströmt ereinen Nebel, der die Affinität von dirund deinen Leuten in der Nähe erhöht.
136	Banditen-Mantel	Item	3	Bei Angriffen gegen große Monsterlassen diese seltene und kostbareWertobjekte fallen.
