Deco ID	Item ID	Deco Name	Slot Size
0	727	Gegengift-Juwel 1	1
1	728	Anti-Lähm-Juwel 1	1
2	729	Pepp-Juwel 1	1
3	730	Felsenfest-Juwel 1	1
4	731	Anti-Explosion-Juwel 1	1
5	732	Naht-Juwel 1	1
6	733	Abwehrsperre-Juwel 1	1
7	734	Ohrstöpsel-Juwel 3	3
8	735	Windresistenz-Juwel 2	2
9	736	Halt-Juwel 2	2
10	739	Angriff-Juwel 1	1
11	740	Verteidigung-Juwel 1	1
12	741	Lebenskraft-Juwel 1	1
13	742	Erholung-Juwel 1	1
14	743	Feuerabwehr-Juwel 1	1
15	744	Wasserabwehr-Juwel 1	1
16	745	Eisabwehr-Juwel 1	1
17	746	Donnerabwehr-Juwel 1	1
18	747	Drachenabwehr-Juwel 1	1
19	748	Resistor-Juwel 1	1
20	749	Lohe-Juwel 1	1
21	750	Fluss-Juwel 1	1
22	751	Frost-Juwel 1	1
23	752	Blitz-Juwel 1	1
24	753	Drachen-Juwel 1	1
25	754	Gift-Juwel 1	1
26	755	Lähmangriff-Juwel 1	1
27	756	Schlaf-Juwel 1	1
28	757	Explosion-Juwel 1	1
29	758	Giftbeschichtung-Juwel 3	3
30	759	Lähmbeschichtung-Juwel 3	3
31	760	Schlafbeschichtung-Juwel 3	3
32	761	Sprengbeschichtung-Juwel 3	3
33	763	Freisetzung-Juwel 3	3
34	764	Experten-Juwel 1	1
35	765	Kritisches Juwel 2	2
36	766	Aufweich-Juwel 2	2
37	767	Ladungs-Juwel 2	2
38	768	Handwerk-Juwel 3	3
39	769	Ziehen-Juwel 2	2
40	770	Zerstörer-Juwel 2	2
41	771	Knock-out-Juwel 2	2
42	772	Entzug-Juwel 1	1
43	774	Flug-Juwel 2	2
44	775	Vollgas-Juwel 2	2
45	776	Herausforderer-Juwel 2	2
46	777	Makellos-Juwel 2	2
47	778	Potenzial-Juwel 2	2
48	779	Kraft-Juwel 1	1
49	780	Furor-Juwel 2	2
50	781	Klang-Juwel 1	1
51	782	Magazin-Juwel 2	2
52	783	Volltreffer-Juwel 1	1
53	784	Artillerie-Juwel 1	1
54	785	Schwere-Artillerie-Juwel 1	1
55	786	Sprinter-Juwel 2	2
56	787	Figur-Juwel 2	2
57	789	Erfrischungs-Juwel 2	2
58	790	Hungerfrei-Juwel 1	1
59	791	Ausweich-Juwel 2	2
60	792	Sprung-Juwel 2	2
61	793	Eisenmauer-Juwel 1	1
62	794	Wegsteck-Juwel 1	1
63	795	Freundschaft-Juwel 1	1
64	796	Dauer-Juwel 1	1
65	797	Sattes Juwel 1	1
66	798	Verschling-Juwel 1	1
67	799	Schleif-Juwel 1	1
68	800	Bomber-Juwel 1	1
69	801	Pilzform-Juwel 1	1
70	808	Schutz-Juwel 1	1
71	809	Miauster-Juwel 1	1
72	810	Botanik-Juwel 1	1
73	811	Geologie-Juwel 1	1
74	812	Mächtiges Juwel 2	2
75	813	Steinwerfer-Juwel 1	1
76	814	Schleich-Juwel 1	1
77	815	Wappnungs-Juwel 3	3
78	819	Rauch-Juwel 1	1
79	820	Sumpfläufer-Juwel 1	1
80	824	Insektenforscher-Juwel 1	1
81	826	Geruchs-Juwel 1	1
82	828	Einschüchtern-Juwel 1	1
83	832	Gleiter-Juwel 2	2
84	833	Medizin-Juwel 1	1
85	834	Starkschuss-Juwel 3	3
86	835	Perforations-Juwel 3	3
87	836	Schrot-Juwel 3	3
88	837	Verstärker-Juwel 2	2
89	838	Krisen-Juwel 1	1
90	839	Drachensiegel-Juwel 3	3
91	842	Wartungs-Juwel 1	1
92	874	Mächtiger-Bogen-Juwel 2	2
93	875	Geistiges-Auge-Juwel 2	2
94	876	Schild-Juwel 2	2
95	877	Scharfes Juwel 2	2
96	878	Elementloses Juwel 2	2
97	825	Miasma-Juwel 1	1
98	1968	Phönix-Juwel 3	3
99	1969	Wächter-Juwel 2	2
100	1970	Kühlendes Juwel 2	2
101	1971	Feuerabwehr-Juwel+ 4	4
102	1972	Wasserabwehr-Juwel+ 4	4
103	1973	Eisabwehr-Juwel+ 4	4
104	1974	Donnerabwehr-Juwel+ 4	4
105	1975	Drachenabwehr-Juwel+ 4	4
106	1976	Lohe-Juwel+ 4	4
107	1977	Fluss-Juwel+ 4	4
108	1978	Frost-Juwel+ 4	4
109	1979	Blitz-Juwel+ 4	4
110	1980	Drachen-Juwel+ 4	4
111	1981	Gift-Juwel+ 4	4
112	1982	Lähmangriff-Juwel+ 4	4
113	1983	Schlaf-Juwel+ 4	4
114	1984	Explosion-Juwel+ 4	4
115	1985	Hartes Feuerabwehr-Juwel 4	4
116	1986	Hartes Wasserabwehr-Juwel 4	4
117	1987	Hartes Eisabwehr-Juwel 4	4
118	1988	Hartes Donnerabwehr-Juwel 4	4
119	1989	Hartes Drachenabwehr-Juwel 4	4
120	1990	Gegengift-Juwel+ 4	4
121	1991	Anti-Lähm-Juwel+ 4	4
122	1992	Pepp-Juwel+ 4	4
123	1993	Felsenfest-Juwel+ 4	4
124	1994	Anti-Explosion-Juwel+ 4	4
125	1995	Naht-Juwel+ 4	4
126	1996	Abwehrsperre-Juwel+ 4	4
127	1997	Miasma-Juwel+ 4	4
128	1998	Hungerfrei-Juwel+ 4	4
129	1999	Erholung-Juwel+ 4	4
130	2000	Schleich-Juwel+ 4	4
131	2001	Einschüchtern-Juwel+ 4	4
132	2002	Miauster-Juwel+ 4	4
133	2003	Hartes Schleich-Juwel 4	4
134	2004	Hartes Einschüchtern-Juwel 4	4
135	2005	Hartes Miauster-Juwel 4	4
136	2006	Volltreffer-Juwel+ 4	4
137	2007	Schwere-Artillerie-Juwel+ 4	4
138	2008	Botanik-Juwel+ 4	4
139	2009	Geologie-Juwel+ 4	4
140	2010	Überleben-Juwel+ 4	4
141	2011	Sumpfläufer-Juwel+ 4	4
142	2012	Insektenforscher-Juwel+ 4	4
143	2013	Klang-Juwel+ 4	4
144	2014	Hartes Botanik-Juwel+ 4	4
145	2015	Hartes Geologie-Juwel 4	4
146	2016	Hartes Überleben-Juwel 4	4
147	2017	Hartes InsektenforscherJuwel 4	4
148	2018	Dauer-Juwel+ 4	4
149	2019	Verteidigung-Juwel+ 4	4
150	2020	Hartes Dauer-Juwel 4	4
151	2021	Hartes Verteidigung-Juwel 4	4
152	2022	Artillerie-Juwel+ 4	4
153	2023	Ohrstöpsel-Juwel+ 4	4
154	2024	Windresistenz-Juwel+ 4	4
155	2025	Angriff-Juwel+ 4	4
156	2026	Experten-Juwel+ 4	4
157	2027	Handwerk-Juwel+ 4	4
158	2028	Vollgas-Juwel+ 4	4
159	2029	Herausforderer-Juwel+ 4	4
160	2030	Potenzial-Juwel+ 4	4
161	2031	Furor-Juwel+ 4	4
162	2032	Figur-Juwel+ 4	4
163	2033	Ausweich-Juwel+ 4	4
164	2034	Eisenmauer-Juwel+ 4	4
165	2035	Freundschaft-Juwel+ 4	4
166	2036	Entzug-/Figur-Juwel 4	4
167	2037	Kraft-/Figur-Juwel 4	4
168	2038	Krisen-/Figur-Juwel 4	4
169	2039	Eisenmauer-/Figur-Juwel 4	4
170	2040	Freundschaft-/Figur-Juwel 4	4
171	2041	Sattes/Figur-Juwel 4	4
172	2042	Steinwerfer-/Figur-Juwel 4	4
173	2043	Resistor-/Figur-Juwel 4	4
174	2044	Flug-/Figur-Juwel 4	4
175	2045	Sprinter-/Figur-Juwel 4	4
176	2046	Erfrischungs-/Figur-Juwel 4	4
177	2047	Sprung-/Figur-Juwel 4	4
178	2048	Wegsteck-/Figur-Juwel 4	4
179	2049	Verschling-/Figur-Juwel 4	4
180	2050	Schleif-/Figur-Juwel 4	4
181	2051	Bomber-/Figur-Juwel 4	4
182	2052	Pilzform-/Figur-Juwel 4	4
183	2053	Gleiter-/Figur-Juwel 4	4
184	2054	Wächter-/Figur-Juwel 4	4
185	2055	Entzug-/Ausweich-Juwel 4	4
186	2056	Kraft-/Ausweich-Juwel 4	4
187	2057	Krisen-/Ausweich-Juwel 4	4
188	2058	Eisenmauer-/Ausweich-Juwel 4	4
189	2059	Freundschaft-/Ausweich-Juwel 4	4
190	2060	Sattes/Ausweich-Juwel 4	4
191	2061	Steinwerfer-/Ausweich-Juwel 4	4
192	2062	Resistor-/Ausweich-Juwel 4	4
193	2063	Flug-/Ausweich-Juwel 4	4
194	2064	Sprinter-/Ausweich-Juwel 4	4
195	2065	Erfrischungs-/Ausweich-Juwel 4	4
196	2066	Sprung-/Ausweich-Juwel 4	4
197	2067	Wegsteck-/Ausweich-Juwel 4	4
198	2068	Verschling-/Ausweich-Juwel 4	4
199	2069	Schleif-/Ausweich-Juwel 4	4
200	2070	Bomber-/Ausweich-Juwel 4	4
201	2071	Pilzform-/Ausweich-Juwel 4	4
202	2072	Gleiter-/Ausweich-Juwel 4	4
203	2073	Wächter-/Ausweich-Juwel 4	4
204	2074	Entzug-/Angriff-Juwel 4	4
205	2075	Kraft-/Angriff-Juwel 4	4
206	2076	Krisen-/Angriff-Juwel 4	4
207	2077	Eisenmauer-/Angriff-Juwel 4	4
208	2078	Freundschaft-/Angriff-Juwel 4	4
209	2079	Sattes/Angriff-Juwel 4	4
210	2080	Steinwerfer-/Angriff-Juwel 4	4
211	2081	Resistor-/Angriff-Juwel 4	4
212	2082	Flug-/Angriff-Juwel 4	4
213	2083	Sprinter-/Angriff-Juwel 4	4
214	2084	Erfrischungs-/Angriff-Juwel 4	4
215	2085	Sprung-/Angriff-Juwel 4	4
216	2086	Wegsteck-/Angriff-Juwel 4	4
217	2087	Verschling-/Angriff-Juwel 4	4
218	2088	Schleif-/Angriff-Juwel 4	4
219	2089	Bomber-/Angriff-Juwel 4	4
220	2090	Pilzform-/Angriff-Juwel 4	4
221	2091	Gleiter-/Angriff-Juwel 4	4
222	2092	Wächter-/Angriff-Juwel 4	4
223	2093	Entzug-/Experten-Juwel 4	4
224	2094	Kraft-/Experten-Juwel 4	4
225	2095	Krisen-/Experten-Juwel 4	4
226	2096	Eisenmauer-/Experten-Juwel 4	4
227	2097	Freundschaft-/Experten-Juwel 4	4
228	2098	Sattes/Experten-Juwel 4	4
229	2099	Steinwerfer-/Experten-Juwel 4	4
230	2100	Resistor-/Experten-Juwel 4	4
231	2101	Flug-/Experten-Juwel 4	4
232	2102	Sprinter-/Experten-Juwel 4	4
233	2103	Erfrischungs-/Experten-Juwel 4	4
234	2104	Sprung-/Experten-Juwel 4	4
235	2105	Wegsteck-/Experten-Juwel 4	4
236	2106	Verschling-/Experten-Juwel 4	4
237	2107	Schleif-/Experten-Juwel 4	4
238	2108	Bomber-/Experten-Juwel 4	4
239	2109	Pilzform-/Experten-Juwel 4	4
240	2110	Gleiter-/Experten-Juwel 4	4
241	2111	Wächter-/Experten-Juwel 4	4
242	2112	Entzug-/Freisetzung-Juwel 4	4
