Mission ID	Mission Name	Mission Desc
0	Feldforschung: Förderplätze	Sammle sechsmal an Förderplätzen.
1	Feldforschung: Förderplätze	Sammle zwölfmal an Förderplätzen.
2	Feldforschung: Knochenhaufen	Sammle sechsmal an Knochenhaufen.
3	Feldforschung: Knochenhaufen	Sammle zwölfmal an Knochenhaufen.
4	Feldforschung: Flora	Sammle vier Pflanzen.
5	Feldforschung: Flora	Sammle sieben Pflanzen.
6	Feldforschung: Pilze	Sammle vier Pilze.
7	Feldforschung: Pilze	Sammle sieben Pilze.
8	Feldforschung: Entomologie	Sammle drei Insekten.
9	Feldforschung: Entomologie	Sammle fünf Insekten.
10	Feldforschung: Honig	Sammle dreimal Honig.
11	Feldforschung: Honig	Sammle fünfmal Honig.
12	Gutachten: Große Monster erjagen	Erjage zwei große Monster.
13	Gutachten: Große Monster erjagen	Erjage ein großes Monster.
14	Gutachten: Große Monster fangen	Fange ein großes Monster.
15	Gutachten: Kleine Monster töten	Töte acht kleine Monster.
16	Gutachten: Kleine Monster töten	Töte 16 kleine Monster.
17	Forschung: Uralter Wald	Schließe zwei Questsim Uralten Wald ab.
18	Forschung: Uralter Wald	Schließe drei Questsim Uralten Wald ab.
19	Forschung: Wildturm-Ödnis	Schließe zwei Quests inder Wildturm-Ödnis ab.
20	Forschung: Wildturm-Ödnis	Schließe drei Quests inder Wildturm-Ödnis ab.
21	Feldforschung: Förderplätze	Sammle neunmal an Förderplätzen.
22	Feldforschung: Förderplätze	Sammle 15-mal an Förderplätzen.
23	Feldforschung: Knochenhaufen	Sammle neunmal an Knochenhaufen.
24	Feldforschung: Knochenhaufen	Sammle 15-mal an Knochenhaufen.
25	Feldforschung: Flora	Sammle fünf Pflanzen.
26	Feldforschung: Flora	Sammle acht Pflanzen.
27	Feldforschung: Pilze	Sammle fünf Pilze.
28	Feldforschung: Pilze	Sammle acht Pilze.
29	Feldforschung: Entomologie	Sammle vier Insekten.
30	Feldforschung: Entomologie	Sammle sieben Insekten.
31	Feldforschung: Honig	Sammle viermal Honig.
32	Feldforschung: Honig	Sammle siebenmal Honig.
33	Gutachten: Große Monster erjagen	Erjage drei große Monster.
34	Gutachten: Große Monster erjagen	Erjage zwei große Monster.
35	Gutachten: Große Monster fangen	Fange zwei große Monster.
36	Gutachten: Große Monster fangen	Fange ein großes Monster.
37	Gutachten: Kleine Monster töten	Töte zehn kleine Monster.
38	Gutachten: Kleine Monster töten	Töte 20 kleine Monster.
39	Gutachten: Reißzahn-Wyvern erjagen	Erjage zwei große Reißzahn-Wyvern.
40	Gutachten: Reißzahn-Wyvern fangen	Fange einen großen Reißzahn-Wyvern.
41	Gutachten: Vogelwyvern erjagen	Erjage zwei große Vogelwyvern.
42	Gutachten: Vogelwyvern fangen	Fange einen großen Vogelwyvern.
43	Gutachten: Kampfwyvern erjagen	Erjage zwei große Kampfwyvern.
44	Gutachten: Kampfwyvern fangen	Fange einen großen Kampfwyvern.
45	Gutachten: Flugwyvern erjagen	Erjage zwei große Flugwyvern.
46	Gutachten: Flugwyvern fangen	Fange einen großen Flugwyvern.
47	Forschung: Uralter Wald	Schließe zwei Questsim Uralten Wald ab.
48	Forschung: Uralter Wald	Schließe drei Questsim Uralten Wald ab.
49	Forschung: Wildturm-Ödnis	Schließe zwei Quests inder Wildturm-Ödnis ab.
50	Forschung: Wildturm-Ödnis	Schließe drei Quests inder Wildturm-Ödnis ab.
51	Forschung: Korallenhochland	Schließe zwei Questsim Korallenhochland ab.
52	Forschung: Korallenhochland	Schließe drei Questsim Korallenhochland ab.
53	Forschung: Tal der Verwesung	Schließe zwei Questsim Tal der Verwesung ab.
54	Forschung: Tal der Verwesung	Schließe drei Questsim Tal der Verwesung ab.
55	Forschung: Untersuchungen	Schließe zwei Untersuchungen ab.
56	Forschung: Untersuchungen	Schließe drei Untersuchungen ab.
57	Gutachten: Große Monster erjagen	Erjage zwei hochrangigegroße Monster.
