Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Bronze-Gildenmedaille	charm002
1	CHARM_001_NAME	Silber-Gildenmedaille	charm002
2	CHARM_002_NAME	Gold-Gildenmedaille	charm002
3	CHARM_003_NAME	Bronzesiegel-Tuch (rot)	charm003
4	CHARM_004_NAME	Bronzesiegel-Tuch (gelb)	charm003
5	CHARM_005_NAME	Bronzesiegel-Tuch (blau)	charm003
6	CHARM_006_NAME	Bronzesiegel-Tuch (pink)	charm003
7	CHARM_007_NAME	Bronzesiegel-Tuch (grün)	charm003
8	CHARM_008_NAME	Bronzesiegel-Tuch (grau)	charm003
9	CHARM_009_NAME	Bronzesiegel-Tuch (braun)	charm003
10	CHARM_010_NAME	Silbersiegel-Tuch (weiß)	charm003
11	CHARM_011_NAME	Silbersiegel-Tuch (rot)	charm003
12	CHARM_012_NAME	Silbersiegel-Tuch (grün)	charm003
13	CHARM_013_NAME	Silbersiegel-Tuch (blau)	charm003
14	CHARM_014_NAME	Silbersiegel-Tuch (lila)	charm003
15	CHARM_015_NAME	Silbersiegel-Tuch (pink)	charm003
16	CHARM_016_NAME	Silbersiegel-Tuch (orange)	charm003
17	CHARM_017_NAME	Goldsiegel-Tuch (braun)	charm003
18	CHARM_018_NAME	Goldsiegel-Tuch (weiß)	charm003
19	CHARM_019_NAME	Goldsiegel-Tuch (dunkelgrün)	charm003
20	CHARM_020_NAME	Goldsiegel-Tuch (hellgrün)	charm003
21	CHARM_021_NAME	Goldsiegel-Tuch (lila)	charm003
22	CHARM_022_NAME	Goldsiegel-Tuch (orange)	charm003
23	CHARM_023_NAME	Goldsiegel-Tuch (blau)	charm003
24	CHARM_024_NAME	Leitsmaragd-Kristall	charm004
25	CHARM_025_NAME	Leitgrün-Kristall	charm004
26	CHARM_026_NAME	Leitsonnen-Kristall	charm004
27	CHARM_027_NAME	Leitdämmerung-Kristall	charm004
28	CHARM_028_NAME	Leitmorganit-Kristall	charm004
29	CHARM_029_NAME	Leitzölestin-Kristall	charm004
30	CHARM_030_NAME	Leitzitrin-Kristall	charm004
31	CHARM_031_NAME	Leitdiamant-Kristall	charm004
32	CHARM_032_NAME	Leitkarmesin-Kristall	charm004
33	CHARM_033_NAME	Leithämatit-Kristall	charm004
34	CHARM_034_NAME	Leitgletscher-Kristall	charm004
35	CHARM_035_NAME	Leittansanit-Kristall	charm004
36	CHARM_036_NAME	Leitwald-Stern	charm001
37	CHARM_037_NAME	Leitödland-Stern	charm001
38	CHARM_038_NAME	Leitkorallen-Stern	charm001
39	CHARM_039_NAME	Leitmiasma-Stern	charm001
40	CHARM_040_NAME	Leitmagma-Stern	charm001
41	CHARM_041_NAME	Leitreif-Stern	charm001
42	CHARM_042_NAME	Bronze-Jägersymbol	charm005
43	CHARM_043_NAME	Silber-Jägersymbol	charm005
44	CHARM_044_NAME	Gold-Jägersymbol	charm005
45	CHARM_045_NAME	Diamant-Meistersymbol	charm005
46	CHARM_046_NAME	Rubin-Meistersymbol	charm005
47	CHARM_047_NAME	Smaragd-Meistersymbol	charm005
48	CHARM_048_NAME	Bernstein-Meistersymbol	charm005
49	CHARM_049_NAME	Saphir-Meistersymbol	charm005
50	CHARM_050_NAME	Topas-Meistersymbol	charm005
51	CHARM_051_NAME	Amethyst-Meistersymbol	charm005
52	CHARM_052_NAME	Gold-Rot-Meistersymbol	charm005
