Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Die Jagras des Uralten Waldes	Töte sieben Jagras.	Zeit abgelaufen3-mal ohnmächtig geworden
00102	Das Kestodon-Gedöns	Schließe die Aufgabe ab.	Zeit abgelaufen3-mal ohnmächtig geworden
00103	Die Groß-Jagras-Jagd	Erjage einen Groß-Jagras.	Zeit abgelaufen3-mal ohnmächtig geworden
00151	Kopfnüsse mit der Natur	Töte zwölf Kestodons.	Zeit abgelaufen3-mal ohnmächtig geworden
00152	Ein schlagendes Argument	Töte sieben Jagras.	Zeit abgelaufen3-mal ohnmächtig geworden
00153	Pilzeinsatz im Uralten Wald	Liefere 20 Gourmet-Pilzhüte.	Zeit abgelaufen3-mal ohnmächtig geworden
00201	Bandit mit Vogelhirn	Erjage einen Kulu-Ya-Ku.	Zeit abgelaufen3-mal ohnmächtig geworden
00205	Dringend: Pukei-Pukei-Jagd	Erjage einen Pukei-Pukei.	Zeit abgelaufen3-mal ohnmächtig geworden
00241	Erlernen der Klammerklaue	Lerne, wie die Klammerklaue funktioniert.	Zeit abgelaufen3-mal ohnmächtig gewordenGroß-Jagras erjagt
00251	Der große Vielfraß	Erjage einen Groß-Jagras.	Zeit abgelaufen3-mal ohnmächtig geworden
00252	Der Lager-Eindringling	Erjage einen Kulu-Ya-Ku.	Zeit abgelaufen3-mal ohnmächtig geworden
00261	Schnapp den Schnapper	Fange einen Kulu-Ya-Ku.	Zeit abgelaufen3-mal ohnmächtig gewordenKulu-Ya-Ku getötet
00262	Der Preis von Fleiß	Töte sieben Gajaus.	Zeit abgelaufen3-mal ohnmächtig geworden
00263	Kammerjäger der Ödnis	Töte 14 Vespoiden.	Zeit abgelaufen3-mal ohnmächtig geworden
00301	Die beste Art von Quest	Schließe die Aufgabe ab.	Zeit abgelaufen3-mal ohnmächtig geworden
00302	Unheimliche Schatten im Sumpf	Schließe die Aufgabe ab.	Zeit abgelaufen3-mal ohnmächtig geworden
00305	Fliegende Funken: Tobi-Kadachi	Erjage einen Tobi-Kadachi.	Zeit abgelaufen3-mal ohnmächtig geworden
00306	Der nahende Anjanath	Erjage einen Anjanath.	Zeit abgelaufen3-mal ohnmächtig geworden
00331	Spezialarena: Pukei-Pukei	Erjage einen Pukei-Pukei.	Zeit abgelaufen3-mal ohnmächtig geworden
00332	Spezialarena: Barroth	Erjage einen Barroth.	Zeit abgelaufen3-mal ohnmächtig geworden
00333	Spezialarena: Tobi-Kadachi	Erjage einen Tobi-Kadachi.	Zeit abgelaufen3-mal ohnmächtig geworden
00351	Der Streunuss-Mangel	Erjage einen Pukei-Pukei.	Zeit abgelaufen3-mal ohnmächtig geworden
00352	Unter Strom	Erjage einen Tobi-Kadachi.	Zeit abgelaufen3-mal ohnmächtig geworden
00361	Beschmutzt in der Ödnis	Erjage einen Barroth	Zeit abgelaufen3-mal ohnmächtig geworden
