Stage ID	Stage Name
ST101	Uralter Wald
ST102	Wildturm-Ödnis
ST103	Korallenhochland
ST104	Tal der Verwesung
ST105	Heimat der Ältesten
ST106	Große Schlucht
ST107	Große Schlucht
ST201	Spezialarena
ST202	Arena
ST301	Astera
ST302	Versammlungsstätte
ST303	Forschungsbasis
ST304	
ST401	
ST402	
ST403	Ewiger Strom
ST404	
ST405	Vereinigung der Schicksale
ST406	???
ST409	Die Eldorado-Höhlen
ST501	Standardraum
ST502	Privatraum
ST503	Luxusraum
ST504	Trainingsbereich
ST505	Kammer der Fünf
ST301_1	Astera
ST108	Raureif-Weite
ST305	Seliana
ST305s	Seliana
ST109	Die Leitlande
ST411	Seliana-Vorratskiste
ST412	Ursprungsinsel
ST302s	Astera-Versammlungsstätte
ST306s	Seliana-Versammlungsstätte
ST301m	Astera
ST305m	Seliana
ST506	Seliana-Raum
ST302_S	Versammlungsstätte
ST415	Abgelegene Schlucht
ST416	Abgelegene Schlucht
ST203	Seliana-Vorratskiste
