Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	Schmetterschwert II	0	Combined Model	wp/two/two002	
0	GreatSword	13	Schmetterklinge I	0	Combined Model	wp/two/two002	
0	GreatSword	14	Schmetterklinge II	1	Combined Model	wp/two/two002	
0	GreatSword	15	Schmetterklinge III	2	Combined Model	wp/two/two002	
0	GreatSword	17	Chrom-Rasiermesser II	3	Combined Model	wp/two/two002	
0	GreatSword	18	Nergal-Richter	4	Combined Model	wp/two/two002	
0	GreatSword	19	Atrozität	5	Combined Model	wp/two/two002	
0	GreatSword	21	Donnerklinge II	5	Combined Model	wp/two/two002	
0	GreatSword	22	Blitz-Bestrafer I	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	Blitz-Bestrafer III	7	Unique Model	wp/two/two004	
0	GreatSword	26	Jagras-Klinge II	2	Combined Model	wp/two/two002	
0	GreatSword	28	Jagras-Hacker I	3	Combined Model	wp/two/two002	
0	GreatSword	29	Jagras-Hacker II	4	Combined Model	wp/two/two003	
0	GreatSword	31	Girros-Klinge I	5	Combined Model	wp/two/two003	
0	GreatSword	32	Girros-Klinge II	5	Combined Model	wp/two/two003	
0	GreatSword	33	Leidenskuss I	3	Combined Model	wp/two/two002	
0	GreatSword	35	Leidenskuss III	4	Combined Model	wp/two/two002	
0	GreatSword	36	Lava-Lohe I	5	Combined Model	wp/two/two001	
0	GreatSword	38	Blühende Klinge I	5	Combined Model	wp/two/two001	
0	GreatSword	39	Blühende Klinge II	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	Datura-Lohe I	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	Datura-Lohe II	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	Datura-Lohe III	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	Flammenklinge II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	Roter Flügel	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	Blauer Flügel	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	Knochenklinge I	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	Knochenklinge II	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	Knochenhacker I	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	Knochenhacker II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	Knochenhacker III	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	Riesige Kiefernklinge II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	Hazak-Kys	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	Flammenzahn	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	Flammenzahn+	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	Knirschender Flammenzahn	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	Aqua-Hacker II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	Aqua-Hacker III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	Wassergolem I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	Wassergolem III	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	Panzerbrecher I	5	Unique Model	wp/two/two003	
0	GreatSword	70	Panzerbrecher III	6	Unique Model	wp/two/two008	
0	GreatSword	72	Barroth-Schredder II	7	Unique Model	wp/two/two008	
0	GreatSword	73	Barroth-Schredder III	0	Combined Model	wp/two/two005	
0	GreatSword	75	Stachelige Klinge II	0	Combined Model	wp/two/two005	
0	GreatSword	76	Baan-Zernichter I	1	Combined Model	wp/two/two005	
0	GreatSword	77	Baan-Zernichter II	2	Combined Model	wp/two/two005	
0	GreatSword	79	Drachenknochenspalter I	3	Combined Model	wp/two/two005	
0	GreatSword	80	Drachenknochenspalter II	4	Combined Model	wp/two/two005	
0	GreatSword	81	Drachenknochenspalter III	5	Combined Model	wp/two/two006	
0	GreatSword	83	Donnerschwert	5	Combined Model	wp/two/two006	
0	GreatSword	84	Kirin-Donnerschwert	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	SchwarzstahlHackmesser I	7	Unique Model	wp/two/two006	
0	GreatSword	88	Stahleis-Schneide	2	Unique Model	wp/two/two005	
0	GreatSword	90	Xeno-Maliq	4	Unique Model	wp/two/two005	
0	GreatSword	91	Wyvern-Kiefernklinge	6	Unique Model	wp/two/two005	
0	GreatSword	92	Großwyvern-Kiefernklinge	1	Combined Model	wp/two/two005	
0	GreatSword	94	Frostklinge I	2	Combined Model	wp/two/two005	
0	GreatSword	95	Frostklinge II	3	Combined Model	wp/two/two005	
0	GreatSword	96	Frostlohe I	4	Combined Model	wp/two/two004	
0	GreatSword	98	Magdaros-Potestas I	5	Combined Model	wp/two/two004	
0	GreatSword	99	"Wyvernzündung ""Aufprall"""	5	Combined Model	wp/two/two004	
0	GreatSword	100	"Gold-Fällschwert ""Wasser"""	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	"Gold-Fällschwert ""Schlaf"""	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	"Gold-Fällschwert ""Jagras"""	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	"Gold-Fällschwert ""Pukei"""	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	"Gold-Fällschwert ""Girros"""	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	107	"Gold-Fällschwert ""Baan"""	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
