Achieve ID	Achieve Name	Achieve Desc
000	Conquistatore del Nuovo Mondo	Hai ottenuto tutte le medaglie!
001	Benvenuto nel Nuovo Mondo	Medaglia ricevuta per aver completatogli incarichi 1<ICON STAR_1> relativi alla storia.
002	Nulla fermerà questa commissione!	Medaglia ricevuta per aver completatogli incarichi 2<ICON STAR_1> relativi alla storia.
003	Difensore di Astera	Medaglia ricevuta per aver completatogli incarichi 3<ICON STAR_1> relativi alla storia.
004	Nelle profondità	Medaglia ricevuta per aver completatogli incarichi 4<ICON STAR_1> relativi alla storia.
005	Dalla morte nasce la vita	Medaglia ricevuta per aver dirottatolo Zorah Magdaros.
006	L'imperatrice degli altipiani	Medaglia ricevuta per aver completatogli incarichi 6<ICON STAR_1> relativi alla storia.
007	Il gigante è caduto	Medaglia ricevuta per aver completatogli incarichi 7<ICON STAR_1> relativi alla storia.
008	La stella di zaffiro	Medaglia ricevuta per aver risolto ilmistero della traversata degli anziani.
009	Vita da cacciatore	Medaglia ricevuta per aver completato50 missioni facoltative.
010	A caccia di indizi	Medaglia ricevuta per aver completatola tua prima taglia.
011	Investigazioni private	Medaglia ricevuta per aver completato50 taglie.
012	Per il pubblico!	Medaglia ricevuta per aver completatola tua prima missione Arena.
013	Dritto al top!	Medaglia ricevuta per aver completato50 missioni Arena.
014	Colonizzatore di nuovi mondi	Medaglia ricevuta per aver stabilito5 accampamenti.
015	L'arte del mimetismo	Medaglia ricevuta per essere sfuggitoal branco di Jagras.
016	Pesca d'altura	Medaglia ricevuta per aver pescatoun pesce per la prima volta.
017	Mmm, sembra buona!	Medaglia ricevuta per aver cucinatouna bistecca ben cotta.
018	Più sono grossi e...	Medaglia ricevuta per aver cavalcatoun mostro per la prima volta.
019	Il fossile vivente	"Medaglia ricevuta per aver pescatoil pesce noto come ""il fossile vivente""."
020	Coccole per tutti	Medaglia ricevuta per aver catturatouna creatura soffice e morbidosa.
021	Un tipo duro	Medaglia ricevuta per aver catturatouna creatura ruvida e dura.
022	Arcobaleno	Medaglia ricevuta per aver catturatouna creatura che risplende d'arcobaleno.
023	Lavoro su commissione	Medaglia ricevuta per aver ottenuto100.000 punti ricerca.
024	Caccia ricca	Medaglia ricevuta per aver accumulato1.000.000 di zenny senza spenderli.
025	Difesa impenetrabile	Medaglia ricevuta per aver ottenuto5 pezzi di armatura rari.
026	Il potere è tutto	Medaglia ricevuta per aver ottenuto5 armi molto rare.
027	In ascesa	Medaglia ricevuta per aver ottenutol'accesso a un nuovo alloggio.
028	Chi trova un amico...	Medaglia ricevuta per aver fattoamicizia con un cacciaprede.
029	Gadget e compagni	Medaglia ricevuta per aver portatola competenza di un gadget percompagni a livello 10.
030	Esperto mostrologo	Medaglia ricevuta per aver completatole ricerche di molti mostri in alto grado.
031	Cacciatore temprato	Medaglia ricevuta per aver cacciatoil tuo primo mostro temprato.
032	Dominatore	Medaglia ricevuta per aver cacciato50 mostri temprati.
033	Mini corona	Medaglia ricevuta per aver ottenutouna mini corona per un mostro dibasso/alto grado.
034	Collezionista di mini corone	Medaglia ricevuta per aver ottenutouna mini corona per 10 o più mostridi basso/alto grado.
035	Esperto di mini corone	Medaglia ricevuta per aver ottenutouna mini corona per molti mostri.
036	Grande corona	Medaglia ricevuta per aver ottenutouna grande corona (argento o oro)per un mostro di basso/alto grado.
037	Collezionista di grandi corone	Medaglia ricevuta per aver ottenuto unagrande corona (oro) per 10 o più mostridi basso/alto grado.
038	Esperto di grandi corone	Medaglia ricevuta per aver ottenuto unagrande corona (oro) per molti mostri.
039	Novellino delle trappole	Medaglia ricevuta per aver catturatoun mostro per la prima volta.
040	Acciuffamostri	Medaglia ricevuta per aver catturato50 mostri.
041	Ammazzadraghi	Medaglia ricevuta per aver ucciso50 draghi anziani.
042	Gran talento	Medaglia ricevuta per aver cacciato100 mostri grandi.
043	Cacciatore di mostri	Medaglia ricevuta per aver cacciato500 mostri grandi.
044	S.O.S.!	Medaglia ricevuta per aver usatoun razzo SOS per chiedere aiuto.
045	Arriva la cavalleria!	Medaglia ricevuta per aver aiutatoa completare 10 missioni tramiterazzo SOS.
046	Squadra di caccia	Medaglia ricevuta per aver completatouna missione in modalità multigiocatore.
047	Squadrone di caccia	Medaglia ricevuta per aver completato100 missioni in modalità multigiocatore.
048	Passaparola	Medaglia ricevuta per aver collezionatopiù di 50 tessere gilda.
049	Cacciatore famoso	Medaglia ricevuta per aver raggiuntoil grado cacciatore 100.
000doc3	Trofei di Monster Hunter: World.	Invalid Message
050	Conquistatore dell'Oltreterra	Hai ottenuto tutte le medaglie diMonster Hunter World: Iceborne!
051	L'alba di una nuova avventura	Conquista il diritto di accettareincarichi maestro da 1<ICON STAR_1>.
052	Si comincia a fare sul serio	Conquista il diritto di accettareincarichi maestro da 2<ICON STAR_1>.
053	Lo sfuggente drago anziano	Conquista il diritto di accettareincarichi maestro da 3<ICON STAR_1>.
054	Spirito indomito	Conquista il diritto di accettareincarichi maestro da 4<ICON STAR_1>.
055	L'antico onnipresente	Conquista il diritto di accettareincarichi maestro da 5<ICON STAR_1>.
056	Non finisce qui	Medaglia ricevuta per aver svelatoil mistero dell'antico onnipresente.
057	Nuove terre da scoprire	Medaglia ricevuta per aver raggiuntole Terre guida.
058	Evoluzione in corso	Medaglia ricevuta per aver portatoun bioma al livello 7.
059	Caccia di materiali rari	Medaglia ricevuta per aver raccoltomateriali dai depositi minerari e dairesti di ossa giganti.
060	Segugio instancabile	Medaglia ricevuta per averanalizzato 50 tracce insolite.
061	Destino compiuto	Medaglia ricevuta per aver ucciso unNergigante razziatore nelle Terre guidae aver rimosso il limite grado maestro.
062	Maestro esploratore	Medaglia ricevuta per aver allestitotutti gli accampamenti nelle Distesebrinose.
063	Relax assicurato	Medaglia ricevuta per aver passatodel tempo in una sorgente termale.
064	Neofita del rampino	Medaglia ricevuta per aver studiatol'arte del rampino artiglio.
065	Barlume dorato	Medaglia ricevuta per aver catturatouna creatura che brilla come l'oronelle Distese brinose.
066	Suggerimento amichevole	Medaglia ricevuta per aver catturatouna creatura che sembra puntarea qualcosa.
067	Musica celestiale	Medaglia ricevuta per aver catturatouna creatura che produce una musicacelestiale.
