EC ID	EC SubID	Item ID	EC Name
0	0	-1	Unavailable
1	0	659	Lepre pastore
1	1	660	Lepre guida
2	0	661	Pteryx silvae
2	1	662	Pteryx nemoris
3	0	663	Sfarfalla blu
3	1	664	Sfarfalla chimera
4	0	665	Scalantide
5	0	666	Geco silvestre
5	1	667	Geco delle guglie
5	2	668	Geco tetro
5	3	669	Geco lunare
6	0	670	Vaporagno
6	1	671	Necrantola
7	0	672	Turpis rapacis
7	1	673	Avis glaciei
7	2	1792	Strepietro
8	0	674	Libellula premonitrice
8	1	675	Libellula augurale
9	0	676	Scagliastrello
9	1	945	Scagliastrello d'oro
10	0	677	Stercorario
10	1	678	Scarabombo
10	2	1793	Scarabeo niveo
11	0	679	Parexus rosa
11	1	680	Gran parexus rosa
12	0	681	Arowana scoppio
12	1	682	Arowana bomba
12	2	683	Gran arowana scoppio
12	3	684	Gran arowana bomba
13	0	685	Corallodola raffinata
13	1	686	Corallodola elegante
14	0	687	Pesce pescatore
15	0	688	Rallus mollis
15	1	689	Rallus rigidus
16	0	690	Balzotto
17	0	691	Petricante
18	0	692	Pararospo
18	1	693	Ronforospo
18	2	694	Nitrorospo
19	0	695	Tremogliola
19	1	696	Tremogliola regina
20	0	697	Vigorvespa
20	1	698	Vigorvespa gigante
21	0	699	Medusa fluttuante
22	0	700	Formica portatrice
23	0	701	Insetto ercole
23	1	702	Insetto ercole dorato
23	2	703	Insetto ercole arcobaleno
24	0	704	Cavalletta imperiale
24	1	705	Cavalletta tiranno
25	0	706	Insetto abbaglio
26	0	-1	羽虫
27	0	-1	ハエ
28	0	-1	ハチ
29	0	-1	蛍
30	0	707	Mantica
31	0	708	Elmopodo di ferro
31	1	709	Elmopodo guerriero
31	2	710	Elmopodo di smeraldo
31	3	946	Elmopodo d'oro
31	4	947	Elmopodo d'oro brillante
32	1	-1	苦蟲
32	2	-1	光蟲
32	3	-1	不死蟲
32	4	-1	雷光蟲
32	5	-1	佳餚蟲
33	0	711	Sgombro-coltello
33	1	712	Gran sgombro-coltello
34	0	713	Tonno ghiottone
34	1	714	Gran tonno ghiottone
35	0	715	Marlin reale
35	1	716	Gran marlin reale
36	0	-1	楔虫
37	0	717	Pesce dorato
37	1	718	Pesce platinato
37	2	719	Gran pesce dorato
37	3	720	Gran pesce platinato
38	0	721	Pesciolino dorato
38	1	722	Gran pesciolino dorato
39	0	723	Pesce-sushi
39	1	724	Gran pesce-sushi
40	0	725	Pesce pirico
40	1	726	Gran pesce pirico
41	0	948	Granchiorame
41	1	949	Granchioro
42	0	950	Tsuchinoko
43	0	968	Cactuar
43	1	951	Mascotte cactuar
43	2	967	Mascotte cactuar fiorito
44	0	958	Nekker
50	0	1455	Macaco argentato
50	1	1456	Macaco dorato
51	0	1458	Gambero scudato
52	0	1459	Lumaca lunare
53	0	1460	Pinguino batuffolo
54	0	1461	Geco cuspide
55	0	1462	Diva blu
56	0	1463	Liocorno nettuniano
57	0	1464	Parexus vitreo
57	1	1473	Gran parexus vitreo
58	0	1465	Ortica brumiluna
59	0	1466	Talpy
59	1	1467	Talpy muschiata
59	2	1468	Talpy rocciosa
59	3	1469	Talpy soffice
59	4	1470	Talpy spinosa
59	5	1471	Talpy furiosa
59	6	1472	Talpy glaciale
