Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	Rasoio Felyne	Spesso riduce il temponecessario per affilare.
CatSkill001_CAT_SKILL	Cavaliere Felyne	Montare in groppa ai mostridiventa più agevole.
CatSkill002_CAT_SKILL	Eroismo Felyne	Incrementa significativamentel'attacco quando la salute èpericolosamente bassa. 
CatSkill003_CAT_SKILL	Ricavo Felyne II	Spesso incrementa il numero dioggetti che puoi ricavare.
CatSkill004_CAT_SKILL	Ricavo Felyne I	A volte incrementa il numero dioggetti che puoi ricavare. 
CatSkill005_CAT_SKILL	Medico Felyne	Incrementa la quantità di saluterecuperata grazie agli oggetti.
CatSkill006_CAT_SKILL	Cintura nera Felyne	Riduce il consumo di resistenzaquando blocchi, schivi o eseguicerte altre azioni.
CatSkill007_CAT_SKILL	Piromane Felyne	Potenzia le bombe-botte grandirendendole mega bombe-botte.
CatSkill008_CAT_SKILL	Specialista Felyne	Incrementa la potenza degliattacchi con alterazioni distato.
CatSkill009_CAT_SKILL	Difensore Felyne II	Spesso riduce i danni subiti.
CatSkill010_CAT_SKILL	Difensore Felyne I	A volte riduce i danni subiti.
CatSkill011_CAT_SKILL	Irrequieto Felyne	Riduce l'attesa per la rigenerazionedei punti di raccolta.
CatSkill012_CAT_SKILL	Cecchino Felyne	Incrementa la potenza dei proiettilinormali e delle frecce normali.
CatSkill013_CAT_SKILL	Gatto fortunato	A volte incrementa il numerodelle ricompense ricevutealla fine di una missione.
CatSkill014_CAT_SKILL	Deviazione Felyne	La tua arma perde menoacutezza quando gli attacchivengono deviati.
CatSkill015_CAT_SKILL	L'arte della fuga Felyne	Riduce il consumo di resistenzadurante la fuga dai mostridi grandi dimensioni.
CatSkill016_CAT_SKILL	Velocista Felyne	Gli scatti consumano unaquantità minore di resistenzaquando trasporti un oggetto.
CatSkill017_CAT_SKILL	Equilibrista Felyne	Impedisce la respinta duranteil trasporto di oggetti. 
CatSkill018_CAT_SKILL	Debolezza Felyne	Incrementa la probabilità che imostri grandi incontrati nellemissioni siano più deboli.
CatSkill019_CAT_SKILL	Scambio Felyne	Incrementa il numero di punti ricercaottenuti alla fine di una missione.
CatSkill020_CAT_SKILL	Recupero Felyne II	Prolunga significativamentel'intervallo di invulnerabilitàquando ti rialzi.
CatSkill021_CAT_SKILL	Recupero Felyne I	Prolunga l'intervallo diinvulnerabilità quando ti rialzi.
CatSkill022_CAT_SKILL	Indole Felyne	Incrementa il danno dellabalestra, ma riduce laprecisione. 
