Delivery ID	Delivery Name	Delivery Reward
0	Un giovane albero vetusto	Catalizzatore
1	Crescete, mie piante	Mega fertilizzante
2	Una montagna di funghi	Spore di funghi scelti
3	Pifferaio dal pollice verde	Gelatina densa
4	Oltre il soffitto di foglie	Catalizzatore antico
5	Un confortevole giaciglio	Terreno fertile
6	Raccolto incontenibile	Espansione cassa raccolto
7	Soluzioni per lo stoccaggio	Espansione cassa raccolto
8	Accampamento: Foresta antica I	Accampamento [8]
9	Accampamento: Foresta antica II	Accampamento [17]
10	Accampamento: Guglie selvagge I	Accampamento [6]
11	Accampamento: Guglie selvagge II	Accampamento [11]
12	Accampamento: Guglie selvagge II	Accampamento [15]
13	Accampamento: Altipiani corallini	Accampamento [12]
14	Accampamento: Landa dei cristalli I	Accampamento [8]
15	Accampamento: Landa dei cristalli II	Accampamento [16]
16	Scorciatoia per la felicità	Salicorda
17	R&S armeria: impermeabilizzazione	Mantello impermeabile
18	R&S armeria: isolamento	Mantello antighiaccio
19	Funghi: il dono di Madre Natura	Tartufo reale
20	Banchetto di pesce	Branchie di Gajau
21	Gamberi sgargianti	Gambero corallino
22	Verdure da un milione di zenny	Cavolo multistrato
23	Un granchio millenario?!	Granchio millenario
24	Viva la lava al pomodoro	Pomosuccoso
25	Carne per la resistenza	Fesa gustosa
26	Arrosto con l'osso per la resistenza	Gran montone
27	Antico ma fresco!	Orata antica
28	Trasformista vegetale	Sedano aromatico
29	Paprica fantasmagorica	Paprica arcobaleno
30	Brindisi da maestro	Master Ale
31	Da sputare fiamme	Rathafia
32	Un prezioso aiuto	Tagliata di carne
