Food Code	Food Name	Food Desc
MEAT_00_ID	Cosciotto di wyvern	Succulento cosciotto di wyvern.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_01_ID	Bistecca di wyvern	Bistecca cotta alla brace.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_02_ID	Uovo di wyvern	Uovo fresco e gustoso, preso direttamentedal nido di un wyvern!<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_03_ID	Coda di wyvern	La coda di un wyvern volante, da provarealmeno una volta.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_04_ID	Testa di wyvern	Un ingrediente prelibato e d'alta cucina.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_05_ID	Filetto di wyvern	Il miglior taglio di carne di wyvern.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo coraggio.</STYL>
MEAT_06_ID	Carne dura	Masticandola potrai allenare le tue mandibole!<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_07_ID	Carne spinosa	Fai attenzione alle sue scaglie spinose.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_08_ID	Medaglione di prosciutto	Piuttosto costoso, ma ne vale la pena.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_09_ID	Salsiccia settespezie	Saporita e piccante al punto giusto.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_10_ID	Pancetta selvatica	Da tagliare rigorosamente a fette spesse.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_11_ID	Carpaccio marinato	Una delizia per il palato se inzuppatanella sua salsina segreta.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo recupero.</STYL>
MEAT_12_ID	Maiale ammuffito	Indispensabile per la dieta di ogni cacciatore.Forse è meglio togliere quella muffa!<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_13_ID	Arrosto di Apceros	Il preferito da ogni cacciatore.Da servire in porzioni abbondanti.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_14_ID	Tagliata di carne	Carne di discreta qualità.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_15_ID	Porchetta principesca	Nonostante la muffa sulla crosta,ha un aspetto piuttosto invitante.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_16_ID	Granburger	Talmente grande da rappresentareuna sfida per le tue mandibole.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_17_ID	Bisteccona	Una bistecca così succulenta, a cui èquasi impossibile dire di no.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo vigore.</STYL>
MEAT_18_ID	Fegato bianco	Apprezzato per la sua succulenza.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
MEAT_19_ID	Costoletta barbecue	Inaspettatamente grassa per una costoletta.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
MEAT_20_ID	Trippa pungente	L'odore è un po' pungente, ma il suosapore non ha eguali.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
MEAT_21_ID	Cuore bollente	Non è per tutti i palati. Da gustare ben cotto.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
MEAT_22_ID	Fesa gustosa	Gustoso taglio di carne ricavato da una delleparti di mostro più pregiate.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
MEAT_23_ID	Gran foie gras	Cremoso e dal gusto pieno e morbido.<STYL MOJI_YELLOW_DEFAULT>Probabilità di attivare le abilità di tipo acume.</STYL>
