Gallery ID	Gallery Name	Gallery Desc
EVC0001	Il viaggio ha inizio	La Quinta flotta si imbarca versoil Nuovo Mondo. <LSNR {Colmo} {Colma}> di speranze,<LSNR {un cacciatore} {una cacciatrice}> s'unisce alla spedizione.
EVC0002	Incontri 	Animi affini si incontrano, ma prestovengono bruscamente interrotti.Cosa sta succedendo?
EVC0003	Un Nuovo Mondo da ammirare	<LSNR {Il cacciatore} {La cacciatrice}> e l'assistente tentanouna fuga precipitosa dal misteriosocolosso, sorvolando il Nuovo Mondo.
EVC0051	Agguato nella foresta	Sperduti nella Foresta antica, i dueprovano a raggiungere la base, quandoun branco di Jagras complica tutto.
EVC0004	Effetto sorpresa	Preoccupata dalle tracce scoperte,l'assistente viene assalita propriodal mostro che li aveva lasciati andare.
EVC0005	Guai al punto di controllo	Appena prima di raggiungere la base,<LSNR {il cacciatore} {la cacciatrice}> si ritrova <LSNR {coinvolto} {coinvolta}> inuna violenta battaglia tra due mostri.
EVC0006	Astera	<LSNR {Sopravvissuti} {Sopravvissute}> all'inattesa avventura,<LSNR {il cacciatore} {la cacciatrice}> e l'assistente arrivanoalla base della commissione, Astera.
EVC0052	Fedele compagno di caccia	Dopo l'incidente con il mostrocolossale, <LSNR {il cacciatore} {la cacciatrice}> e il suocompagno possono finalmente riunirsi.
EVC0055	Maneggiare con cura	Nei pressi dell'accampamento distrutto,<LSNR {il cacciatore} {la cacciatrice}> e il capo della squadraoperativa si imbattono in un Kulu-Ya-Ku.
EVC0007	Seguendo gli insetti	Allertati dagli insetti guida, i nostriscorgono un Pukei-Pukei. Misteriosescorie roventi lo hanno innervosito.
EVC0056	Avventura tra le guglie	Nuove tracce potrebbero condurre alloZorah Magdaros. <LSNR {Il cacciatore} {La cacciatrice}> farà dascorta agli eruditi durante l'indagine.
EVC0008	Rischi del mestiere	Durante la raccolta dei campioni,il gruppo è attaccato da un Barroth,emerso con furia dal terreno.
EVC0009	Il saggio wyverniano	Dopo aver scortato gli eruditi allasalvezza, <LSNR {il cacciatore} {la cacciatrice}> incontra unmisterioso wyverniano della Prima flotta.
EVC0010	La palude irrequieta	<LSNR {Il cacciatore} {La cacciatrice}> trova l'erudito scomparso,paralizzato dalla paura dopo l'incontrocon un orribile mostro.
EVC0011	L'aggraziato Tobi-Kadachi	Seguendo con lo sguardo alcune piume,<LSNR {il cacciatore} {la cacciatrice}> si accorge di una nuovabelva, appostata in cima agli alberi.
EVC0012	Anjanath fuori controllo	<LSNR {Il cacciatore} {La cacciatrice}> tenta una mossa disperata:attirare in trappola un Anjanathferocemente territoriale.
EVC0013	Operazione di cattura	La commissione appronta un piano perla cattura dello Zorah Magdaros. Il misterodella traversata verrà svelato all'alba?
EVC0014	Il risultato finale	Un mostro ignoto ostacola l'operazione,ma <LSNR {il cacciatore} {la cacciatrice}> combatte allo stremoper respingerlo. La missione è salva?
EVC0015	Attraverso il Gran dirupo	Sulle tracce dello Zorah Magdaros,<LSNR {cacciatore} {cacciatrice}> e assistente valicanoil dirupo. La vista è incredibile!
EVC0060	Una difesa accecante	Un branco di Shamos sta per ghermireuno Tzitzi-Ya-Ku, quando l'intera areaviene avvolta da una luce accecante.
EVC0061	Il wyvern fluttuante	Perse per un momento le tracce di unastrana creatura volante, <LSNR {il cacciatore} {la cacciatrice}>si ritrova finalmente al suo cospetto.
