Item ID	Item Name	Item Type	Rare	Item Desc
0	--------	Material	0	Unavailable
1	Pozione	Item	0	Ripristina una modestaquantità di salute.
2	Mega pozione	Item	1	Ripristina una notevolequantità di salute.
3	Pillola della salute	Item	2	Aumenta le dimensioni della barrasalute, curandoti completamente.
4	Pillola antica	Item	4	Ripristina la salute e aumentale dimensioni della barra salutee della resistenza.
5	Antidoto	Item	0	Cura l'avvelenamento.
6	Rimedio erboristico	Item	1	Cura l'avvelenamento e ripristinauna piccola porzione di salute.
7	Nulbacca	Item	1	Misteriosa bacca che curaalcuni tipi di malus.
8	Bevanda energetica	Item	1	Bevanda approvata dalla Gilda cheaumenta la resistenza. Aiuta inoltrea svegliarsi dal sonno!
9	Razione	Item	0	Cibo che aumenta di pocola barra della resistenza.
10	Bistecca al sangue	Item	0	Carne cotta al sangue.Aumenta moderatamente la barradella resistenza.
11	Bistecca ben cotta	Item	1	Carne cotta al sangue.Aumenta moderatamente la barradella resistenza. Effetto prolungato.
12	Carne bruciata	Item	0	Carne carbonizzata.Aumenta leggermente la barradella resistenza. Si mangia in fretta.
13	Bevanda fresca	Item	0	Bevanda che aumentatemporaneamente laresistenza a forti calori.
14	Nutrienti	Item	1	Aumenta di pochissimo il livellomassimo della barra salute.
15	Mega nutrienti	Item	2	Aumenta di poco il livellomassimo della barra salute.
16	Immunizzatore	Item	2	Potenzia le tue capacitàcurative naturali.
17	Carne di Astera	Item	1	Rinomata carne di Astera.Migliora la guarigione naturalee cura il sanguinamento.
18	Succo sprint	Item	1	Succo che attenua l'affaticamento.Riduce il consumo di resistenzaper un periodo di tempo limitato.
19	Mega succo sprint	Material	3	Riduce il consumo di resistenzaper un periodo di tempo più a lungodel normale succo sprint.
20	Seme demoniaco	Item	1	Se lo ingerisci, migliora ilflusso energetico e aumentatemporaneamente l'attacco.
21	Siero demoniaco	Item	3	Aumenta il potere d'attacco,conferendo una forza demoniaca.
22	Mega siero demoniaco	Item	4	Aumenta il potere d'attacco.Più efficace del siero demoniaconormale.
23	Pillola della forza	Item	3	Pillola energetica che rendetemporaneamente fortissimi.
24	Seme della difesa	Item	1	Se lo ingerisci, induriscei tessuti e miglioratemporaneamente la difesa.
25	Siero armatura	Item	3	Aumenta la difesa e rendela pelle dura come il ferro.
26	Mega siero armatura	Item	4	Aumenta la difesa più delsiero armatura normale.
27	Pillola della difesa	Item	3	Pillola che rende la tua pelletemporaneamente durissima.
28	Polvere di vita	Item	3	Polvere che genera una nubein grado di ripristinare la salute.
29	Polvere d'erbe	Item	3	Polvere che genera una nubein grado di ripristinare la salutee curare l'avvelenamento.
30	Polvere demoniaca	Item	3	Polvere che genera una nubein grado aumentare l'attaccoper un breve periodo.
31	Polvere guscioduro	Item	3	Polvere che genera una nubein grado aumentare la difesaper un breve periodo.
32	Miele	Item	1	Miele dolce e dorato.Combinalo con una pozioneper creare una mega pozione.
33	Erba	Item	0	Ingrediente base delle pozioni.
34	Erba antidoto	Item	0	Ingrediente base degli antidoti.
35	Erba fuoco	Item	1	Una curiosa pianta altamenteinfiammabile. Utile per creareesplosivi.
36	Felce ruscello	Item	0	Le foglie di questa pianta sonocariche d'acqua. Utile per creareproiettili acqua.
37	Erba neve	Item	1	Pianta che emette aria gelida.Usata per creare proiettili ghiaccio.
38	Erba soporifera	Item	0	Pianta con proprietà soporifere.Usata per realizzare tranquillanti.
39	Edera	Item	0	Pianta leggera, ma molto resistente.Usata per creare trappole coperte.
40	Noce fumo	Item	0	Una noce che produce un fumo denso.Combinata con altri oggetti, generafumi con diverse proprietà.
41	Bacca drago	Item	3	Misteriosa bacca che si dicesia da sempre temuta dai draghi.Utile per creare proiettili drago.
42	Fungo blu	Item	1	Fungo particolare che ha l'effettodi aumentare la potenza deglioggetti curativi.
43	Mandragora	Item	2	Un fungo pericoloso. Si dice chesottragga vitalità alle persone.Utile per creare pillole della salute.
44	Fungo nitro	Item	1	Un fungo raro in grado di generareun forte calore. Utile per crearepolvere da sparo.
45	Fungo del diavolo	Item	1	Raro fungo pulsante di calore.Combinato con una bomba-botte,genera una violenta esplosione.
46	Fungo paralizzante	Item	2	Fungo che provoca paralisi.Utile per creare sfere soporifere.
47	Fungo velenoso	Item	1	Un fungo velenoso la cui tossinapuò essere cosparsa sulla lamadei coltelli.
48	Fungo stimolante	Item	2	Fungo dall'odore molto strano.Chissà se è commestibile...Utile per creare sfere del ritorno.
49	Insetto amaro	Item	0	Insetto dal sapore amarocon innate capacità curative.Un ingrediente per molte medicine.
50	Insetto lampo	Item	1	Un insetto che morendoemette un potente lampo.Utile per creare baccelli lampo.
51	Insetto divino	Item	3	Insetto particolarmente longevo.Combinalo con altri oggetti peraggiungere le sue proprietà.
52	Insetto elettrico	Item	3	Un insetto che, se colpito, emetteelettricità. Utile per creare trappolescossa e proiettili tuono.
53	Insetto dolcetto	Item	2	Un insetto usato come esca.I pesci non sapranno resistere.
54	Kelbi: corno	Item	3	Materiale non utilizzabile nellaforgiatura, ma elemento essenzialeper la creazione di vari oggetti.
55	Estratto sprint	Item	3	Misteriosa sostanza ricavabileda alcuni mostri.Aumenta la resistenza.
56	Estratto corroborante	Item	3	Può essere ricavato da alcuni mostri.È in grado di amplificare l'effetto dialcune medicine.
57	Sacca urlante	Item	1	L'organo di un mostro. Se rottoemette un suono straziante. Usatoper realizzare i baccelli urlanti.
58	Catalizzatore	Item	1	Usato con altri materialine migliora l'effetto.Solo per combinazioni.
59	Sfera soporifera	Item	2	Sfera fumogena usata percatturare i mostri intrappolati.
60	Baccello lampo	Item	1	Munizioni per la fionda cheabbagliano all'impatto. Scaglialecontro un mostro per accecarlo.
61	Baccello urlante	Item	1	Munizioni per la fionda. Emette unsuono stridulo ad alta frequenzache confonde i mostri sensibili.
62	Sfera fumogena	Item	1	Crea una grossa nube di fumo nellazona in cui esplode.
63	Sfera velenosa	Item	1	Rilascia un agente tossico.Si usa spesso per scacciaregli insetti dalle case.
64	Sfera del ritorno	Item	2	Chiama uno Pterowyvern e spostatirapidamente all'accampamento piùvicino. Può essere usato in battaglia.
65	Carne cruda	Item	0	Carne ottenuta da un mostro.Può essere cucinata o usatain trappole e creazioni.
66	Carne avvelenata	Item	1	Carne cruda che avvelenase mangiata.Usata come trappola.
67	Carne paralizzante	Item	1	Carne cruda che paralizzase mangiata.Usata come trappola.
68	Carne soporifera	Item	1	Carne cruda che addormentase mangiata.Usata come trappola.
69	Polvere da sparo	Item	1	Una sostanza pericolosa chepuò esplodere se colpita oriscaldata.
70	Botte piccola	Item	0	Piccola botte vuota.
71	Bomba-botte	Item	1	Piccola bomba a orologeria.
72	Bomba-missile	Item	1	Bomba modificata.Vola in aria quando è innescata.Occorre abilità per usarla.
73	Mega bomba-missile	Item	3	Versione migliorata dellabomba-missile.Occorre abilità per usarla.
74	Botte grande	Item	1	Botte grande vuota.Combinala con della polvereda sparo per creare una bomba.
75	Bomba-botte grande	Item	2	Potente bomba azionata daun impatto fisico esterno.
76	Mega bomba-botte	Item	3	Bomba-botte grande migliorata.Efficace contro grandi mostri.
77	Ragnatela	Item	0	Una ragnatela molto appiccicosa.Utile per creare trappole coperte.
78	Rete	Item	1	Una rete robusta in grado di reggereun certo peso senza rompersi.Ottima per le trappole coperte.
79	Intrappolatore	Item	2	Strumento necessario per piazzarevari tipi di trappole, comela trappola coperta.
80	Trappola coperta	Item	2	Trappola per catturare alcunimostri grandi. Si aziona quandorileva un grosso peso.
81	Trappola scossa	Item	2	Trappola in grado di immobilizzarei mostri. Usata per la cattura.
82	Letame appallottolato	Item	0	Sterco condensato di mostro.Usato per creare baccelliletame per la fionda.
83	Letame	Item	0	Emana un odore funesto.Usato per creare baccelli letameper la fionda.
84	Baccello letame	Item	1	Munizioni per la fionda.Il loro odore pungente è in gradodi mettere in fuga alcuni mostri.
85	Esca arowana	Item	1	Esca preferita dai pesci dellafamiglia arowana.
86	Esca pesce pirico	Item	1	Esca preferita dai pesci dellafamiglia pirica.
87	Esca pesce dorato	Item	1	Esca preferita dai pesci dellafamiglia dorata.
88	Boomerang	Item	3	Arma dalla forma insolitache torna al suo portatorequando viene lanciata.
89	Binocolo	Item	0	Strumento che consentedi osservare lontano.
90	Talismano della forza	Item	4	Talismano che aumentail potere d'attacco.Infonde una forza demoniaca.
91	Sperone demoniaco	Item	4	Talismano che aumenta l'attacco.Le parti di drago ne amplificanogli effetti.
92	Talismano della difesa	Item	4	Talismano che aumenta la difesa.Rende la pelle dura come la pietra.
93	Artiglio della difesa	Item	4	Talismano che aumenta la difesa.Le parti di drago ne amplificanogli effetti.
94	Bacca spillo	Item	0	Bacca ricoperta di spine,usata per creare proiettiliventaglio.
95	Noce esplosiva	Item	0	Noce usata per creareproiettili esplosivi.
96	Noce drago	Item	1	Noce che esplode all'impatto,usata per creare proiettili wyvern.
97	Fendibacca	Item	0	Usata per creare proiettililaceranti.
98	Baccappiccicosa	Item	0	Bacca con una scanalaturaa spirale, usata per creareproiettili perforanti.
99	Bacca-bomba	Item	1	Bacca che si rompe all'impatto,usata per creare proiettili grappolo.
100	Noce fiamma	Item	1	Usata per creare polvere dasparo, che aumenta la potenzadi fuoco dei proiettili.
101	Noce vampa	Item	1	Usata per creare polvere da sparo,aumentando notevolmente la potenza di fuoco dei proiettili.
102	Polvere da sparo lv.2	Item	1	Polvere combustibile. Combinalacon proiettili livello I peraumentarne il livello.
103	Polvere da sparo lv.3	Item	1	Polvere altamente combustibile.Combinala con proiettili livello Iper aumentarne il livello.
104	Pinna sgombro-coltello	Item	1	Usata per affilare le armi.Restituisce notevolmente l'acutezzama ha un uso limitato.
105	Pinna sgombro-coltello+	Item	3	Usata per affilare le armi.Con un po' di fortuna, può essereriutilizzata.
106	Scaglia pesce-sushi	Item	1	Scaglia di pesce-sushi. Ripristinauna quantità ridotta di salute.Cura il sanguinamento.
107	Scaglia gran pesce-sushi+	Item	3	Scaglia di gran pesce-sushi.Ripristina molta salute, accelera laguarigione e cura il sanguinamento.
108	Scaglia pesce pirico	Item	2	Le scaglie di un pesce pirico. Combinalecon una bomba-botte grande peraumentarne notevolmente la potenza.
109	Scaglia gran pesce pirico	Item	3	Le scaglie di un gran pesce pirico.Combinale con una bomba-botte grandeper creare una mega bomba-botte.
110	Scaglia arowana scoppio	Item	1	Le scaglie di un'arowana scoppio.Combinale con dell'erba fuoco percreare della polvere da sparo lv.2.
111	Scaglia gran arowana scoppio	Item	3	Le scaglie di una gran arowana scoppio.Combinale con dell'erba fuoco percreare della polvere da sparo lv.2.
112	Scaglia arowana bomba	Item	1	Le scaglie di un'arowana bomba.Combinale con dell'erba fuoco percreare della polvere da sparo lv.3.
113	Scaglia gran arowana bomba	Item	3	Le scaglie di una gran arowana bomba.Combinale con dell'erba fuoco percreare della polvere da sparo lv.3.
114	Cote	Item	3	Pietra portatile usata per affilarele armi. Ridona l'acutezza.
115	Rete da cattura	Item	3	Rete che può essere sparatacon la fionda per catturarepiccole creature.
116	Canna da pesca	Item	3	Strumento usato per la pesca.
117	Spiedo barbecue	Item	3	Uno strumento indispensabileper qualsiasi cacciatore.Serve a cuocere la carne.
118	Mantello mimetico	Item	3	Occulta temporaneamente allavista. L'effetto svanisce seattacchi o subisci danni.
119	Mantello tecnico	Item	3	Annulla i danni indotti da unattacco potente, schivandoautomaticamente.
120	Bengala guaritore	Item	3	Una volta nel terreno, emette una nubecurativa che permette il recupero dellasalute a chiunque si trovi all'interno.
121	Mantello stabilità	Item	3	Rimani immobile ad alcuni attacchi eavrai protezione da pressione vento,ruggito e sisma. I danni sono ridotti.
122	Mantello sfida	Item	3	Attira i mostri, permettendotidi condurli verso una posizionefavorevole.
123	Mantello vitalità	Item	3	Annulla una determinata quantitàdi danni. L'effetto svaniscese si subiscono danni maggiori.
124	Mantello ignifugo	Item	3	Riduce i danni elementali fuoco.Annulla i malus da fuoco, dascoppio e i danni da calore.
