Deco ID	Item ID	Deco Name	Slot Size
0	727	Gioiello resistenza veleno 1	1
1	728	Gioiello resistenza paralisi 1	1
2	729	Gioiello resistenza sonno 1	1
3	730	Gioiello resistenza stordimento 1	1
4	731	Gioiello resistenza scoppio 1	1
5	732	Gioiello resistenza sanguinamento 1	1
6	733	Gioiello pelle di ferro 1	1
7	734	Gioiello udito 3	3
8	735	Gioiello paravento 2	2
9	736	Gioiello antisismico 2	2
10	739	Gioiello attacco 1	1
11	740	Gioiello difesa 1	1
12	741	Gioiello salute 1	1
13	742	Gioiello guarigione 1	1
14	743	Gioiello resistenza fuoco 1	1
15	744	Gioiello resistenza acqua 1	1
16	745	Gioiello resistenza ghiaccio 1	1
17	746	Gioiello resistenza tuono 1	1
18	747	Gioiello resistenza drago 1	1
19	748	Gioiello resistenza malus 1	1
20	749	Gioiello attacco fuoco 1	1
21	750	Gioiello attacco acqua 1	1
22	751	Gioiello attacco ghiaccio 1	1
23	752	Gioiello attacco tuono 1 	1
24	753	Gioiello attacco drago 1	1
25	754	Gioiello attacco veleno 1	1
26	755	Gioiello attacco paralisi 1	1
27	756	Gioiello attacco sonno 1	1
28	757	Gioiello attacco scoppio 1	1
29	758	Gioiello applica veleno 3	3
30	759	Gioiello applica paralisi 3	3
31	760	Gioiello applica sonno 3	3
32	761	Gioiello applica scoppio 3	3
33	763	Gioiello rilascio 3	3
34	764	Gioiello occhio critico 1	1
35	765	Gioiello bonus critico 2	2
36	766	Gioiello punto debole 2	2
37	767	Gioiello concentrazione 2	2
38	768	Gioiello artigiano 3	3
39	769	Gioiello critico rapido 2	2
40	770	Gioiello spaccamostri 2	2
41	771	Gioiello battitore 2	2
42	772	Gioiello ruba resistenza 1	1
43	774	Gioiello minaccia aerea 2	2
44	775	Gioiello forza latente 2	2
45	776	Gioiello istigatore 2	2
46	777	Gioiello forma perfetta 2	2
47	778	Gioiello eroismo 2	2
48	779	Gioiello rafforzamento 1	1
49	780	Gioiello risentimento 2	2
50	781	Gioiello maestro del corno 1	1
51	782	Gioiello bonus capacità 2	2
52	783	Gioiello munizioni speciali 1	1
53	784	Gioiello artigliere 1	1
54	785	Gioiello artiglieria pesante 1	1
55	786	Gioiello maratoneta 2	2
56	787	Gioiello atleta 2	2
57	789	Gioiello super resistenza 2	2
58	790	Gioiello resistenza fame 1	1
59	791	Gioiello schivata 2	2
60	792	Gioiello schivata estesa 2	2
61	793	Gioiello blocco 1	1
62	794	Gioiello rinfodero veloce 1	1
63	795	Gioiello ampia area 1	1
64	796	Gioiello estensione oggetti 1	1
65	797	Gioiello pasto gratuito 1	1
