Mission ID	Mission Name	Mission Desc
0	Raccolta: depositi minerari	Raccogli dai depositi minerari per 6 volte.
1	Raccolta: depositi minerari	Raccogli dai depositi minerari per 12 volte.
2	Raccolta: resti di ossa	Raccogli dai resti di ossa per 6 volte.
3	Raccolta: resti di ossa	Raccogli dai resti di ossa per 12 volte.
4	Raccolta: piante	Raccogli delle piante per 4 volte.
5	Raccolta: piante	Raccogli delle piante per 7 volte.
6	Raccolta: funghi	Raccogli dei funghi per 4 volte.
7	Raccolta: funghi	Raccogli dei funghi per 7 volte.
8	Raccolta: insetti	Raccogli degli insetti per 3 volte.
9	Raccolta: insetti	Raccogli degli insetti per 5 volte.
10	Raccolta: miele	Raccogli del miele per 3 volte.
11	Raccolta: miele	Raccogli del miele per 5 volte.
12	Biologia: caccia mostri grandi	Caccia 2 mostri grandi.
13	Biologia: caccia mostri grandi	Caccia 1 mostro grande.
14	Biologia: cattura mostri grandi	Cattura 1 mostro grande.
15	Biologia: uccidi mostri piccoli	Uccidi 8 mostri piccoli.
16	Biologia: uccidi mostri piccoli	Uccidi 16 mostri piccoli.
17	Progressi di ricerca: Foresta antica	Completa 2 missioni nella Foresta antica.
18	Progressi di ricerca: Foresta antica	Completa 3 missioni nella Foresta antica.
19	Progressi di ricerca: Guglie selvagge	Completa 2 missioni alle Guglie selvagge.
20	Progressi di ricerca: Guglie selvagge	Completa 3 missioni alle Guglie selvagge.
21	Raccolta: depositi minerari	Raccogli dai depositi minerari per 9 volte.
22	Raccolta: depositi minerari	Raccogli dai depositi minerari per 15 volte.
23	Raccolta: resti di ossa	Raccogli dai resti di ossa per 9 volte.
24	Raccolta: resti di ossa	Raccogli dai resti di ossa per 15 volte.
25	Raccolta: piante	Raccogli delle piante per 5 volte.
26	Raccolta: piante	Raccogli delle piante per 8 volte.
27	Raccolta: funghi	Raccogli dei funghi per 5 volte.
28	Raccolta: funghi	Raccogli dei funghi per 8 volte.
29	Raccolta: insetti	Raccogli degli insetti per 4 volte.
30	Raccolta: insetti	Raccogli degli insetti per 7 volte.
31	Raccolta: miele	Raccogli del miele per 4 volte.
32	Raccolta: miele	Raccogli del miele per 7 volte.
33	Biologia: caccia mostri grandi	Caccia 3 mostri grandi.
34	Biologia: caccia mostri grandi	Caccia 2 mostri grandi.
35	Biologia: cattura mostri grandi	Cattura 2 mostri grandi.
36	Biologia: cattura mostri grandi	Cattura 1 mostro grande.
37	Biologia: uccidi mostri piccoli	Uccidi 10 mostri piccoli.
38	Biologia: uccidi mostri piccoli	Uccidi 20 mostri piccoli.
39	Biologia: caccia wyvern zannuti	Caccia 2 wyvern zannuti grandi.
40	Biologia: cattura wyvern zannuti	Cattura 1 wyvern zannuto grande.
41	Biologia: caccia wyvern rapaci	Caccia 2 wyvern rapaci grandi.
42	Biologia: cattura wyvern rapaci	Cattura 1 wyvern rapace grande.
43	Biologia: caccia wyvern brutali	Caccia 2 wyvern brutali grandi.
44	Biologia: cattura wyvern brutali	Cattura 1 wyvern brutale grande.
45	Biologia: caccia wyvern volanti	Caccia 2 wyvern volanti grandi.
46	Biologia: cattura wyvern volanti	Cattura 1 wyvern volante grande.
47	Progressi di ricerca: Foresta antica	Completa 2 missioni nella Foresta antica.
48	Progressi di ricerca: Foresta antica	Completa 3 missioni nella Foresta antica.
49	Progressi di ricerca: Guglie selvagge	Completa 2 missioni alle Guglie selvagge.
50	Progressi di ricerca: Guglie selvagge	Completa 3 missioni alle Guglie selvagge.
51	Progressi di ricerca: Altipiani corallini	Completa 2 missioni agli Altipiani corallini.
52	Progressi di ricerca: Altipiani corallini	Completa 3 missioni agli Altipiani corallini.
53	Progressi di ricerca: Valle putrefatta	Completa 2 missioni nella Valle putrefatta.
54	Progressi di ricerca: Valle putrefatta	Completa 3 missioni nella Valle putrefatta.
55	Progressi di ricerca: taglie	Completa 2 taglie.
56	Progressi di ricerca: taglie	Completa 3 taglie.
57	Biologia: caccia mostri grandi	Caccia 2 mostri grandi di alto grado.
58	Biologia: cattura mostri grandi	Cattura 1 mostro grande di alto grado.
59	Biologia: uccidi mostri piccoli	Uccidi 10 mostri piccoli di alto grado.
60	Progressi di ricerca: Foresta antica	Completa 2 missioni di alto grado nella Foresta antica.
61	Progressi di ricerca: Guglie selvagge	Completa 2 missioni di alto grado alle Guglie selvagge.
62	Progressi di ricerca: Altipiani corallini	Completa 2 missioni di alto grado agli Altipiani corallini.
63	Progressi di ricerca: Valle putrefatta	Completa 2 missioni di alto grado nella Valle putrefatta.
64	Progressi di ricerca: taglie	Completa 2 taglie di alto grado.
65	Raccolta: depositi minerari	Raccogli dai depositi minerari per 15 volte.
66	Raccolta: resti di ossa	Raccogli dai resti di ossa per 15 volte.
67	Raccolta: piante	Raccogli delle piante per 8 volte.
68	Raccolta: funghi	Raccogli dei funghi per 8 volte.
69	Raccolta: insetti	Raccogli degli insetti per 7 volte.
70	Raccolta: miele	Raccogli del miele per 7 volte.
71	Biologia: caccia mostri grandi	Caccia 3 mostri grandi di alto grado.
72	Biologia: cattura mostri grandi	Cattura 2 mostri grandi di alto grado.
73	Biologia: uccidi mostri piccoli	Uccidi 20 mostri piccoli di alto grado.
74	Biologia: caccia wyvern zannuti	Caccia 2 wyvern zannuti grandi di alto grado.
75	Biologia: cattura wyvern zannuti	Cattura 1 wyvern zannuto grande di alto grado.
76	Biologia: caccia wyvern rapaci	Caccia 2 wyvern rapaci grandi di alto grado.
77	Biologia: cattura wyvern rapaci	Cattura 1 wyvern rapace grande di alto grado.
78	Biologia: caccia wyvern brutali	Caccia 2 wyvern brutali grandi di alto grado.
79	Biologia: cattura wyvern brutali	Cattura 1 wyvern brutale grande di alto grado.
80	Biologia: caccia wyvern volanti	Caccia 2 wyvern volanti grandi di alto grado.
81	Biologia: cattura wyvern volanti	Cattura 1 wyvern volante grande di alto grado.
82	Biologia: caccia wyvern acquatici	Caccia 2 wyvern acquatici grandi di alto grado.
83	Biologia: cattura wyvern acquatici	Cattura 1 wyvern acquatico grande di alto grado.
84	Progressi di ricerca: Foresta antica	Completa 3 missioni di alto grado nella Foresta antica.
85	Progressi di ricerca: Guglie selvagge	Completa 3 missioni di alto grado alle Guglie selvagge.
86	Progressi di ricerca: Altipiani corallini	Completa 3 missioni di alto grado agli Altipiani corallini.
