Equip Type ID	Equip Type	Equip ID	Equip Name	File Path
0	Helmet	1	Copricapo di cuoio F	otomo/equip/ot001/helm
0	Helmet	28	Elmo d'osso F	otomo/equip/ot028/helm
0	Helmet	29	Elmo in lega F	otomo/equip/ot029/helm
0	Helmet	2	Elmo di Jagras F	otomo/equip/ot002/helm
0	Helmet	3	Turbante di Kulu F	otomo/equip/ot003/helm
0	Helmet	4	Cappuccio di Pukei F	otomo/equip/ot004/helm
0	Helmet	5	Elmo di Barroth F	otomo/equip/ot005/helm
0	Helmet	6	Elmo di Jyura F	otomo/equip/ot006/helm
0	Helmet	7	Cappuccio di Kadachi F	otomo/equip/ot007/helm
0	Helmet	8	Elmo di Anja F	otomo/equip/ot008/helm
0	Helmet	11	Copricapo di Lumu F	otomo/equip/ot011/helm
0	Helmet	9	Elmo di Rathian F	otomo/equip/ot009/helm
0	Helmet	13	Elmo di Baan F	otomo/equip/ot013/helm
0	Helmet	30	Cappello coccinella F	otomo/equip/ot030/helm
0	Helmet	12	Elmo di Legiana F	otomo/equip/ot012/helm
0	Helmet	14	Elmo di Odogaron F	otomo/equip/ot014/helm
0	Helmet	16	Elmo di Rathalos F	otomo/equip/ot016/helm
0	Helmet	17	Elmo di Diablos F	otomo/equip/ot017/helm
0	Helmet	18	Corno di Kirin F	otomo/equip/ot018/helm
0	Helmet	27	Cappuccio letale F	otomo/equip/ot027/helm
0	Helmet	32	Copricapo di cuoio F <ICON ALPHA>	otomo/equip/ot001/helm
0	Helmet	33	Elmo d'osso F <ICON ALPHA>	otomo/equip/ot028/helm
0	Helmet	34	Elmo in lega F <ICON ALPHA>	otomo/equip/ot029/helm
0	Helmet	35	Elmo di Jagras F <ICON ALPHA>	otomo/equip/ot002/helm
0	Helmet	36	Turbante di Kulu F <ICON ALPHA>	otomo/equip/ot003/helm
0	Helmet	37	Cappuccio di Pukei F <ICON ALPHA>	otomo/equip/ot004/helm
0	Helmet	38	Elmo di Barroth F <ICON ALPHA>	otomo/equip/ot005/helm
0	Helmet	39	Elmo di Jyura F <ICON ALPHA>	otomo/equip/ot006/helm
0	Helmet	40	Cappuccio di Kadachi F <ICON ALPHA>	otomo/equip/ot007/helm
0	Helmet	19	Corona di Zorah F <ICON ALPHA>	otomo/equip/ot019/helm
0	Helmet	41	Elmo di Anja F <ICON ALPHA>	otomo/equip/ot008/helm
0	Helmet	42	Copricapo di Lumu F <ICON ALPHA>	otomo/equip/ot011/helm
0	Helmet	43	Elmo di Rathian F <ICON ALPHA>	otomo/equip/ot009/helm
0	Helmet	44	Elmo di Baan F <ICON ALPHA>	otomo/equip/ot013/helm
0	Helmet	45	Cappello coccinella F <ICON ALPHA>	otomo/equip/ot030/helm
0	Helmet	46	Elmo di Legiana F <ICON ALPHA>	otomo/equip/ot012/helm
0	Helmet	47	Elmo di Odogaron F <ICON ALPHA>	otomo/equip/ot014/helm
0	Helmet	48	Elmo di Rathalos F <ICON ALPHA>	otomo/equip/ot016/helm
0	Helmet	49	Elmo di Diablos F <ICON ALPHA>	otomo/equip/ot017/helm
0	Helmet	50	Corno di Kirin F <ICON ALPHA>	otomo/equip/ot018/helm
0	Helmet	20	Elmo di Lavasioth F <ICON ALPHA>	otomo/equip/ot020/helm
0	Helmet	21	Elmo di Uragaan F <ICON ALPHA>	otomo/equip/ot021/helm
0	Helmet	26	Elmo di Bazel F <ICON ALPHA>	otomo/equip/ot026/helm
0	Helmet	51	Cappuccio letale F <ICON ALPHA>	otomo/equip/ot027/helm
0	Helmet	52	Maschera Gajalaka F <ICON ALPHA>	otomo/equip/ot031/helm
0	Helmet	10	Elmo di Nergigante F <ICON ALPHA>	otomo/equip/ot010/helm
0	Helmet	15	Teschio Vaal F <ICON ALPHA>	otomo/equip/ot015/helm
0	Helmet	22	Corona Kaiser F <ICON ALPHA>	otomo/equip/ot022/helm
0	Helmet	23	Ringhio di Daora F <ICON ALPHA>	otomo/equip/ot023/helm
