Pendant ID	Pendant Code	Pendant Name	Model
0	CHARM_000_NAME	Medaglia della Gilda di bronzo	charm002
1	CHARM_001_NAME	Medaglia della Gilda d'argento	charm002
2	CHARM_002_NAME	Medaglia della Gilda d'oro	charm002
3	CHARM_003_NAME	Vessillo di bronzo rosso	charm003
4	CHARM_004_NAME	Vessillo di bronzo giallo	charm003
5	CHARM_005_NAME	Vessillo di bronzo blu	charm003
6	CHARM_006_NAME	Vessillo di bronzo rosa	charm003
7	CHARM_007_NAME	Vessillo di bronzo verde	charm003
8	CHARM_008_NAME	Vessillo di bronzo grigio	charm003
9	CHARM_009_NAME	Vessillo di bronzo marrone	charm003
10	CHARM_010_NAME	Vessillo d'argento bianco	charm003
11	CHARM_011_NAME	Vessillo d'argento rosso	charm003
12	CHARM_012_NAME	Vessillo d'argento verde	charm003
13	CHARM_013_NAME	Vessillo d'argento ciano	charm003
14	CHARM_014_NAME	Vessillo d'argento viola	charm003
15	CHARM_015_NAME	Vessillo d'argento rosa	charm003
16	CHARM_016_NAME	Vessillo d'argento arancione	charm003
17	CHARM_017_NAME	Vessillo d'oro marrone	charm003
18	CHARM_018_NAME	Vessillo d'oro bianco	charm003
19	CHARM_019_NAME	Vessillo d'oro verde scuro	charm003
20	CHARM_020_NAME	Vessillo d'oro verde chiaro	charm003
21	CHARM_021_NAME	Vessillo d'oro viola	charm003
22	CHARM_022_NAME	Vessillo d'oro arancione	charm003
23	CHARM_023_NAME	Vessillo d'oro blu	charm003
24	CHARM_024_NAME	Cristallo guida di smeraldo	charm004
25	CHARM_025_NAME	Cristallo guida della foresta	charm004
26	CHARM_026_NAME	Cristallo guida del sole	charm004
27	CHARM_027_NAME	Cristallo guida del tramonto	charm004
28	CHARM_028_NAME	Cristallo guida di morganite	charm004
29	CHARM_029_NAME	Cristallo guida di celestite	charm004
30	CHARM_030_NAME	Cristallo guida di citrino	charm004
31	CHARM_031_NAME	Cristallo guida di diamante	charm004
32	CHARM_032_NAME	Cristallo guida cremisi	charm004
33	CHARM_033_NAME	Cristallo guida di ematite	charm004
34	CHARM_034_NAME	Cristallo guida di ghiacciaio	charm004
35	CHARM_035_NAME	Cristallo guida di tanzanite	charm004
36	CHARM_036_NAME	Stella guida silvana	charm001
37	CHARM_037_NAME	Stella guida desolata	charm001
38	CHARM_038_NAME	Stella guida corallina	charm001
39	CHARM_039_NAME	Stella guida di effluvi	charm001
40	CHARM_040_NAME	Stella guida di magma	charm001
41	CHARM_041_NAME	Stella guida di brina	charm001
42	CHARM_042_NAME	Simbolo cacciatore di bronzo	charm005
43	CHARM_043_NAME	Simbolo cacciatore d'argento	charm005
44	CHARM_044_NAME	Simbolo cacciatore d'oro	charm005
45	CHARM_045_NAME	Simbolo maestro di diamante	charm005
46	CHARM_046_NAME	Simbolo maestro di rubino	charm005
47	CHARM_047_NAME	Simbolo maestro di smeraldo	charm005
48	CHARM_048_NAME	Simbolo maestro d'ambra	charm005
49	CHARM_049_NAME	Simbolo maestro di zaffiro	charm005
50	CHARM_050_NAME	Simbolo maestro di topazio	charm005
51	CHARM_051_NAME	Simbolo maestro d'ametista	charm005
52	CHARM_052_NAME	Simbolo maestro d'oro rosso	charm005
53	CHARM_053_NAME	Simbolo maestro d'oro blu	charm005
54	CHARM_054_NAME	Simbolo maestro di bronzo	charm005
55	CHARM_055_NAME	Simbolo maestro blu	charm005
56	CHARM_056_NAME	Simbolo maestro viola	charm005
57	CHARM_057_NAME	Simbolo maestro d'ossidiana	charm005
58	CHARM_058_NAME	Simbolo maestro rosso	charm005
59	CHARM_059_NAME	Simbolo maestro verde	charm005
60	CHARM_060_NAME	Simbolo maestro rosa	charm005
61	CHARM_061_NAME	Bouquet floreale	charm006
62	CHARM_062_NAME	Sole sfrigolante	charm007
63	CHARM_063_NAME	Pipistrello vampiro	charm008
64	CHARM_064_NAME	Tigre fortunata rossa	charm009
65	CHARM_065_NAME	Ornamento astrale azzurro	charm010
66	CHARM_066_NAME	Artigli di Rajang	charm011
67	CHARM_067_NAME	Corno di Rajang furioso	charm012
68	CHARM_068_NAME	Artigli Zinogre stigeo	charm013
69	CHARM_069_NAME	Corno rosso dell'eroe	charm014
70	CHARM_070_NAME	Frammento di Brachydios rabbioso	charm015
71	CHARM_071_NAME	Frammento di Alatreon	charm016
72	CHARM_072_NAME	Artigli di Rathian dorata	charm017
73	CHARM_073_NAME	Artigli di Rathalos argentato	charm018
74	DUMMY000000	Unavailable	charm001
75	DUMMY000001	Unavailable	charm001
76	DUMMY000002	Unavailable	charm001
77	DUMMY000003	Unavailable	charm001
78	DUMMY000004	Unavailable	charm001
79	DUMMY000005	Unavailable	charm001
80	DUMMY000006	Unavailable	charm001
81	CHARM_081_NAME	Frammento di Velkhana arcitemprato	charm026
82	CHARM_082_NAME	Frammento di Namielle arcitemprato	charm027
83	DUMMY000007	Unavailable	charm001
84	DUMMY000008	Unavailable	charm001
