Quest ID	Quest Name	Quest Target	Fail Condition
00000	Unavailable	Unavailable	Unavailable
00001	Unavailable	Unavailable	Unavailable
00002	Unavailable	Unavailable	Unavailable
00003	Invalid Message	Invalid Message	Invalid Message
00004	Invalid Message	Invalid Message	Invalid Message
00005	Invalid Message	Invalid Message	Invalid Message
00101	Jagras della Foresta antica	Uccidi 7 Jagras	- Tempo scaduto- Tre svenimenti
00102	Sfratto dei Kestodon	Completa l'incarico	- Tempo scaduto- Tre svenimenti
00103	Caccia al Gran Jagras	Caccia un Gran Jagras	- Tempo scaduto- Tre svenimenti
00151	Testa a testa con la natura	Uccidi 12 Kestodon	- Tempo scaduto- Tre svenimenti
00152	Ressa di rissosi	Uccidi 7 Jagras	- Tempo scaduto- Tre svenimenti
00153	A caccia di funghi nella Foresta antica	Ottieni 20 funghi gran gourmet	- Tempo scaduto- Tre svenimenti
00201	Un ladro dal cervello di gallina	Caccia un Kulu-Ya-Ku	- Tempo scaduto- Tre svenimenti
00205	Urgente: caccia al Pukei-Pukei	Caccia un Pukei-Pukei	- Tempo scaduto- Tre svenimenti
00241	L'arte del rampino	Apprendi le meccanichedel rampino artiglio	- Tempo scaduto- Tre svenimenti- Gran Jagras cacciato
00251	Il gran ghiottone	Caccia un Gran Jagras	- Tempo scaduto- Tre svenimenti
00252	Gallo scroccone	Caccia un Kulu-Ya-Ku	- Tempo scaduto- Tre svenimenti
00261	Caccia al ladro	Cattura un Kulu-Ya-Ku	- Tempo scaduto- Tre svenimenti- Kulu-Ya-Ku ucciso
00262	Chi la dura la vince	Uccidi 7 Gajau	- Tempo scaduto- Tre svenimenti
00263	Lo sterminatore delle Guglie	Uccidi 14 Vespoid	- Tempo scaduto- Tre svenimenti
00301	La missione ideale	Completa l'incarico	- Tempo scaduto- Tre svenimenti
00302	Ombre sinistre nella palude	Completa l'incarico	- Tempo scaduto- Tre svenimenti
00305	Scintille volanti: Tobi-Kadachi	Caccia un Tobi-Kadachi	- Tempo scaduto- Tre svenimenti
00306	Quell'invadente di un Anjanath	Caccia un Anjanath	- Tempo scaduto- Tre svenimenti
00331	Arena speciale: Pukei-Pukei	Caccia un Pukei-Pukei	- Tempo scaduto- Tre svenimenti
00332	Arena speciale: Barroth	Caccia un Barroth	- Tempo scaduto- Tre svenimenti
00333	Arena speciale: Tobi-Kadachi	Caccia un Tobi-Kadachi	- Tempo scaduto- Tre svenimenti
00351	La noce scoppio non stroppia	Caccia un Pukei-Pukei	- Tempo scaduto- Tre svenimenti
00352	La situazione attuale	Caccia un Tobi-Kadachi	- Tempo scaduto- Tre svenimenti
00361	Subbuglio tra le Guglie	Caccia un Barroth	- Tempo scaduto- Tre svenimenti
00362	Problematica acquatica	Caccia un Jyuratodus	- Tempo scaduto- Tre svenimenti
00363	Situazione spinosa	Ottieni 20 cactus ninnoli	- Tempo scaduto- Tre svenimenti
00364	Tuorli tra le Guglie	Ottieni 2 uova d'erbivoro	- Tempo scaduto- Tre svenimenti
00365	Frena il wyvern delle frane	Cattura un Barroth	- Tempo scaduto- Tre svenimenti- Barroth ucciso
00401	È ora di scrivere la storia	Completa l'incarico	- Tempo scaduto- Tre svenimenti
