Skill ID	Skill Code	Skill Name	Skill Desc
0	DUMMY000000	Unavailable	Unavailable
1	G_PT_POISON_RESIST_SKILL_PT	Resistenza veleno	Riduce i danni durante l’avvelenamento.
2	PT_PARALYSIS_RESIST_SKILL_PT	Resistenza paralisi	Riduce la durata della paralisi.
3	PT_SLEEP_RESIST_SKILL_PT	Resistenza sonno	Riduce la durata del sonno.
4	PT_STUN_RESIST_SKILL_PT	Resistenza stordimento	Riduce la durata dello stordimento.
5	PT_DARUMA_RESIST_SKILL_PT	Resistenza melma	Riduce le limitazioni di movimentose impantanato nella melma di mostro.
6	PT_BOMB_RES_SKILL_PT	Resistenza scoppio	Protegge dal malus da scoppio.
7	PT_PT_SCAR_RES_SKILL_PT	Resistenza sanguinamento	Protegge dal sanguinamento.
8	PT_DEFDOWN_RESIST_SKILL_PT	Pelle di ferro	Protegge da difesa ridotta.
9	DUMMY000003	Unavailable	Unavailable
10	DUMMY000006	Unavailable	Unavailable
11	PT_EARPLUG_SKILL_PT	Protezione udito	Protegge dai ruggitidi alcuni mostri grandi. 
12	PT_HUUATU_SKILL_PT	Paravento	Protegge dalla pressione del vento.
13	PT_EATHQUAKE_RESIST_SKILL_PT	Antisismico	Protegge dai sussulti del terreno.
14	PT_UNKO_SKILL_PT	Letamastro	I mostri colpiti dai baccelli letamehanno più probabilità di fuggire.
15	DUMMY000009	Unavailable	Unavailable
16	PT_MIASMA_ADAPT_SKILL_PT	Esperto di effluvi	Riduce o annulla i danni ambientalinella Valle putrefatta.
17	PT_ADAPT_SKILL_PT	Anticalore	Annulla i danni da calore.
18	DUMMY000012	Unavailable	Unavailable
19	PT_ATK_SKILL_PT	Bonus attacco	Incrementa attacco e affinità.
20	PT_DEF_SKILL_PT	Bonus difesa	Incrementa la difesa e le resistenzeelementali.
21	PT_VIT_SKILL_PT	Bonus salute	Incrementa la salute.
22	PT_HEEL_SKILL_PT	Bonus cura	Incrementa la quantità di saluterecuperata durante una cura. 
