Stage ID	Stage Name
ST101	Foresta antica
ST102	Guglie selvagge
ST103	Altipiani corallini
ST104	Valle putrefatta
ST105	Landa dei cristalli
ST106	Gran dirupo
ST107	Gran dirupo
ST201	Arena speciale
ST202	Arena
ST301	Astera
ST302	Caccia celeste
ST303	Base di ricerca
ST304	
ST401	
ST402	
ST403	Torrente eterno
ST404	
ST405	Caverna del fato
ST406	???
ST409	Caverne di El Dorado
ST501	Alloggi comuni
ST502	Alloggi privati
ST503	Suite privata
ST504	Area di addestramento
ST505	Antro dei cinque
ST301_1	Astera
ST108	Distese brinose
ST305	Seliana
ST305s	Seliana
ST109	Terre guida
ST411	Riserva scorte Seliana
ST412	Isola delle origini
ST302s	Caccia celeste
ST306s	Taverna lunare
ST301m	Astera
ST305m	Seliana
ST506	Alloggi di Seliana
ST302_S	Taverna lunare
ST415	Valle remota
ST416	Valle remota
ST417	Castello di Schrade
ST203	Riserva scorte Seliana
