Weapon Type ID	Weapon Type	Weapon ID	Weapon Name	Rare	Model Type	Main Model Path	Sub Model Path
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	0	Unavailable	0	Combined Model	wp/two/two002	
0	GreatSword	11	Spada devastatrice II	0	Combined Model	wp/two/two002	
0	GreatSword	13	Lama devastatrice I	0	Combined Model	wp/two/two002	
0	GreatSword	14	Lama devastatrice II	1	Combined Model	wp/two/two002	
0	GreatSword	15	Lama devastatrice III	2	Combined Model	wp/two/two002	
0	GreatSword	17	Rasoio cromato II	3	Combined Model	wp/two/two002	
0	GreatSword	18	Giudice Nergi	4	Combined Model	wp/two/two002	
0	GreatSword	19	Purificazione atroce	5	Combined Model	wp/two/two002	
0	GreatSword	21	Lama del tuono II	5	Combined Model	wp/two/two002	
0	GreatSword	22	Punitore lampante I	6	Combined Model	wp/two/two003	wp/two/parts/op_two005
0	GreatSword	24	Punitore lampante III	7	Unique Model	wp/two/two004	
0	GreatSword	26	Lama Jagras II	2	Combined Model	wp/two/two002	
0	GreatSword	28	Dismembratore Jagras I	3	Combined Model	wp/two/two002	
0	GreatSword	29	Dismembratore Jagras II	4	Combined Model	wp/two/two003	
0	GreatSword	31	Lama Girros I	5	Combined Model	wp/two/two003	
0	GreatSword	32	Lama Girros II	5	Combined Model	wp/two/two003	
0	GreatSword	33	Bacio infetto I	3	Combined Model	wp/two/two002	
0	GreatSword	35	Bacio infetto III	4	Combined Model	wp/two/two002	
0	GreatSword	36	Vampa Lava I	5	Combined Model	wp/two/two001	
0	GreatSword	38	Lama piumata I	5	Combined Model	wp/two/two001	
0	GreatSword	39	Lama piumata II	1	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	41	Vampa datura I	2	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	42	Vampa datura II	3	Combined Model	wp/two/two002	wp/two/parts/op_two003
0	GreatSword	43	Vampa datura III	4	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	45	Lama infuocata II	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	46	Ala rossa	5	Combined Model	wp/two/two003	wp/two/parts/op_two003
0	GreatSword	47	Ala blu	2	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	49	Lama d'osso I	3	Combined Model	wp/two/two002	wp/two/parts/op_two006
0	GreatSword	50	Lama d'osso II	4	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	52	Affettatore d'osso I	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	53	Affettatore d'osso II	5	Combined Model	wp/two/two001	wp/two/parts/op_two006
0	GreatSword	54	Affettatore d'osso III	5	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	56	Mascellama gigante II	6	Combined Model	wp/two/two001	wp/two/parts/op_two009
0	GreatSword	57	Kys Hazak	1	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	59	Flammenzahn I	2	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	60	Flammenzahn II	3	Combined Model	wp/two/two002	wp/two/parts/op_two002
0	GreatSword	61	Flammenzahn III	4	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	63	Affettatore acquatico II	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	64	Affettatore acquatico III	5	Combined Model	wp/two/two001	wp/two/parts/op_two002
0	GreatSword	65	Golem d'acqua I	3	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	67	Golem d'acqua III	4	Combined Model	wp/two/two002	wp/two/parts/op_two001
0	GreatSword	68	Devastatore carapace I	5	Unique Model	wp/two/two003	
0	GreatSword	70	Devastatore carapace III	6	Unique Model	wp/two/two008	
0	GreatSword	72	Trinciatore Barroth II	7	Unique Model	wp/two/two008	
0	GreatSword	73	Trinciatore Barroth III	0	Combined Model	wp/two/two005	
0	GreatSword	75	Lama chiodata II	0	Combined Model	wp/two/two005	
0	GreatSword	76	Lastra Radobaan I	1	Combined Model	wp/two/two005	
0	GreatSword	77	Lastra Radobaan II	2	Combined Model	wp/two/two005	
0	GreatSword	79	Spadone dragosso I	3	Combined Model	wp/two/two005	
0	GreatSword	80	Spadone dragosso II	4	Combined Model	wp/two/two005	
0	GreatSword	81	Spadone dragosso III	5	Combined Model	wp/two/two006	
0	GreatSword	83	Spada-tuono	5	Combined Model	wp/two/two006	
0	GreatSword	84	Spada-tuono Kirin	6	Combined Model	wp/two/two006	wp/two/parts/op_two008
0	GreatSword	86	Spadone neracciaio I	7	Unique Model	wp/two/two006	
0	GreatSword	88	Taglio ghiacciaio	2	Unique Model	wp/two/two005	
0	GreatSword	90	Maliq Xeno	4	Unique Model	wp/two/two005	
0	GreatSword	91	Mascellama wyvern	6	Unique Model	wp/two/two005	
0	GreatSword	92	Gran mascellama wyvern	1	Combined Model	wp/two/two005	
0	GreatSword	94	Lama gelante I	2	Combined Model	wp/two/two005	
0	GreatSword	95	Lama gelante II	3	Combined Model	wp/two/two005	
0	GreatSword	96	Vampa ghiacciante I	4	Combined Model	wp/two/two004	
0	GreatSword	98	Potestas Magda I	5	Combined Model	wp/two/two004	
0	GreatSword	99	"Vampata wyvern ""Impatto"""	5	Combined Model	wp/two/two004	
0	GreatSword	100	Gladio oro acqua	1	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	102	Gladio oro sonno	2	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	103	Gladio oro Jagras	3	Combined Model	wp/two/two005	wp/two/parts/op_two004
0	GreatSword	104	Gladio oro Pukei	4	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	106	Gladio oro Girros	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	107	Gladio oro Baan	5	Combined Model	wp/two/two006	wp/two/parts/op_two004
0	GreatSword	108	Gladio oro Vaal	2	Combined Model	wp/two/two005	wp/two/parts/op_two007
0	GreatSword	110	Gladio oro Lava	3	Combined Model	wp/two/two005	wp/two/parts/op_two007
