Askill ID	Askill Code	Askill Name	Askill Upgrade Name	Askill Desc
0	ASkill001	隠れ身の装衣	隠れ身の装衣・改	一定時間、モンスターの視界から身を隠せる。攻撃を行うか、ダメージを受けると効果が終了する。
1	ASkill002	転身の装衣	転身の装衣・改	威力の高い攻撃を受けた時、ダメージを無効化し、自動で回避行動を行う。
2	ASkill003	癒しの煙筒	癒しの煙筒・改	煙筒を設置し、プレイヤーの体力を徐々に回復させる煙を発生させる。
3	ASkill004	不動の装衣	不動の装衣・改	ダメージのリアクションが無くなり風圧無効、聴覚保護、耐震の効果を得る。受けるダメージが減少する。
4	ASkill005	挑発の装衣	挑発の装衣・改	モンスターに狙われやすくなり、モンスターを望む場所に誘い出せる。攻撃を当て続けたり、受けると効果が終了する。
5	ASkill006	体力の装衣	体力の装衣・改	一定量のダメージを吸収する。吸収量の限界を超えると、効果が終了する。
6	ASkill007	耐熱の装衣	耐熱の装衣・改	火属性のダメージを軽減する。また、火属性やられ、爆破やられ、熱い地形のダメージを無効化する。
7	ASkill008	耐水の装衣	耐水の装衣・改	水属性のダメージを軽減する。また、水属性やられと深い水場での行動制限を無効化し、泥はまりの行動制限も軽減する。
8	ASkill009	耐寒の装衣	耐寒の装衣・改	氷属性のダメージを軽減する。氷属性やられを無効化する。
9	ASkill010	耐雷の装衣	耐雷の装衣・改	雷属性のダメージを軽減する。雷属性やられと麻痺を無効化する。
10	ASkill011	耐龍の装衣	耐龍の装衣・改	龍属性のダメージを軽減する。龍属性やられを無効化し、武器の持つ龍属性を強化する。
11	ASkill012	解除の煙筒	解除の煙筒・改	煙筒を設置し、あらゆる状態異常や属性やられを回復する煙を発生させる。
14	ASkill015	滑空の装衣	滑空の装衣・改	ジャンプの滞空時間が長くなる。強風の吹く場所では、風に乗って移動できる。また、ジャンプ攻撃でモンスターに乗りやすくなる。
15	ASkill016	回避の装衣	回避の装衣・改	回避行動中の無敵時間が長くなる。モンスターの攻撃を、直前で回避すると、一時的に攻撃力が上がる。
16	ASkill017	強打の装衣	強打の装衣・改	ほとんどの攻撃に気絶値を追加する。また、すでに気絶値のある攻撃の場合は、その効果を上げる。
17	ASkill018	化合の装衣	化合の装衣・改	状態異常属性を持つ武器を当てた時属性値を与える攻撃の発動確率が上がる。
18	ASkill019	免疫の装衣	免疫の装衣・改	あらゆる状態異常や属性やられを回復し、効果中は状態異常や属性やられにならなくなる。
19	ASkill020	達人の煙筒	達人の煙筒・改	煙筒を設置し、プレイヤーの会心率を上げる煙を発生させる。
20	ASkill021	追い剥ぎの装衣	追い剥ぎの装衣・改	大型モンスターを攻撃することで、換金性の高いアイテムを落とさせることができるようになる。
21	ASkill022	アサシンの装衣	アサシンの装衣・改	一部の移動が速くなり、気配を素早く隠せるアサシンの衣装。気づいていないモンスターを攻撃すると大きなダメージを与え、効果が終了する。
