Achieve ID	Achieve Name	Achieve Desc
000	新大陸の覇者	すべての勲章を獲得した
001	ハンターライフの幕開け	★２のクエストに挑戦できるようになった
002	調査の進展	★３のクエストに挑戦できるようになった
003	拠点の守護者	★４のクエストに挑戦できるようになった
004	さらなる深部へ	★５のクエストに挑戦できるようになった
005	安らかに眠れ	ゾラ・マグダラオスの誘導に成功した
006	大地の恵みと美しき女王	★７のクエストに挑戦できるようになった
007	激闘の勝者	★８のクエストに挑戦できるようになった
008	導きの青い星	古龍渡りの謎を解明した
009	ハンターライフはやめられない！	「フリークエスト」を５０回クリアした
010	探究の心	初めて「調査クエスト」をクリアした
011	調査団の要	「調査クエスト」を５０回クリアした
012	腕試し！	初めて「闘技大会クエスト」をクリアした
013	高みを目指して	「闘技大会クエスト」を５０回クリアした
014	新大陸の開拓者	キャンプを５か所に設置した
015	環境利用は狩人のたしなみ	草陰に隠れてジャグラスから逃れた
016	はじめてのフィッシング	初めて釣りに成功した
017	上手に焼けました！	初めてこんがり肉を焼いた
018	倒れる巨体	初めて乗りに成功した
019	生きた化石と遭遇	生きた化石と呼ばれる魚を釣り上げた
020	フワフワな抱きごこち	フワフワな抱きごこちの生物を捕まえた
021	ゴワゴワな手触り	ゴワゴワな手触りの生物を捕まえた
022	虹色の輝き	虹色に輝く生物を捕まえた
023	調査団の務め	累計１０万調査ポイントを貰った
024	ブルジョワハンター	１００万ゼニーを所持した
025	鉄壁のハンター	とても貴重な防具を５種類入手した
026	力こそすべて	とても貴重な武器を５種類入手した
027	新生活	マイハウスを引っ越した
028	はじめてのオトモダチ	初めてオトモダチができた
029	頼れる相棒	いずれかのオトモ道具の熟練度を１０にした
030	モンスター博士	多くの大型モンスターの上位までの研究レベルをＭＡＸにした
031	歴戦のモンスター	初めて歴戦の個体を狩猟した
032	怖いもの無し	歴戦の個体を５０頭狩猟した
033	ミニチュアクラウン	狩猟記録に記録される下位、上位から登場するモンスターに初めて最小冠をつけた
034	ミニチュアコレクタークラウン	狩猟記録に記録される下位、上位から登場するモンスター１０頭以上に最小冠をつけた
035	ミニチュアマスタークラウン	狩猟記録に記録される多くのモンスターに最小冠をつけた
036	ビッグクラウン	狩猟記録に記録される下位、上位から登場するモンスターに初めて銀冠以上をつけた
037	ビッグコレクタークラウン	狩猟記録に記録される下位、上位から登場するモンスター１０頭以上に金冠をつけた
038	ビッグマスタークラウン	狩猟記録に記録される多くのモンスターに金冠をつけた
039	はじめての生け捕り	初めてモンスターを捕獲した
040	生け捕りのプロ	モンスターを５０頭捕獲した
041	龍を滅ぼす者	古龍を５０体討伐した
042	モンスタースレイヤー	大型モンスターを１００頭狩猟した
043	モンスターハンター	大型モンスターを５００頭狩猟した
044	ＨＥＬＰ！	初めて救難信号を撃った
045	お助けハンター	救難信号によるクエストに参加し、１０回クリアした
046	仲間と共に	マルチプレイでクエストをクリアした
047	仲間と共に、いつまでも	マルチプレイでクエストを１００回クリアした
048	広がる絆	ギルドカードを５０枚以上集めた
049	ベテランハンター	ハンターランクが１００になった
000doc3	「モンスターハンター：ワールド」のトロフィーセット。	「モンスターハンター：ワールド」のトロフィーセット。
050	稀代のハンター	「モンスターハンターワールド：アイスボーン」のすべての勲章を獲得した
051	新たなる調査の始まり	Ｍ★１のクエストに挑戦できるようになった
052	本格始動	Ｍ★２のクエストに挑戦できるようになった
053	幻の古龍	Ｍ★３のクエストに挑戦できるようになった
054	不屈の心で	Ｍ★４のクエストに挑戦できるようになった
055	大いなる存在	Ｍ★５のクエストに挑戦できるようになった
056	終焉と共に訪れる始まり	大いなる存在の謎を解明した
057	探求と発見の集う地へ	導きの地へ足を踏み入れた
058	変貌する生態	初めていずれかの地帯Lvを７にした
059	貴重な素材を求めて	希少な鉱脈と骨塚で素材を採集した
060	飽くなき調査魂	特殊痕跡を５０回解析した
061	宿命の決着	悉くを殲ぼすネルギガンテを導きの地で討伐し、マスターランク上限制限を解放した
062	調査の達人	渡りの凍て地のキャンプを全部設営した
063	癒しの源	自然の中にある温泉で癒しのひとときを得た
064	クラッチクローの使い手	クラッチクローの指南を受け、新たな狩猟術を習得した
065	金色に目立つ	渡りの凍て地で金色に目立つ生物を捕まえた
066	何かを指し示す	何かを指し示す生物を捕まえた
067	美しき旋律を奏でる	美しき旋律を奏でる生物を捕まえた
068	水面下に潜む神秘	水面下に潜む神秘の生物を捕まえた
069	空泳ぐ幻	空泳ぐ幻の生物を捕まえた
070	大地を掘り暮らす	大地を掘り暮らす生物を捕まえた
071	各地に馴染み掘り暮らす	各地に馴染み掘り暮らす生物を初めて捕まえた
072	すべてを受け耐える守り	とてつもなく貴重な防具を５種類入手した
073	すべてを討ち払う攻め	とてつもなく貴重な武器を５種類入手した
074	自慢の一品	初めてチャームの装着を行った
075	はじめてのライド	初めてモンスターライドを行った
076	熟練したライド	多くのモンスターにライドを行った
077	ビギナー蒐集家	初めてオタカラを入手した
078	ベテラン蒐集家	いずれかのフィールドで全てのオタカラを入手した
079	蒐集家の極み	全てのオタカラを入手した
080	気分転換	初めて模様替えを行った
081	愛着のコレクション	選べる家具が５０種類を超えた
082	自慢のコレクション	選べる家具が１２０種類を超えた
083	積極的に働く技師	蒸気機関管理所を２０回手伝った 
084	頼りになる凄腕技師	蒸気機関管理所で蒸気力限界突破を発生させた 
085	もうひとつのミニチュアクラウン	マスターランクのクエストまたは探索で最小冠の環境生物を初めて捕まえた
086	もうひとつのビッグクラウン	マスターランクのクエストまたは探索で金冠の環境生物を初めて捕まえた
087	観察記録世界への入門	獣人族学者からの観察依頼を初めてこなした
