Meal Code	Meal Name	Meal Effect
CatSkill000_CAT_SKILL	ネコの研磨術	研ぎ時間が短くなりやすい。
CatSkill001_CAT_SKILL	ネコの乗り上手	モンスターに乗りやすくなる。
CatSkill002_CAT_SKILL	ネコの火事場力	残り体力がわずかの時に攻撃力が大きく上がる。
CatSkill003_CAT_SKILL	ネコの解体術【大】	剥ぎ取り回数が増える場合がある。
CatSkill004_CAT_SKILL	ネコの解体術【小】	剥ぎ取り回数が増える場合が、まれにある。
CatSkill005_CAT_SKILL	ネコの医療術	体力回復量が大きくなる。
CatSkill006_CAT_SKILL	ネコの体術	回避などの固定でスタミナを消費する行動のスタミナ消費量が軽減される。
CatSkill007_CAT_SKILL	ネコの火薬術	大タル爆弾が大タル爆弾Ｇに強化される。
CatSkill008_CAT_SKILL	ネコの特殊攻撃術	状態異常攻撃が強くなる。
CatSkill009_CAT_SKILL	ネコの防御術【大】	プレイヤーが受けるダメージを高確率で減少させる。
CatSkill010_CAT_SKILL	ネコの防御術【小】	プレイヤーが受けるダメージを低確率で減少させる。
CatSkill011_CAT_SKILL	ネコの収穫祭	採取ポイントの再出現時間が短縮される。
CatSkill012_CAT_SKILL	ネコの射撃術	通常弾、通常矢のダメージが増加する。
CatSkill013_CAT_SKILL	招きネコの幸運	クエスト報酬でもらえるアイテムの数が多くなりやすい。
CatSkill014_CAT_SKILL	ネコのはじかれ上手	攻撃を弾かれた際の斬れ味の消耗が小さくなる。
CatSkill015_CAT_SKILL	ネコの逃走術	大型モンスターから逃走する際のスタミナ消費量が減少する。
CatSkill016_CAT_SKILL	ネコの宅配術	運搬中にダッシュした際のスタミナ消費が減る。
CatSkill017_CAT_SKILL	ネコの運搬の鉄人	運搬中は攻撃を受けてものけぞらなくなる。
CatSkill018_CAT_SKILL	ネコの弱いの来い！	クエストに出現する大型モンスターが弱くなりやすい。
CatSkill019_CAT_SKILL	ネコの換算術	リザルト時に取得する調査ポイントが増加する。
CatSkill020_CAT_SKILL	ネコの起上り術【大】	起き上がり時の無敵時間がかなり長くなる。
CatSkill021_CAT_SKILL	ネコの起上り術【小】	起き上がり時の無敵時間が長くなる。
