Delivery ID	Delivery Name	Delivery Reward
0	萌えよ古代樹	活性剤
1	草木達よ、健やかに育て	植物肥料グレート
2	キノコ、山盛り！	厳選キノコ菌床
3	虫寄せ名樹計画	濃厚虫寄せゼリー
4	古代樹萌ゆるは天井知らず	いにしえの活性剤
5	優しい土は古代樹の寝床	やわらかい土
6	収納を笑うものは収納に泣く	収穫ＢＯＸの拡張
7	たかが収納、されど収納	収穫ＢＯＸの拡張
8	古代樹の森キャンプ計画その１	北西キャンプ(8)
9	古代樹の森キャンプ計画その２	古代樹キャンプ(17)
10	大蟻塚の荒地キャンプ計画その１	中央キャンプ(6)
11	dummy	dummy
12	大蟻塚の荒地キャンプ計画その２	大蟻塚キャンプ(15)
13	陸珊瑚の台地キャンプ計画	北東キャンプ(12)
14	龍結晶の地キャンプ計画その１	東キャンプ(8)
15	龍結晶の地キャンプ計画その２	北西キャンプ(16)
16	しあわせのショートカット	ロープリフト
17	武具屋の特殊装具開発	耐水の装衣
18	武具屋の特殊装具開発・再び	耐寒の装衣
19	キノコは豊かに香り立つ	キングトリュフ
20	煮ても焼いても美味しい魚	ガライーバのカマ
21	そのエビは宝石の如し	珊瑚エビ
22	百万ｚの景色にも勝る野菜	ミリオンキャベツ
23	千年生きる蟹！？	千年蟹
24	真っ赤はトマトか溶岩か	シモフリトマト
25	爆ぜる肉汁のレジスタンス	ゴウカイチボ
26	骨付き肉のレジスタンス	マトングレート
27	古代魚の洗礼	古代真鯛
28	五つの顔を持つ野菜	五香セロリ
29	パプリカ七変化！	虹色パプリカ
30	達人に相応しき一杯	達人ビール
31	火を吐く美禄にご注意	レウスウィスキー
32	回復薬グレートの調達	サイコロミート
