Food Code	Food Name	Food Desc
MEAT_00_ID	龍足	≪勇敢≫系統の食事スキルが発動しやすくなる肉食材。よく煮込むことで驚くほど柔らかくなる。
MEAT_01_ID	リュウノハラミ	≪勇敢≫系統の食事スキルが発動しやすくなる肉食材。薄くスライスして、炭火で焼くのがオススメ。
MEAT_02_ID	飛竜の卵	≪勇敢≫系統の食事スキルが発動しやすくなる肉分類の食材。飛竜の巣から頂いた、貴重な食材。
MEAT_03_ID	リュウノテール	≪勇敢≫系統の食事スキルが発動しやすくなる肉食材。飛竜の肉。一度は味わってみたい一品。
MEAT_04_ID	龍頭	≪勇敢≫系統の食事スキルが発動しやすくなる肉食材。おめでたい時に出されることもある高級食材。
MEAT_05_ID	ドラゴンフィレ	≪勇敢≫系統の食事スキルが発動しやすくなる肉食材。最も価値のあるとされる部位の肉。
MEAT_06_ID	堅肉	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。かなりの歯ごたえ。アゴが鍛えられる。
MEAT_07_ID	棘肉	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。甲殻にへばり付いた肉。怪我に注意。
MEAT_08_ID	熟成堅肉	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。そこそこ高級な食材。たまの奮発にどうぞ。
MEAT_09_ID	鋼肉	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。歯が立たないほど堅い肉。栄養価の高さがウリ。
MEAT_10_ID	ワイルドチキン	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。骨まで豪快にかじりつくのがオススメ。
MEAT_11_ID	壺漬け生肉	≪我慢≫系統の食事スキルが発動しやすくなる肉食材。秘伝のタレにじっくりとつけ込み熟成させた肉。
MEAT_12_ID	アプトノスミート	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。ハンターの間で食される、一般的な食材。
MEAT_13_ID	アプケロース	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。腹ぺこなハンター達に好まれる大きな肉。
MEAT_14_ID	サイコロミート	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。小さく切り分けられた、ちょっと質の良い肉。
MEAT_15_ID	ビッグサーロイン	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。質と量を兼ね備えた、アプトノスの高級部位。
MEAT_16_ID	ガブリブロース	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。身が残らないよう、かぶりついて食べる。
MEAT_17_ID	ギガントミート	≪熱血≫系統の食事スキルが発動しやすくなる肉食材。巨大な塊でもぺろりと平らげてしまえる赤身肉。
