Gallery ID	Gallery Name	Gallery Desc
EVC0001	乗船	新大陸行の船が、いよいよ出航しようとしている。その中に、第５期調査団の一人として船に乗り込むハンターの姿があった。
EVC0002	運命の遭遇	新大陸行の船の中で、運命の出会いを果たした者達が遭遇した騒動とは…。
EVC0003	空より臨むは未知の大陸	巨大な存在の頭上から、翼竜につかまり、脱出したハンターと受付嬢。ついに新大陸への上陸を果たす。
EVC0051	森のならず者たち	ハンターと受付嬢が調査拠点へと向かう途中、古代樹の森の中で、小型モンスタージャグラスと遭遇する。
EVC0004	痕跡を残した者は…	見つけた痕跡をたどる受付嬢。そこに現れた者は…。
EVC0005	関所での騒動	調査拠点到着も目前の時、ハンターは２頭のモンスターの争いに巻き込まれてしまう。
EVC0006	アステラ到着	長き旅路を経て、ついにハンターと受付嬢は目指すべく調査拠点・アステラへと辿り着いたのであった。
EVC0052	頼もしき狩りの相棒	アステラに到着したハンターは、船転覆騒動の最中にはぐれた狩りの相棒・オトモと再会する。
EVC0055	われもの注意！	ハンターと調査班リーダーがキャンプ設立地に到着すると、そこには前脚を器用に使い、壺を掘り返すクルルヤックの姿が…。
EVC0007	導蟲の示した先に	アステラへと帰還する途中、導蟲が何かに反応した。そこには、気の立ったプケプケ、そして、見たこともない巨大な痕跡が…。
EVC0056	いざ、新天地へ！	森や荒地の各所にて、ゾラ・マグダラオスの痕跡が発見された。ハンターは、調査に向かう学者達の護衛任務を開始する。
EVC0008	猪突猛進の輩達	ゾラ・マグダラオスの痕跡を回収するため学者の護衛を行うハンターであったが、任務の最中にボルボロスと遭遇してしまう。
EVC0009	竜人族の賢人	大蟻塚の荒地で、学者の護衛を果たしたハンター。そこで１期団のハンターと名乗る竜人族の男と出会う。
EVC0010	不穏の沼影	行方不明の学者を探し、沼地にやって来たハンターは、ボルボロスを亡き者にした何者かに怯える学者を発見する。
EVC0011	飛雷竜が舞う森	沸き立つ気配を感じ、空を仰ぐハンターの周囲に多量の羽毛が漂い始めた。樹上に棲息する、俊敏な牙竜種の脅威が迫る…！
EVC0012	森の暴れん坊・アンジャナフ	縄張り争いを繰り広げ、相手を蹂躙するアンジャナフ。これを罠に陥れるべく、誘導を試みるハンターであったが…。
